species_code	assembly	cohort_role	split	tiles	chromosomes	positive_bp	negative_bp	unknown_bp	hard_negative_bp	positive_prevalence	unknown_fraction	mixed_512kb_blocks	max_chromosome_fraction	gate_status
human	hs1	train	CAL	500	3	1889725	2201107	5168	214142	0.46194148280838715	0.00126171875	290	0.414	PASS
human	hs1	train	DEV	500	3	1921941	2171043	3016	226987	0.46956963428149245	0.000736328125	299	0.414	PASS
human	hs1	train	TRAIN	1500	5	5573160	6689900	24940	743411	0.45446731892366177	0.002029622395833333	881	0.3	PASS
mouse	mm39	train	CAL	500	3	1600899	2489603	5498	125598	0.39136981231154516	0.00134228515625	283	0.38	PASS
mouse	mm39	train	DEV	500	3	1598850	2491511	5639	128027	0.390882369551245	0.001376708984375	283	0.344	PASS
mouse	mm39	train	TRAIN	1500	5	4529011	7737500	21489	403066	0.3692175387117005	0.001748779296875	951	0.234	PASS
chicken	galGal6	train	CAL	500	3	158773	3935680	1547	71248	0.03877758518659269	0.000377685546875	173	0.45	PASS
chicken	galGal6	train	DEV	500	3	157905	3936478	1617	58180	0.03856625039719049	0.000394775390625	176	0.45	PASS
chicken	galGal6	train	TRAIN	1500	5	450199	11833582	4219	183145	0.03664987189205018	0.00034334309895833336	520	0.3	PASS
zebrafish	danRer11	train	CAL	500	3	2248339	1844768	2893	163855	0.5492988578114376	0.000706298828125	175	0.366	PASS
zebrafish	danRer11	train	DEV	500	3	2243549	1848348	4103	171458	0.5482906827811159	0.001001708984375	175	0.39	PASS
zebrafish	danRer11	train	TRAIN	1500	5	6590012	5683116	14872	569959	0.5369464084461598	0.0012102864583333334	581	0.23333333333333334	PASS
pig	susScr11	train	CAL	500	3	1115519	2979288	1193	105787	0.27242285167530483	0.000291259765625	323	0.45	PASS
pig	susScr11	train	DEV	500	3	1140557	2954936	507	104657	0.27849077021984897	0.000123779296875	334	0.45	PASS
pig	susScr11	train	TRAIN	1500	5	3266685	9020106	1209	324638	0.2658696644225494	9.8388671875e-05	958	0.26	PASS
c_elegans	ce11	train	CAL	500	1	434589	3636683	24728	74728	0.10674526290554893	0.006037109375	17	1.0	PASS
c_elegans	ce11	train	DEV	500	1	389795	3687033	19172	66418	0.09561232409118069	0.0046806640625	17	1.0	PASS
c_elegans	ce11	train	TRAIN	1500	4	1291106	10899755	97139	236380	0.10590769593714505	0.007905192057291666	132	0.3	PASS
horse	equCab3	primary	TEST	1200	4	3611562	6214672	4166	107990	0.36754284500043455	0.00042378743489583333	702	0.3475	PASS
opossum	monDom5	primary	TEST	1200	4	2236843	7592355	1202	265721	0.2275712626808413	0.00012227376302083334	1042	0.335	PASS
fruit_fly	dm6	primary	TEST	1200	4	1547422	8278268	4710	265195	0.15748736221069462	0.0004791259765625	169	0.29333333333333333	PASS
cattle	bosTau9	replication	TEST	1200	4	2366146	7462334	1920	163479	0.24074383831477503	0.0001953125	703	0.29583333333333334	PASS
