protocol_id	source	endpoint	metric_level	task	split	seed_status	model_key	parameter_count	pretraining_variant	window_bp	n_species	n_windows_per_species	mean_te_f1
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv2_100m	100M	standard	512	6	1200	0.462227743701582
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv2_100m	100M	standard	512	5	1200	0.2530093701259
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv2_100m	100M	standard	1024	6	1200	0.496457693150867
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv2_100m	100M	standard	1024	5	1200	0.166186091797215
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv2_100m	100M	standard	2048	6	1200	0.589498898017932
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv2_100m	100M	standard	2048	5	1200	0.231582389860141
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv2_100m	100M	standard	4096	6	1200	0.605354874969246
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv2_100m	100M	standard	4096	5	1200	0.174887121478477
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv2_100m	100M	standard	8192	6	1200	0.62056375995768
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv2_100m	100M	standard	8192	5	1200	0.162856190087566
