job_id	state	exit_code	elapsed_seconds	allocated_cpus	requested_memory
13192910	FAILED	1:0	2	4	32G
13192911	FAILED	1:0	2	4	32G
13192913_[0-9%2]	CANCELLED by 452944	0:0	0	0	8G
13192914_[0-9%2]	CANCELLED by 452944	0:0	0	0	8G
13192915	CANCELLED by 452944	0:0	0	0	8G
13192916	CANCELLED by 452944	0:0	0	0	8G
13192925	COMPLETED	0:0	27	4	32G
13192926	COMPLETED	0:0	56	4	32G
13192930_0	COMPLETED	0:0	362	1	8G
13192930_1	COMPLETED	0:0	347	1	8G
13192930_2	RUNNING	0:0	224	1	8G
13192930_3	RUNNING	0:0	224	1	8G
13192930_[4-9%2]	PENDING	0:0	0	0	8G
13192931_0	RUNNING	0:0	1182	1	8G
13192931_1	RUNNING	0:0	1182	1	8G
13192931_[2-9%2]	PENDING	0:0	0	0	8G
13192933	PENDING	0:0	0	0	8G
13192934	PENDING	0:0	0	0	8G
13192975	COMPLETED	0:0	37	2	16G
13193026	COMPLETED	0:0	40	2	16G
13193069	FAILED	1:0	2	1	8G
13193088	COMPLETED	0:0	88	1	8G
13193129	COMPLETED	0:0	39	2	16G
