job_id	state	exit_code	elapsed_seconds	allocated_cpus	requested_memory
13192910	FAILED	1:0	2	4	32G
13192911	FAILED	1:0	2	4	32G
13192913_[0-9%2]	CANCELLED by 452944	0:0	0	0	8G
13192914_[0-9%2]	CANCELLED by 452944	0:0	0	0	8G
13192915	CANCELLED by 452944	0:0	0	0	8G
13192916	CANCELLED by 452944	0:0	0	0	8G
13192925	COMPLETED	0:0	27	4	32G
13192926	COMPLETED	0:0	56	4	32G
13192930_0	COMPLETED	0:0	362	1	8G
13192930_1	COMPLETED	0:0	347	1	8G
13192930_2	COMPLETED	0:0	335	1	8G
13192930_3	COMPLETED	0:0	350	1	8G
13192930_4	COMPLETED	0:0	328	1	8G
13192930_5	COMPLETED	0:0	356	1	8G
13192930_6	COMPLETED	0:0	355	1	8G
13192930_7	COMPLETED	0:0	355	1	8G
13192930_8	COMPLETED	0:0	382	1	8G
13192930_9	COMPLETED	0:0	357	1	8G
13192931_0	COMPLETED	0:0	1695	1	8G
13192931_1	COMPLETED	0:0	1660	1	8G
13192931_2	COMPLETED	0:0	1701	1	8G
13192931_3	COMPLETED	0:0	1682	1	8G
13192931_4	COMPLETED	0:0	1790	1	8G
13192931_5	COMPLETED	0:0	1686	1	8G
13192931_6	COMPLETED	0:0	1733	1	8G
13192931_7	COMPLETED	0:0	1683	1	8G
13192931_8	COMPLETED	0:0	1719	1	8G
13192931_9	COMPLETED	0:0	1646	1	8G
13192933	COMPLETED	0:0	9	1	8G
13192934	COMPLETED	0:0	13	1	8G
13192975	COMPLETED	0:0	37	2	16G
13193026	COMPLETED	0:0	40	2	16G
13193069	FAILED	1:0	2	1	8G
13193088	COMPLETED	0:0	88	1	8G
13193129	COMPLETED	0:0	39	2	16G
