JobID|JobName|State|Elapsed|Timelimit|ExitCode|DerivedExitCode|Reason|NodeList
12732547_0|tib-external-five|COMPLETED|00:00:03|06:00:00|0:0|0:0|Dependency|gpu034
12732547_0.batch|batch|COMPLETED|00:00:03||0:0|||gpu034
12732547_0.extern|extern|COMPLETED|00:00:03||0:0|||gpu034
12732547_1|tib-external-five|COMPLETED|00:32:06|06:00:00|0:0|0:0|Dependency|gpu034
12732547_1.batch|batch|COMPLETED|00:32:06||0:0|||gpu034
12732547_1.extern|extern|COMPLETED|00:32:06||0:0|||gpu034
12732547_2|tib-external-five|COMPLETED|00:31:58|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu034
12732547_2.batch|batch|COMPLETED|00:31:58||0:0|||gpu034
12732547_2.extern|extern|COMPLETED|00:31:58||0:0|||gpu034
12732547_3|tib-external-five|COMPLETED|00:30:15|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu034
12732547_3.batch|batch|COMPLETED|00:30:15||0:0|||gpu034
12732547_3.extern|extern|COMPLETED|00:30:15||0:0|||gpu034
12732547_4|tib-external-five|COMPLETED|00:30:15|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu034
12732547_4.batch|batch|COMPLETED|00:30:15||0:0|||gpu034
12732547_4.extern|extern|COMPLETED|00:30:15||0:0|||gpu034
12732547_5|tib-external-five|COMPLETED|00:32:43|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu035
12732547_5.batch|batch|COMPLETED|00:32:43||0:0|||gpu035
12732547_5.extern|extern|COMPLETED|00:32:43||0:0|||gpu035
12732547_6|tib-external-five|COMPLETED|00:35:41|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu035
12732547_6.batch|batch|COMPLETED|00:35:41||0:0|||gpu035
12732547_6.extern|extern|COMPLETED|00:35:41||0:0|||gpu035
12732547_7|tib-external-five|COMPLETED|00:33:54|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu035
12732547_7.batch|batch|COMPLETED|00:33:54||0:0|||gpu035
12732547_7.extern|extern|COMPLETED|00:33:54||0:0|||gpu035
12732547_8|tib-external-five|COMPLETED|00:29:10|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu034
12732547_8.batch|batch|COMPLETED|00:29:10||0:0|||gpu034
12732547_8.extern|extern|COMPLETED|00:29:10||0:0|||gpu034
12732547_9|tib-external-five|COMPLETED|00:30:48|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu035
12732547_9.batch|batch|COMPLETED|00:30:48||0:0|||gpu035
12732547_9.extern|extern|COMPLETED|00:30:48||0:0|||gpu035
12732547_10|tib-external-five|COMPLETED|00:28:39|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu034
12732547_10.batch|batch|COMPLETED|00:28:39||0:0|||gpu034
12732547_10.extern|extern|COMPLETED|00:28:39||0:0|||gpu034
12732547_11|tib-external-five|COMPLETED|00:41:10|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu035
12732547_11.batch|batch|COMPLETED|00:41:10||0:0|||gpu035
12732547_11.extern|extern|COMPLETED|00:41:10||0:0|||gpu035
12732547_12|tib-external-five|COMPLETED|00:36:27|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu034
12732547_12.batch|batch|COMPLETED|00:36:27||0:0|||gpu034
12732547_12.extern|extern|COMPLETED|00:36:27||0:0|||gpu034
12732547_13|tib-external-five|COMPLETED|00:35:54|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu035
12732547_13.batch|batch|COMPLETED|00:35:54||0:0|||gpu035
12732547_13.extern|extern|COMPLETED|00:35:54||0:0|||gpu035
12732547_14|tib-external-five|COMPLETED|00:31:33|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu034
12732547_14.batch|batch|COMPLETED|00:31:33||0:0|||gpu034
12732547_14.extern|extern|COMPLETED|00:31:33||0:0|||gpu034
12732547_15|tib-external-five|CANCELLED by 0|00:24:18|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu035
12732547_15.batch|batch|CANCELLED|00:24:19||0:15|||gpu035
12732547_15.extern|extern|COMPLETED|00:24:19||0:0|||gpu035
12732547_16|tib-external-five|CANCELLED by 0|00:24:18|06:00:00|0:0|0:0|JobArrayTaskLimit|gpu035
12732547_16.batch|batch|CANCELLED|00:24:19||0:15|||gpu035
12732547_16.extern|extern|COMPLETED|00:24:19||0:0|||gpu035
12732547_[17-39%2]|tib-external-five|CANCELLED by 0|00:00:00|06:00:00|0:0|0:0|JobArrayTaskLimit|None assigned
