species	retained_positive_fraction	tp	fp	fn	tn	precision	recall	f1
c_elegans	1.0	297787.0	59158.0	92008.0	3627875.0	0.8342657832439171	0.7639579779114662	0.7975654176821919
c_elegans	0.9	268008.3	88936.7	82807.2	3637075.8	0.7508392049195254	0.7639579779114662	0.7573417844030573
c_elegans	0.75	223340.25	133604.75	69006.0	3650877.0	0.6256993374329378	0.7639579779114662	0.6879509003086057
c_elegans	0.5	148893.5	208051.5	46004.0	3673879.0	0.41713289162195855	0.7639579779114662	0.5396231714664963
c_elegans	0.25	74446.75	282498.25	23002.0	3696881.0	0.20856644581097927	0.7639579779114662	0.32767506155179293
chicken	1.0	129421.0	23887.0	28484.0	3912591.0	0.8441894747827902	0.8196130584845318	0.831719754637499
chicken	0.9	116478.90000000001	36829.1	25635.600000000002	3915439.4	0.7597705273045112	0.8196130584845319	0.7885580820689014
chicken	0.75	97065.75	56242.25	21363.0	3919712.0	0.6331421060870926	0.8196130584845318	0.7144101782331613
chicken	0.5	64710.5	88597.5	14242.0	3926833.0	0.4220947373913951	0.8196130584845318	0.5572234624484146
chicken	0.25	32355.25	120952.75	7121.0	3933954.0	0.21104736869569754	0.8196130584845318	0.33566279403011395
human	1.0	1785658.0	90421.0	136283.0	2080622.0	0.9518032023171732	0.9290909554455626	0.9403099509744551
human	0.9	1607092.2	268986.79999999993	122654.7	2094250.3	0.8566228820854559	0.9290909554455626	0.8913864643326235
human	0.75	1339243.5	536835.5	102212.25	2114692.75	0.7138524017378799	0.9290909554455626	0.8073727034811015
human	0.5	892829.0	983250.0	68141.5	2148763.5	0.4759016011585866	0.9290909554455626	0.6294067128543228
human	0.25	446414.5	1429664.5	34070.75	2182834.25	0.2379508005792933	0.9290909554455626	0.3788689402378908
mouse	1.0	1507571.0	94374.0	91279.0	2397137.0	0.9410878650640315	0.9429095912687244	0.9419978474097841
mouse	0.9	1356813.9000000001	245131.09999999998	82151.1	2406264.9	0.8469790785576284	0.9429095912687243	0.8923735986924967
mouse	0.75	1130678.25	471266.75	68459.25	2419956.75	0.7058158987980236	0.9429095912687244	0.807315207602775
mouse	0.5	753785.5	848159.5	45639.5	2442776.5	0.47054393253201576	0.9429095912687244	0.6277962163265136
mouse	0.25	376892.75	1225052.25	22819.75	2465596.25	0.23527196626600788	0.9429095912687244	0.37658065877903685
pig	1.0	1003627.0	103233.0	136930.0	2851703.0	0.9067334622264785	0.8799446235479682	0.8931382115557549
pig	0.9	903264.3	203595.69999999998	123237.0	2865396.0	0.8160601160038307	0.8799446235479682	0.8467991802419966
pig	0.75	752720.25	354139.75	102697.5	2885935.5	0.6800500966698588	0.8799446235479682	0.7671903225728366
pig	0.5	501813.5	605046.5	68465.0	2920168.0	0.4533667311132393	0.8799446235479682	0.5984162906045029
pig	0.25	250906.75	855953.25	34232.5	2954400.5	0.22668336555661964	0.8799446235479682	0.3604983982570393
zebrafish	1.0	2088058.0	169312.0	155491.0	1679036.0	0.9249959023110965	0.9306941814063343	0.9278362929881653
zebrafish	0.9	1879252.2	378117.79999999993	139941.9	1694585.1	0.8324963120799869	0.9306941814063344	0.8788607658189901
zebrafish	0.75	1566043.5	691326.5	116618.25	1717908.75	0.6937469267333224	0.9306941814063343	0.7949395331649295
zebrafish	0.5	1044029.0	1213341.0	77745.5	1756781.5	0.46249795115554826	0.9306941814063343	0.6179250399028512
zebrafish	0.25	522014.5	1735355.5	38872.75	1795654.25	0.23124897557777413	0.9306941814063343	0.3704519876601045
