species	exclusive_class	positive_bp	tp	fn	recall
zebrafish	LINE	142694	131840	10854	0.92393513392294
zebrafish	SINE	64943	64209	734	0.9886977811311458
zebrafish	LTR	250414	235423	14991	0.9401351362144289
zebrafish	DNA	1658476	1536543	121933	0.9264788878464325
zebrafish	RC	88040	82505	5535	0.9371308496138119
zebrafish	Retroposon	2062	1963	99	0.9519883608147429
pig	LINE	739509	682151	57358	0.9224377255719673
pig	SINE	117107	96257	20850	0.8219576968071934
pig	LTR	185276	154018	31258	0.831289535611736
pig	DNA	98064	70819	27245	0.7221712351117637
pig	RC	178	1	177	0.0056179775280898875
pig	Retroposon	0	0	0	NA
chicken	LINE	152412	128230	24182	0.8413379523922001
chicken	SINE	825	644	181	0.7806060606060606
chicken	LTR	57	0	57	0.0
chicken	DNA	4611	547	4064	0.11862936456300152
chicken	RC	0	0	0	NA
chicken	Retroposon	0	0	0	NA
