class/family	count	bp	pct_count	pct_bp
LINE/L1	987052	537143407	21.25	36.82
SINE/Alu	1244709	324534656	26.80	22.25
LTR/ERVL-MaLR	357422	115143082	7.70	7.89
LINE/L2	480532	108066448	10.35	7.41
LTR/ERV1	183592	88519499	3.95	6.07
SINE/MIR	611170	87225452	13.16	5.98
LTR/ERVL	165759	58979796	3.57	4.04
DNA/hAT-Charlie	261411	46696653	5.63	3.20
DNA/TcMar-Tigger	107480	35334854	2.31	2.42
LINE/CR1	63070	11244050	1.36	0.77
LTR/ERVK	11370	9649674	0.24	0.66
DNA/hAT-Tip100	32416	6987152	0.70	0.48
Other/Other	3733	4153813	0.08	0.28
LINE/RTE	17874	3680653	0.38	0.25
DNA/hAT-Blackjack	20195	3494224	0.43	0.24
DNA/TcMar-Mariner	16720	2910896	0.36	0.20
LTR/Gypsy	11351	2430698	0.24	0.17
DNA/TcMar-Tc2	8332	1717064	0.18	0.12
DNA/hAT	12612	1714508	0.27	0.12
LTR/Gypsy?	8015	1492911	0.17	0.10
Unknown/Unknown	7102	1289775	0.15	0.09
DNA/MuDR	1992	705192	0.04	0.05
DNA/TcMar?	3425	627224	0.07	0.04
DNA/PiggyBac	2193	512942	0.05	0.04
DNA/hAT?	3067	508868	0.07	0.03
LTR/LTR	2368	505631	0.05	0.03
LTR/ERVL?	1964	456337	0.04	0.03
RC/Helitron	1824	392677	0.04	0.03
DNA/DNA	2866	366805	0.06	0.03
DNA/TcMar	1951	319467	0.04	0.02
DNA?/DNA?	1939	281936	0.04	0.02
SINE/tRNA	1702	235797	0.04	0.02
Retroposon/SVA	294	202144	0.01	0.01
LTR/ERV	579	191609	0.01	0.01
SINE/Deu	1265	179180	0.03	0.01
SINE/SINE	962	161569	0.02	0.01
LINE/Dong-R4	574	123646	0.01	0.01
LINE/RTE-BovB	822	93635	0.02	0.01
LINE/RTE-X	320	68364	0.01	0.00
RC/Helitron?	436	65701	0.01	0.00
LTR?/LTR?	336	59288	0.01	0.00
SINE?/SINE?	425	45079	0.01	0.00
DNA/PiggyBac?	241	44274	0.01	0.00
DNA/MULE-MuDR	55	20786	0.00	0.00
DNA/hAT-Ac	153	18754	0.00	0.00
Unknown?/Unknown?	97	18321	0.00	0.00
DNA/Merlin	58	17965	0.00	0.00
SINE/tRNA-RTE	131	15639	0.00	0.00
DNA/hAT-Tag1	52	11679	0.00	0.00
LINE?/Penelope?	51	10448	0.00	0.00
LTR/ERV1?	42	7440	0.00	0.00
LINE/L1?	84	6784	0.00	0.00
DNA/hAT-Tip100?	24	4971	0.00	0.00
SINE/5S-Deu-L2	48	4592	0.00	0.00
DNA?/hAT-Tip100?	16	3731	0.00	0.00
DNA?/hAT?	18	3730	0.00	0.00
DNA/MULE-MuDR?	28	3127	0.00	0.00
DNA/TcMar-Tc1	21	2999	0.00	0.00
LINE/Penelope	22	1609	0.00	0.00
LINE/L1-Tx1	4	1201	0.00	0.00
RC?/Helitron?	7	984	0.00	0.00
DNA/Kolobok	5	958	0.00	0.00
DNA?/PiggyBac?	10	934	0.00	0.00
DNA/hAT-Ac?	5	898	0.00	0.00
DNA/Crypton	6	779	0.00	0.00
SINE/tRNA-Deu	8	744	0.00	0.00
DNA/Crypton-A?	3	452	0.00	0.00
LINE/I-Jockey	7	442	0.00	0.00
DNA/PIF-Harbinger	2	156	0.00	0.00
DNA/hAT-hAT19	1	49	0.00	0.00
