class/family	count	bp	pct_count	pct_bp
LINE/L1	932332	518048772	20.21	36.17
SINE/Alu	1204921	312500654	26.12	21.82
LTR/ERVL-MaLR	348739	111733974	7.56	7.80
LINE/L2	507296	111140210	11.00	7.76
LTR/ERV1	175704	85397602	3.81	5.96
SINE/MIR	587804	84541603	12.74	5.90
LTR/ERVL	161087	56877379	3.49	3.97
DNA/hAT-Charlie	261536	47001877	5.67	3.28
DNA/TcMar-Tigger	125958	38093066	2.73	2.66
LINE/CR1	66995	12064057	1.45	0.84
DNA/hAT-Tip100	64309	12001339	1.39	0.84
LTR/ERVK	10861	9171213	0.24	0.64
Retroposon/SVA	5527	4335685	0.12	0.30
LTR/Gypsy	17220	3710093	0.37	0.26
LINE/RTE-X	15273	3512464	0.33	0.25
DNA/TcMar-Mariner	16369	2885314	0.35	0.20
DNA/hAT-Blackjack	17305	2557503	0.38	0.18
DNA/TcMar-Tc2	8040	1659430	0.17	0.12
LTR?/	8062	1610664	0.17	0.11
LTR/	7587	1573694	0.16	0.11
LTR/Gypsy?	7349	1348178	0.16	0.09
LINE/RTE-BovB	8949	1310612	0.19	0.09
Unknown/	4709	905697	0.10	0.06
LTR/ERVL?	3750	894245	0.08	0.06
DNA/	5967	855134	0.13	0.06
DNA/hAT-Ac	6023	839502	0.13	0.06
DNA/MULE-MuDR	2522	816123	0.05	0.06
SINE/tRNA-RTE	5479	698199	0.12	0.05
DNA/hAT-Tag1	2281	524828	0.05	0.04
DNA/PiggyBac	2117	499830	0.05	0.03
DNA/hAT	2225	383053	0.05	0.03
RC/Helitron	1739	370663	0.04	0.03
DNA?/	2552	339510	0.06	0.02
SINE/tRNA	2239	272246	0.05	0.02
SINE/5S-Deu-L2	2507	270171	0.05	0.02
LTR/ERV1?	1446	266697	0.03	0.02
DNA/hAT-Tip100?	696	138877	0.02	0.01
DNA/TcMar-Tc1	787	133317	0.02	0.01
DNA?/hAT?	773	127480	0.02	0.01
DNA?/hAT-Tip100?	504	119786	0.01	0.01
LINE/Dong-R4	525	113505	0.01	0.01
LINE/Penelope	1071	95741	0.02	0.01
DNA/PIF-Harbinger	405	66880	0.01	0.00
SINE/tRNA-Deu	614	63492	0.01	0.00
RC?/Helitron?	400	60467	0.01	0.00
LINE/L1-Tx1	176	47002	0.00	0.00
DNA/Crypton	315	45402	0.01	0.00
DNA?/PiggyBac?	285	41499	0.01	0.00
DNA/Kolobok	219	41055	0.00	0.00
DNA/Merlin	231	39672	0.01	0.00
DNA/TcMar?	159	31495	0.00	0.00
DNA/hAT?	131	29930	0.00	0.00
LINE/I-Jockey	205	22388	0.00	0.00
DNA/Crypton-A?	151	20925	0.00	0.00
Unspecified/	155	20631	0.00	0.00
DNA/TcMar	98	15320	0.00	0.00
RC/Helitron?	57	8401	0.00	0.00
DNA/TcMar-Pogo	31	3495	0.00	0.00
DNA/hAT-hAT19	2	86	0.00	0.00
