class/family	count	bp	pct_count	pct_bp
LINE/L1	877139	528170343	23.30	47.30
LTR/ERVK	370031	138112282	9.83	12.37
LTR/ERVL-MaLR	534111	128711405	14.19	11.53
SINE/Alu	558808	66186230	14.84	5.93
SINE/B2	370294	59683797	9.84	5.35
SINE/B4	380688	57409545	10.11	5.14
LTR/ERVL	113067	31931886	3.00	2.86
LTR/ERV1	69131	20579078	1.84	1.84
DNA/hAT-Charlie	105223	18350394	2.79	1.64
SINE/MIR	120815	14616655	3.21	1.31
LTR/LTR	15284	11957850	0.41	1.07
LINE/L2	75565	11852679	2.01	1.06
Retroposon/L1-dep	17253	7592317	0.46	0.68
DNA/TcMar-Tigger	27962	5258119	0.74	0.47
SINE/ID	60640	4242638	1.61	0.38
Unknown/Unknown	5786	2876421	0.15	0.26
DNA/hAT-Tip100	13741	2483032	0.36	0.22
LINE/CR1	16226	2023376	0.43	0.18
LTR/Gypsy	3440	566476	0.09	0.05
DNA/hAT-Blackjack	3471	539830	0.09	0.05
DNA/DNA	3495	501625	0.09	0.04
DNA/hAT-Ac	4628	468033	0.12	0.04
LINE/RTE-BovB	4248	417044	0.11	0.04
DNA/TcMar-Tc2	1700	321719	0.05	0.03
LINE/RTE-X	1655	293556	0.04	0.03
DNA/TcMar-Mariner	1113	227970	0.03	0.02
DNA/hAT	1144	206036	0.03	0.02
SINE/5S-Deu-L2	1379	132124	0.04	0.01
SINE/tRNA	1235	125908	0.03	0.01
DNA/hAT-Tag1	595	114762	0.02	0.01
SINE/tRNA-RTE	925	105263	0.02	0.01
LINE/Penelope	1102	86929	0.03	0.01
RC/Helitron	416	74856	0.01	0.01
DNA/PiggyBac	272	57096	0.01	0.01
DNA/PIF-Harbinger	367	53445	0.01	0.00
SINE/tRNA-Deu	388	35127	0.01	0.00
DNA/Crypton	224	32398	0.01	0.00
DNA/TcMar-Tc1	171	27752	0.00	0.00
LINE/Dong-R4	147	25947	0.00	0.00
DNA/TcMar	128	25266	0.00	0.00
DNA/Kolobok	123	21609	0.00	0.00
LINE/I-Jockey	245	20274	0.01	0.00
DNA/MULE-MuDR	108	17563	0.00	0.00
DNA/Merlin	129	17186	0.00	0.00
DNA/Crypton-A	114	15904	0.00	0.00
Unspecified/Unspecified	98	13322	0.00	0.00
DNA/hAT?	41	9070	0.00	0.00
LINE/L1-Tx1	41	8183	0.00	0.00
DNA/TcMar-Pogo	19	2555	0.00	0.00
DNA/hAT-hAT19	11	1070	0.00	0.00
DNA?/DNA?	7	945	0.00	0.00
DNA/hAT-Tip100?	2	479	0.00	0.00
DNA?/hAT-Tip100?	2	295	0.00	0.00
DNA/TcMar?	2	144	0.00	0.00
