family_id	candidate_count	selected_count	target_count	component_count	train_count	cal_count	eval_count	meets_minimum
AluJb	14033	40	40	40	20	9	11	True
AluJo	7412	40	40	40	18	8	14	True
AluJr	7675	40	40	36	23	9	4	True
AluJr4	1982	40	40	40	23	10	7	True
AluSc	4789	40	40	40	27	7	6	True
AluSc8	2917	40	40	40	23	12	5	True
AluSg	5315	40	40	40	24	9	7	True
AluSp	7378	40	40	40	19	10	11	True
AluSq	2521	40	40	40	31	2	7	True
AluSq2	8218	40	40	40	22	6	12	True
AluSx	15192	40	40	40	27	7	6	True
AluSx1	14802	40	40	40	23	9	8	True
AluSx3	4033	40	40	40	23	7	10	True
AluSx4	1583	40	40	40	23	1	16	True
AluSz	13335	40	40	40	23	12	5	True
AluSz6	5952	40	40	40	24	10	6	True
AluY	14112	40	40	38	26	4	8	True
FLAM_A	1759	40	40	40	27	9	4	True
FLAM_C	2546	40	40	39	27	6	6	True
L1M5	2661	40	40	40	22	9	9	True
L1ME1	1357	40	40	40	22	2	16	True
L1ME4a	1493	40	40	40	21	10	9	True
L1PA16	1402	40	40	39	24	6	9	True
L1PA3	1449	40	40	33	22	6	5	True
L1PA4	1680	40	40	40	24	9	7	True
L1PA5	1566	40	40	38	25	7	6	True
L1PA7	1652	40	40	40	24	11	5	True
L2	3382	40	40	40	29	5	6	True
L2a	9621	40	40	37	26	6	5	True
L2b	4751	40	40	40	22	12	6	True
L2c	5613	40	40	40	24	11	5	True
L3	2788	40	40	40	25	8	7	True
MER5A	2089	40	40	39	25	8	6	True
MIR	14747	40	40	40	21	8	11	True
MIR3	6348	40	40	40	22	8	10	True
MIRb	19460	40	40	40	25	7	8	True
MIRc	7800	40	40	36	27	5	4	True
MLT1A0	1730	40	40	40	21	10	9	True
MSTA	1923	40	40	38	17	10	11	True
THE1B	1538	40	40	40	23	9	8	True
