species_code	kingdom	scientific_name	annotation_status	interval_count	te_bp_raw_sum	short_lt100_count	long_gt8192_count	bp_lt100	bp_100_500	bp_500_1000	bp_1000_2048	bp_2048_4096	bp_4096_8192	bp_gt8192	source_label_regime
african_clawed_frog	Animal	Xenopus laevis	rmsk_te_with_class	1137381	250051658	309930	0	21001262	209874447	17362254	1415406	262723	135566	0	external_ucsc_or_legacy_prelim
african_malaria_mosquito	Animal	Anopheles gambiae	rmsk_te_with_class	88537	29118367	24465	1	1574236	11492513	5483696	5098215	3055835	2405651	8221	external_ucsc_or_legacy_prelim
c_briggsae	Animal	Caenorhabditis briggsae	rmsk_te_with_class	87029	17806956	22869	3	1442236	11953289	1866383	2076393	202101	238834	27720	external_ucsc_or_legacy_prelim
c_elegans	Animal	Caenorhabditis elegans	rmsk_te_with_class	49815	10773353	15758	12	1051941	6224542	1692206	925743	470772	291195	116954	external_ucsc_or_legacy_prelim
cattle	Animal	Bos taurus	rmsk_te_with_class	4923139	1270471644	1294175	437	88233747	672476121	226802004	227982059	27552152	23749061	3676500	external_ucsc_or_legacy_prelim
chicken	Animal	Gallus gallus	rmsk_te_with_class	303386	101715286	58702	0	4109795	44595504	29313439	15884798	5690685	2121065	0	external_ucsc_or_legacy_prelim
ciona	Animal	Ciona robusta	rmsk_te_with_class	107820	15492920	44650	1	3013216	11193686	806661	378397	70254	21324	9382	external_ucsc_or_legacy_prelim
dog	Animal	Canis lupus familiaris	rmsk_te_with_class	3667997	911860108	678834	3	44569132	548092356	150553366	94905727	41337061	32372453	30013	external_ucsc_or_legacy_prelim
drosophila_pseudoobscura	Animal	Drosophila pseudoobscura	rmsk_te_with_class	21100	6933211	5815	0	375239	2447990	1514775	1386007	1018902	190298	0	external_ucsc_or_legacy_prelim
fruit_fly	Animal	Drosophila melanogaster	rmsk_te_with_class	38284	24181289	7477	10	485307	5014462	3849501	4707364	3809927	6211531	103197	external_ucsc_or_legacy_prelim
green_anole	Animal	Anolis carolinensis	rmsk_te_with_class	613814	97085335	298860	0	21947389	63132057	8615955	3003434	366324	20176	0	external_ucsc_or_legacy_prelim
human	Animal	Homo sapiens	rmsk_te_with_class	4612769	1432298127	776712	48	52409222	819175417	214734980	165152120	95145536	85020816	660036	external_ucsc_or_legacy_prelim
medaka	Animal	Oryzias latipes	rmsk_te_with_class	67035	13056244	15538	0	1014691	9528011	1350635	1100431	62476	0	0	external_ucsc_or_legacy_prelim
mouse	Animal	Mus musculus	rmsk_te_with_class	3764949	1116605808	804237	52	52949259	534517468	197992761	128347112	75194194	127094299	510715	external_ucsc_or_legacy_prelim
opossum	Animal	Monodelphis domestica	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
pig	Animal	Sus scrofa	rmsk_te_with_class	4082693	1082064793	682165	13	46361006	678679191	161029994	98835869	55061747	41982987	113999	external_ucsc_or_legacy_prelim
rat	Animal	Rattus norvegicus	rmsk_te_with_class	3455728	1097995729	847972	41	60315706	460318593	167479072	174760175	96347622	138382915	391646	external_ucsc_or_legacy_prelim
red_flour_beetle	Animal	Tribolium castaneum	rmsk_te_with_class	1180	180258	661	0	41561	103480	24303	8697	2217	0	0	external_ucsc_or_legacy_prelim
silkworm	Animal	Bombyx mori	rmsk_te_with_class	446424	129988027	73500	0	5120683	82004503	7010657	11645009	9417489	14789686	0	external_ucsc_or_legacy_prelim
spotted_gar	Animal	Lepisosteus oculatus	rmsk_te_with_class	39	4435	11	0	665	3770	0	0	0	0	0	external_ucsc_or_legacy_prelim
three_spined_stickleback	Animal	Gasterosteus aculeatus	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
torafugu	Animal	Takifugu rubripes	rmsk_te_with_class	62386	19659493	16514	2	1094334	8082779	4912124	3590409	1772402	185187	22258	external_ucsc_or_legacy_prelim
western_clawed_frog	Animal	Xenopus tropicalis	rmsk_te_with_class	2045085	471761380	745027	214	48223750	261891694	61329343	49576037	26122083	22550859	2067614	external_ucsc_or_legacy_prelim
zebra_finch	Animal	Taeniopygia guttata	rmsk_te_with_class	246341	82037707	43471	4	3036006	39361943	25611667	8484235	3672591	1833791	37474	external_ucsc_or_legacy_prelim
zebrafish	Animal	Danio rerio	rmsk_te_with_class	3119498	816126307	970492	184	57706903	411785208	190004303	93869653	26273587	34476789	2009864	external_ucsc_or_legacy_prelim
amborella	Plant	Amborella trichopoda	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
banana	Plant	Musa acuminata	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
barley	Plant	Hordeum vulgare	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
barrel_medic	Plant	Medicago truncatula	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
black_cottonwood	Plant	Populus trichocarpa	rmsk_te_with_class	533801	185031704	209955	1714	12508025	53221482	30540002	27543754	20742159	14306062	26170220	external_ucsc_or_legacy_prelim
field_mustard	Plant	Brassica rapa	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
foxtail_millet	Plant	Setaria italica	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
grape	Plant	Vitis vinifera	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
longstamen_rice	Plant	Oryza longistaminata	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
maize	Plant	Zea mays	rmsk_te_with_class	1776802	2621995604	200396	105657	8984541	194840010	134782458	246530120	313989963	582827583	1140040929	external_ucsc_or_legacy_prelim
marchantia	Plant	Marchantia polymorpha	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
pineapple	Plant	Ananas comosus	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
purple_false_brome	Plant	Brachypodium distachyon	rmsk_te_with_class	40672	44375927	4507	416	325723	3643691	7121671	7795972	9924777	11233767	4330326	external_ucsc_or_legacy_prelim
raimond_cotton	Plant	Gossypium raimondii	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
rice	Plant	Oryza sativa	rmsk_te_with_class	870333	460575151	199414	6086	12326191	113151249	47208348	58377449	81478135	80172494	67861285	external_ucsc_or_legacy_prelim
sorghum	Plant	Sorghum bicolor	rmsk_te_with_class	442131	421711851	57083	5118	3577584	51832661	41286131	80729310	77403751	112621776	54260638	external_ucsc_or_legacy_prelim
soybean	Plant	Glycine max	rmsk_te_with_class	969737	758237082	224685	8446	15851841	95611048	112542837	150188571	138963022	146059386	99020377	external_ucsc_or_legacy_prelim
spikemoss	Plant	Selaginella moellendorffii	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
spreading_earthmoss	Plant	Physcomitrium patens	rmsk_te_with_class	501216	505710032	77074	1536	5273743	49841255	64272820	112365846	111649190	148170819	14136359	external_ucsc_or_legacy_prelim
thale_cress	Plant	Arabidopsis thaliana	rmsk_te_with_class	100883	54342782	24729	374	1660676	11623244	9709793	11742346	7937066	7396506	4273151	external_ucsc_or_legacy_prelim
tomato	Plant	Solanum lycopersicum	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
zea_diploperennis_gigi	Plant	Zea diploperennis	rmsk_te_with_class	3378043	3862670563	279547	98968	13985896	398468600	413000881	707998719	752627122	477436750	1099152595	external_ucsc_or_legacy_prelim
aspergillus_fumigatus	Fungus	Aspergillus fumigatus	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
batrachochytrium	Fungus	Batrachochytrium dendrobatidis	rmsk_repeats_with_class_fallback	2116	96581	2060	0	88881	7700	0	0	0	0	0	external_ucsc_or_legacy_prelim
botrytis	Fungus	Botrytis cinerea	missing_annotation	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
bread_mold	Fungus	Neurospora crassa	rmsk_repeats_with_class_fallback	780	172890	305	0	19482	84623	46797	21988	0	0	0	external_ucsc_or_legacy_prelim
budding_yeast	Fungus	Saccharomyces cerevisiae	rmsk_repeats_with_class_fallback	60	10963	38	0	2314	2346	1684	4619	0	0	0	external_ucsc_or_legacy_prelim
candida	Fungus	Candida albicans	rmsk_te_with_class	121	83616	16	0	1062	19497	8594	9030	27735	17698	0	external_ucsc_or_legacy_prelim
corn_smut_fungus	Fungus	Ustilago maydis	rmsk_te_without_class	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
cryptococcus	Fungus	Cryptococcus neoformans	rmsk_te_with_class	894	552577	112	0	8103	145453	102617	66207	118828	111369	0	external_ucsc_or_legacy_prelim
fission_yeast	Fungus	Schizosaccharomyces pombe	rmsk_te_without_class	0	0	0	0	0	0	0	0	0	0	0	external_ucsc_or_legacy_prelim
