species_code	scientific_name	action	status	chunk_count	chunk_complete	chunk_bases	species_output_dir	out_gz_bytes	gff_gz_bytes	tbl_gz_bytes	masked_fa_gz_bytes
human	Homo sapiens	submit_chunked	new_complete	24	24	3117292070	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human	170360417	97731883	7580	883536545
mouse	Mus musculus	skip_existing_complete	skipped_existing_complete	0	0	0	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/mouse	0	0	0	0
rat	Rattus norvegicus	submit_chunked	new_complete	24	24	2647915728	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/rat	139365628	82957607	8373	831089925
dog	Canis lupus familiaris	submit_chunked	new_complete	40	40	2312802198	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/dog	132381333	80816593	11451	737799987
chicken	Gallus gallus	skip_existing_complete	skipped_existing_complete	0	0	0	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/chicken	0	0	0	0
zebrafish	Danio rerio	skip_existing_complete	skipped_existing_complete	0	0	0	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/zebrafish	0	0	0	0
fruit_fly	Drosophila melanogaster	skip_existing_complete	skipped_existing_complete	0	0	0	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/fruit_fly	0	0	0	0
c_elegans	Caenorhabditis elegans	skip_existing_complete	skipped_existing_complete	0	0	0	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/c_elegans	0	0	0	0
pig	Sus scrofa	submit_chunked	new_complete	22	22	2501912388	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/pig	125419543	75541852	6958	786088048
cattle	Bos taurus	submit_chunked	new_complete	32	32	2715853792	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/cattle	125530248	75157409	9509	847392380
horse	Equus caballus	submit_chunked	new_complete	34	34	2506966135	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/horse	117685587	69314436	10086	806504724
western_clawed_frog	Xenopus tropicalis	submit_chunked	new_complete	11	11	1451301209	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/western_clawed_frog	9608052	6338920	2301	410046226
western_honey_bee	Apis mellifera	submit_chunked	new_complete	6	6	502497597	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/western_honey_bee	7077662	4701397	1293	70339206
red_flour_beetle	Tribolium castaneum	submit_chunked	new_complete	5	5	199682416	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/red_flour_beetle	1212910	814775	1221	45601024
