source	species	model	te_f1	distance_bucket	label_jaccard	repeat_library_completeness	ucsc_te_bp_log10	self_ucsc_bp_ratio_log	class_entropy	gc	train_clade_covered	kingdom_plant	stress_panel	insect_panel	path
lock_recovery	lizard	recovery_lizard	0.9516363498464144	0.5	0.038956	0.053715	7.983968523314736	-0.3639181796590216	0.5667695928828661	0.4049650383467576	0.0	0.0	1.0	0.0	
lock_recovery	lizard	invert_boost_animal_4096	0.21874025583579446	0.5	0.038956	0.053715	7.983968523314736	-0.3639181796590216	0.5667695928828661	0.4049650383467576	1.0	0.0	1.0	0.0	
lock_recovery	red_flour_beetle	recovery_red_flour_beetle	0.07138643067846608	0.9	0.027167	0.29354	5.254876634206766	1.004254993521776	0.38039598211210046	0.35283729296530075	0.0	0.0	1.0	1.0	
lock_recovery	red_flour_beetle	invert_boost_animal_4096	0.004331046830956096	0.9	0.027167	0.29354	5.254876634206766	1.004254993521776	0.38039598211210046	0.35283729296530075	0.0	0.0	1.0	1.0	
lock_recovery	western_honey_bee	recovery_western_honey_bee	0.8578191039729501	0.9	0.020425	0.982865	4.955033170333894	1.6821794829942562	-0.0	0.3753426136544884	0.0	0.0	1.0	1.0	
lock_recovery	western_honey_bee	invert_boost_animal_4096	0.25447940700014726	0.9	0.020425	0.982865	4.955033170333894	1.6821794829942562	-0.0	0.3753426136544884	0.0	0.0	1.0	1.0	
lock_recovery	x_laevis	recovery_x_laevis	0.9342699448068239	0.58	0.000194	0.000194	8.377652577559846	-3.6232965958865218	0.14092435803879808	0.37935993204752366	0.0	0.0	1.0	0.0	
lock_recovery	x_laevis	invert_boost_animal_4096	0.3361775892231091	0.58	0.000194	0.000194	8.377652577559846	-3.6232965958865218	0.14092435803879808	0.37935993204752366	1.0	0.0	1.0	0.0	
repair_mixed	cattle	invert_boost_animal_4096	0.9216935615407685	0.28	0.48001	0.488924	9.101775014949785	-0.29456695170425834	0.5026184117689	0.441201171875	1.0	0.0	0.0	0.0	
repair_mixed	horse	invert_boost_animal_4096	0.8913728851560259	0.28	0.791397	0.812579	9.026699378784475	-0.07606022944133566	0.5590335596041941	0.5219681309917154	1.0	0.0	0.0	0.0	
repair_mixed	human	invert_boost_animal_4096	0.9049455482038951	0.1	0.948128	0.966802	9.155181875350673	-0.005903571159263742	0.572086638754498	0.55045654296875	1.0	0.0	0.0	0.0	
repair_mixed	pig	invert_boost_animal_4096	0.8761131743803473	0.28	0.582164	0.594998	9.032045335315601	-0.20968427520846328	0.5146315299426227	0.53280517578125	1.0	0.0	0.0	0.0	
repair_mixed	cattle	invert_boost_animal_4096	0.9216935615407685	0.28	0.48001	0.488924	9.101775014949785	-0.29456695170425834	0.5026184117689	0.441201171875	1.0	0.0	0.0	0.0	
repair_mixed	horse	invert_boost_animal_4096	0.8913728851560259	0.28	0.791397	0.812579	9.026699378784475	-0.07606022944133566	0.5590335596041941	0.5219681309917154	1.0	0.0	0.0	0.0	
repair_mixed	human	invert_boost_animal_4096	0.9049461157192719	0.1	0.948128	0.966802	9.155181875350673	-0.005903571159263742	0.572086638754498	0.55045654296875	1.0	0.0	0.0	0.0	
repair_mixed	lizard	invert_boost_animal_4096	0.24164004169870312	0.5	0.038956	0.053715	7.983968523314736	-0.3639181796590216	0.5667695928828661	0.4049650383467576	1.0	0.0	1.0	0.0	
repair_mixed	opossum	invert_boost_animal_4096	0.8811419601553324	0.35	0.387702	0.396173	9.273598589520779	-0.37880048273767486	0.4931961307204842	0.42751062526527384	1.0	0.0	0.0	0.0	
repair_mixed	pig	invert_boost_animal_4096	0.8761131743803473	0.28	0.582164	0.594998	9.032045335315601	-0.20968427520846328	0.5146315299426227	0.53280517578125	1.0	0.0	0.0	0.0	
repair_mixed	red_flour_beetle	invert_boost_animal_4096	0.004448888579938293	0.9	0.027167	0.29354	5.254876634206766	1.004254993521776	0.38039598211210046	0.35283729296530075	0.0	0.0	1.0	1.0	
repair_mixed	western_honey_bee	invert_boost_animal_4096	0.052179883281840034	0.9	0.020425	0.982865	4.955033170333894	1.6821794829942562	-0.0	0.3753426136544884	0.0	0.0	1.0	1.0	
repair_mixed	x_laevis	invert_boost_animal_4096	0.40137759810717816	0.58	0.000194	0.000194	8.377652577559846	-3.6232965958865218	0.14092435803879808	0.37935993204752366	1.0	0.0	1.0	0.0	
repair_mixed	c_elegans	invert_boost_animal_4096	0.9053972034713066	0.95	0.833784	0.964483	6.962709391952546	0.04969724618578586	0.5351230628226509	0.0	1.0	0.0	0.0	0.0	
repair_mixed	chicken	invert_boost_animal_4096	0.9526735217094694	0.45	0.391291	0.394479	8.004344683160928	-0.3950973786864289	0.4351367984736259	0.0	1.0	0.0	0.0	0.0	
repair_mixed	fruit_fly	invert_boost_animal_4096	0.9437257723304636	0.85	0.888725	0.993839	7.377049515174335	0.04614982940082338	0.713273686850958	0.0	0.0	0.0	0.0	1.0	
repair_mixed	mouse	invert_boost_animal_4096	0.9622946321173395	0.2	0.892472	0.903571	9.04353895905665	-0.038101307922466285	0.5910283099286767	0.0	1.0	0.0	0.0	0.0	
