panel	variant	exp_id	seed	window	max_eval_samples	n_bp	token_label_mode	threshold	postprocess_family	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	pred_true_backed_rate	short_pred_segments	short_true_backed_rate	short_mean_best_iou	mean_fragments_per_true	split_true_rate	missed_true_rate	deleted_baseline_fragments	deleted_true_backed_fragments	deleted_false_fragments	deleted_true_backed_fraction	overmerge_rate	iou_threshold	boundary_tol_bp	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision	segment_recall	segment_f1	mean_matched_iou	boundary_precision	boundary_recall	boundary_f1	median_boundary_error_bp	gap	min_len	hmm_penalty	rescue_threshold	rescue_max_len	short_cutoff	delta_segment_vs_raw_t050	delta_boundary_vs_raw_t050	delta_missed_vs_raw_t050	strict_guardrail_safe
human_test	raw_t0.20	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.2	raw	60808	5420	11076	86536	0.9181615026876849	0.8459184241277614	0.8805607043558851	0.4387451171875	0.4042236328125	163840	0.6720977596741344	339	0.5693215339233039	0.02054739056697148	1.569672131147541	0.15163934426229508	0.2540983606557377	0	0	0	0.0	0.054989816700611	0.8	5	244	491	89	402	155	0.18126272912423624	0.36475409836065575	0.2421768707482993	0.9382734607035704	0.0855397148676171	0.1721311475409836	0.11428571428571428	4.0							0.08798525398183224	0.03793840889649272	-0.03278688524590162	True
human_test	gap25_min40_t0.20	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.2	gap_minlen	61369	5982	10515	85974	0.9111817196478151	0.8537226642924712	0.8815168599849177	0.4387451171875	0.411077880859375	163840	0.7794117647058824	10	0.7	0.20664961995303527	0.7786885245901639	0.01639344262295082	0.26229508196721313	2	2	0	1.0	0.23529411764705882	0.8	5	244	136	63	73	181	0.4632352941176471	0.2581967213114754	0.3315789473684211	0.939176421548263	0.21323529411764705	0.11885245901639344	0.1526315789473684	4.0	25	40					0.17738733060195402	0.07628427355814683	-0.0245901639344262	False
human_test	gap50_min80_t0.20	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.2	gap_minlen	61257	6275	10627	85681	0.9070810874844518	0.8521645985198375	0.8787657083835428	0.4387451171875	0.4121826171875	163840	0.768595041322314	0	0.0	0.0	0.75	0.00819672131147541	0.27049180327868855	5	4	1	0.8	0.2727272727272727	0.8	5	244	121	56	65	188	0.4628099173553719	0.22950819672131148	0.30684931506849317	0.9392919000196803	0.19834710743801653	0.09836065573770492	0.13150684931506848	4.0	50	80					0.1526576983020261	0.05515954392584692	-0.016393442622950782	False
human_test	gap100_min100_t0.20	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.2	gap_minlen	61343	7498	10541	84458	0.8910823491814471	0.8533609704523956	0.8718138212826435	0.4387451171875	0.420172119140625	163840	0.7373737373737373	0	0.0	0.0	0.7254098360655737	0.00819672131147541	0.28688524590163933	8	8	0	1.0	0.3333333333333333	0.8	5	244	99	42	57	202	0.42424242424242425	0.1721311475409836	0.24489795918367346	0.938769391670887	0.18181818181818182	0.07377049180327869	0.10495626822157433	4.0	100	100					0.0907063424172064	0.02860896283235277	0.0	False
human_test	raw_t0.30	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.3	raw	59459	4662	12425	87294	0.9272937103289094	0.8271520783484503	0.8743649130546671	0.4387451171875	0.391363525390625	163840	0.7159663865546219	433	0.6351039260969977	0.015748529339310445	1.8975409836065573	0.14754098360655737	0.27049180327868855	0	0	0	0.0	0.03529411764705882	0.8	5	244	595	95	500	149	0.15966386554621848	0.38934426229508196	0.2264600715137068	0.937461449718155	0.07226890756302522	0.1762295081967213	0.10250297973778309	4.5							0.07226845474723975	0.02615567434856153	-0.016393442622950782	True
human_test	gap25_min40_t0.30	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.3	gap_minlen	60271	5157	11613	86799	0.9211805343278108	0.8384480552000445	0.8778693777674202	0.4387451171875	0.3993408203125	163840	0.8380281690140845	11	0.9090909090909091	0.191381693958137	0.7827868852459017	0.01639344262295082	0.2786885245901639	2	2	0	1.0	0.2112676056338028	0.8	5	244	142	68	74	176	0.4788732394366197	0.2786885245901639	0.3523316062176166	0.9406997342270126	0.2323943661971831	0.13524590163934427	0.17098445595854922	3.75	25	40					0.19813998945114955	0.09463715056932766	-0.008196721311475419	False
human_test	gap50_min80_t0.30	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.3	gap_minlen	60365	5318	11519	86638	0.9190353668376902	0.8397557175449335	0.8776087288375847	0.4387451171875	0.400897216796875	163840	0.8306451612903226	0	0.0	0.0	0.7459016393442623	0.012295081967213115	0.2827868852459016	7	6	1	0.8571428571428571	0.2661290322580645	0.8	5	244	124	58	66	186	0.46774193548387094	0.23770491803278687	0.31521739130434784	0.9404929562930836	0.21774193548387097	0.11065573770491803	0.14673913043478262	4.0	50	80					0.16102577453788078	0.07039182504556106	-0.0040983606557377095	False
human_test	gap100_min100_t0.30	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.3	gap_minlen	60826	6603	11058	85353	0.9020747749484643	0.846168827555506	0.8732279112502064	0.4387451171875	0.411553955078125	163840	0.7653061224489796	0	0.0	0.0	0.7090163934426229	0.00819672131147541	0.30327868852459017	18	9	9	0.5	0.3163265306122449	0.8	5	244	98	44	54	200	0.4489795918367347	0.18032786885245902	0.2573099415204678	0.937968661781397	0.19387755102040816	0.0778688524590164	0.11111111111111109	4.5	100	100					0.10311832475400076	0.03476380572188953	0.016393442622950838	False
human_test	raw_t0.40	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.4	raw	57468	4082	14416	87874	0.9336799350121853	0.7994546769795782	0.8613696659022438	0.4387451171875	0.37567138671875	163840	0.831764705882353	684	0.804093567251462	0.011770019505958153	3.0245901639344264	0.15163934426229508	0.2827868852459016	0	0	0	0.0	0.021176470588235293	0.8	5	244	850	102	748	142	0.12	0.4180327868852459	0.18647166361974407	0.9374780235741763	0.05647058823529412	0.19672131147540983	0.08775137111517368	4.25							0.03228004685327701	0.011404065725952123	-0.0040983606557377095	True
human_test	gap25_min40_t0.40	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.4	gap_minlen	58774	4630	13110	87326	0.9269762160116081	0.8176228367926103	0.8688723316184732	0.4387451171875	0.3869873046875	163840	0.8657718120805369	12	0.8333333333333334	0.2263638082509685	0.7786885245901639	0.01639344262295082	0.28688524590163933	12	12	0	1.0	0.18120805369127516	0.8	5	244	149	72	77	172	0.48322147651006714	0.29508196721311475	0.36641221374045796	0.9388452129367566	0.2348993288590604	0.14344262295081966	0.178117048346056	3.75	25	40					0.2122205969739909	0.10176974295683443	0.0	False
