panel	variant	true_len_bin	true_segments_bin	missed_true_rate_bin	split_true_rate_bin	mean_fragments_per_true_bin
human_test	raw_t0.20	lt80	56	0.5357142857142857	0.125	0.75
human_test	raw_t0.20	80_300	129	0.2248062015503876	0.14728682170542637	1.1317829457364341
human_test	raw_t0.20	300_1000	54	0.05555555555555555	0.14814814814814814	1.3888888888888888
human_test	raw_t0.20	ge1000	5	0.0	0.6	24.0
human_test	gap25_min40_t0.20	lt80	56	0.5535714285714286	0.0	0.44642857142857145
human_test	gap25_min40_t0.20	80_300	129	0.23255813953488372	0.015503875968992248	0.7829457364341085
human_test	gap25_min40_t0.20	300_1000	54	0.05555555555555555	0.018518518518518517	0.9629629629629629
human_test	gap25_min40_t0.20	ge1000	5	0.0	0.2	2.4
human_test	gap50_min80_t0.20	lt80	56	0.5535714285714286	0.0	0.44642857142857145
human_test	gap50_min80_t0.20	80_300	129	0.24806201550387597	0.0	0.751937984496124
human_test	gap50_min80_t0.20	300_1000	54	0.05555555555555555	0.018518518518518517	0.9629629629629629
human_test	gap50_min80_t0.20	ge1000	5	0.0	0.2	1.8
human_test	gap100_min100_t0.20	lt80	56	0.5892857142857143	0.0	0.4107142857142857
human_test	gap100_min100_t0.20	80_300	129	0.26356589147286824	0.0	0.7364341085271318
human_test	gap100_min100_t0.20	300_1000	54	0.05555555555555555	0.018518518518518517	0.9629629629629629
human_test	gap100_min100_t0.20	ge1000	5	0.0	0.2	1.4
human_test	raw_t0.30	lt80	56	0.5714285714285714	0.08928571428571429	0.6607142857142857
human_test	raw_t0.30	80_300	129	0.24031007751937986	0.16279069767441862	1.0852713178294573
human_test	raw_t0.30	300_1000	54	0.05555555555555555	0.12962962962962962	1.4814814814814814
human_test	raw_t0.30	ge1000	5	0.0	0.6	41.2
human_test	gap25_min40_t0.30	lt80	56	0.6071428571428571	0.0	0.39285714285714285
human_test	gap25_min40_t0.30	80_300	129	0.24031007751937986	0.015503875968992248	0.7751937984496124
human_test	gap25_min40_t0.30	300_1000	54	0.05555555555555555	0.018518518518518517	0.9814814814814815
human_test	gap25_min40_t0.30	ge1000	5	0.0	0.2	3.2
human_test	gap50_min80_t0.30	lt80	56	0.5892857142857143	0.0	0.4107142857142857
human_test	gap50_min80_t0.30	80_300	129	0.2558139534883721	0.007751937984496124	0.751937984496124
human_test	gap50_min80_t0.30	300_1000	54	0.05555555555555555	0.018518518518518517	0.9629629629629629
human_test	gap50_min80_t0.30	ge1000	5	0.0	0.2	2.0
human_test	gap100_min100_t0.30	lt80	56	0.625	0.0	0.375
human_test	gap100_min100_t0.30	80_300	129	0.27906976744186046	0.0	0.7209302325581395
human_test	gap100_min100_t0.30	300_1000	54	0.05555555555555555	0.018518518518518517	0.9629629629629629
human_test	gap100_min100_t0.30	ge1000	5	0.0	0.2	1.4
human_test	raw_t0.40	lt80	56	0.6071428571428571	0.08928571428571429	0.6607142857142857
human_test	raw_t0.40	80_300	129	0.24806201550387597	0.15503875968992248	1.1317829457364341
human_test	raw_t0.40	300_1000	54	0.05555555555555555	0.16666666666666666	1.3888888888888888
human_test	raw_t0.40	ge1000	5	0.0	0.6	96.0
human_test	gap25_min40_t0.40	lt80	56	0.625	0.0	0.375
human_test	gap25_min40_t0.40	80_300	129	0.24806201550387597	0.007751937984496124	0.7596899224806202
human_test	gap25_min40_t0.40	300_1000	54	0.05555555555555555	0.037037037037037035	0.9814814814814815
human_test	gap25_min40_t0.40	ge1000	5	0.0	0.2	3.6
human_test	gap50_min80_t0.40	lt80	56	0.625	0.0	0.375
human_test	gap50_min80_t0.40	80_300	129	0.26356589147286824	0.007751937984496124	0.7441860465116279
human_test	gap50_min80_t0.40	300_1000	54	0.05555555555555555	0.0	0.9444444444444444
human_test	gap50_min80_t0.40	ge1000	5	0.0	0.2	2.6
human_test	gap100_min100_t0.40	lt80	56	0.6785714285714286	0.0	0.32142857142857145
human_test	gap100_min100_t0.40	80_300	129	0.2868217054263566	0.0	0.7131782945736435
human_test	gap100_min100_t0.40	300_1000	54	0.05555555555555555	0.0	0.9444444444444444
human_test	gap100_min100_t0.40	ge1000	5	0.0	0.2	1.8
human_test	raw_t0.50	lt80	56	0.625	0.08928571428571429	0.5892857142857143
human_test	raw_t0.50	80_300	129	0.24806201550387597	0.1937984496124031	1.1395348837209303
human_test	raw_t0.50	300_1000	54	0.05555555555555555	0.2037037037037037	1.7592592592592593
human_test	raw_t0.50	ge1000	5	0.0	0.8	141.0
human_test	gap25_min40_t0.50	lt80	56	0.6428571428571429	0.0	0.35714285714285715
human_test	gap25_min40_t0.50	80_300	129	0.2558139534883721	0.007751937984496124	0.751937984496124
human_test	gap25_min40_t0.50	300_1000	54	0.05555555555555555	0.037037037037037035	0.9814814814814815
human_test	gap25_min40_t0.50	ge1000	5	0.0	0.2	5.2
human_test	gap50_min80_t0.50	lt80	56	0.6785714285714286	0.0	0.32142857142857145
human_test	gap50_min80_t0.50	80_300	129	0.27906976744186046	0.007751937984496124	0.7286821705426356
human_test	gap50_min80_t0.50	300_1000	54	0.05555555555555555	0.0	0.9444444444444444
human_test	gap50_min80_t0.50	ge1000	5	0.0	0.2	3.4
human_test	gap100_min100_t0.50	lt80	56	0.6964285714285714	0.0	0.30357142857142855
human_test	gap100_min100_t0.50	80_300	129	0.2868217054263566	0.0	0.7131782945736435
human_test	gap100_min100_t0.50	300_1000	54	0.05555555555555555	0.0	0.9444444444444444
human_test	gap100_min100_t0.50	ge1000	5	0.0	0.2	2.4
human_test	raw_t0.60	lt80	56	0.6428571428571429	0.07142857142857142	0.5714285714285714
human_test	raw_t0.60	80_300	129	0.24806201550387597	0.20930232558139536	1.1395348837209303
human_test	raw_t0.60	300_1000	54	0.05555555555555555	0.24074074074074073	1.7407407407407407
human_test	raw_t0.60	ge1000	5	0.0	0.8	148.8
human_test	gap25_min40_t0.60	lt80	56	0.6607142857142857	0.0	0.3392857142857143
human_test	gap25_min40_t0.60	80_300	129	0.2558139534883721	0.007751937984496124	0.751937984496124
human_test	gap25_min40_t0.60	300_1000	54	0.05555555555555555	0.018518518518518517	0.9629629629629629
human_test	gap25_min40_t0.60	ge1000	5	0.0	0.2	6.0
human_test	gap50_min80_t0.60	lt80	56	0.7321428571428571	0.0	0.26785714285714285
human_test	gap50_min80_t0.60	80_300	129	0.27906976744186046	0.007751937984496124	0.7286821705426356
human_test	gap50_min80_t0.60	300_1000	54	0.05555555555555555	0.0	0.9444444444444444
human_test	gap50_min80_t0.60	ge1000	5	0.0	0.2	3.6
human_test	gap100_min100_t0.60	lt80	56	0.7678571428571429	0.0	0.23214285714285715
human_test	gap100_min100_t0.60	80_300	129	0.29457364341085274	0.0	0.7054263565891473
human_test	gap100_min100_t0.60	300_1000	54	0.05555555555555555	0.0	0.9444444444444444
human_test	gap100_min100_t0.60	ge1000	5	0.0	0.2	3.0
human_test	raw_t0.70	lt80	56	0.6607142857142857	0.10714285714285714	0.5714285714285714
human_test	raw_t0.70	80_300	129	0.26356589147286824	0.20930232558139536	1.1317829457364341
human_test	raw_t0.70	300_1000	54	0.05555555555555555	0.2222222222222222	1.4444444444444444
human_test	raw_t0.70	ge1000	5	0.0	1.0	127.2
human_test	gap25_min40_t0.70	lt80	56	0.6785714285714286	0.0	0.32142857142857145
human_test	gap25_min40_t0.70	80_300	129	0.2713178294573643	0.007751937984496124	0.7364341085271318
human_test	gap25_min40_t0.70	300_1000	54	0.05555555555555555	0.018518518518518517	0.9629629629629629
