source	species	model	te_f1	distance_bucket	label_jaccard	te_bp_log10	kingdom_plant	path
lock_recovery	lizard	recovery_lizard	0.9516363498464144	0.5	0.038956	0.0	0.0	
lock_recovery	lizard	invert_boost_animal_4096	0.21874025583579446	0.5	0.038956	0.0	0.0	
lock_recovery	red_flour_beetle	recovery_red_flour_beetle	0.07138643067846608	0.9	0.027167	0.0	0.0	
lock_recovery	red_flour_beetle	invert_boost_animal_4096	0.004331046830956096	0.9	0.027167	0.0	0.0	
lock_recovery	western_honey_bee	recovery_western_honey_bee	0.8578191039729501	0.9	0.020425	0.0	0.0	
lock_recovery	western_honey_bee	invert_boost_animal_4096	0.25447940700014726	0.9	0.020425	0.0	0.0	
lock_recovery	x_laevis	recovery_x_laevis	0.9342699448068239	0.58	0.000194	0.0	0.0	
lock_recovery	x_laevis	invert_boost_animal_4096	0.3361775892231091	0.58	0.000194	0.0	0.0	
repair_mixed	cattle	invert_boost_animal_4096	0.9216935615407685	0.28	0.48001	0.0	0.0	
repair_mixed	horse	invert_boost_animal_4096	0.8913728851560259	0.28	0.791397	0.0	0.0	
repair_mixed	human	invert_boost_animal_4096	0.9049455482038951	0.1	0.948128	0.0	0.0	
repair_mixed	pig	invert_boost_animal_4096	0.8761131743803473	0.28	0.582164	0.0	0.0	
repair_mixed	cattle	invert_boost_animal_4096	0.9216935615407685	0.28	0.48001	0.0	0.0	
repair_mixed	horse	invert_boost_animal_4096	0.8913728851560259	0.28	0.791397	0.0	0.0	
repair_mixed	human	invert_boost_animal_4096	0.9049461157192719	0.1	0.948128	0.0	0.0	
repair_mixed	lizard	invert_boost_animal_4096	0.24164004169870312	0.5	0.038956	0.0	0.0	
repair_mixed	opossum	invert_boost_animal_4096	0.8811419601553324	0.35	0.387702	0.0	0.0	
repair_mixed	pig	invert_boost_animal_4096	0.8761131743803473	0.28	0.582164	0.0	0.0	
repair_mixed	red_flour_beetle	invert_boost_animal_4096	0.004448888579938293	0.9	0.027167	0.0	0.0	
repair_mixed	western_honey_bee	invert_boost_animal_4096	0.052179883281840034	0.9	0.020425	0.0	0.0	
repair_mixed	x_laevis	invert_boost_animal_4096	0.40137759810717816	0.58	0.000194	0.0	0.0	
repair_mixed	c_elegans	invert_boost_animal_4096	0.9053972034713066	0.95	0.833784	0.0	0.0	
repair_mixed	chicken	invert_boost_animal_4096	0.9526735217094694	0.45	0.391291	0.0	0.0	
repair_mixed	fruit_fly	invert_boost_animal_4096	0.9437257723304636	0.85	0.888725	0.0	0.0	
repair_mixed	mouse	invert_boost_animal_4096	0.9622946321173395	0.2	0.892472	0.0	0.0	
repair_mixed	western_clawed_frog	invert_boost_animal_4096	0.9384484554812158	0.55	0.000179	0.0	0.0	
repair_mixed	zebrafish	invert_boost_animal_4096	0.9079971499897331	0.65	0.837603	0.0	0.0	
repair_mixed	cattle	mouse_core_animal_4096	0.9208665285059306	0.28	0.48001	0.0	0.0	
repair_mixed	horse	mouse_core_animal_4096	0.8929670426179449	0.28	0.791397	0.0	0.0	
repair_mixed	human	mouse_core_animal_4096	0.9039123232606745	0.1	0.948128	0.0	0.0	
repair_mixed	pig	mouse_core_animal_4096	0.8752680709659444	0.28	0.582164	0.0	0.0	
repair_mixed	cattle	mouse_core_animal_4096	0.9208665285059306	0.28	0.48001	0.0	0.0	
repair_mixed	horse	mouse_core_animal_4096	0.8929670426179449	0.28	0.791397	0.0	0.0	
repair_mixed	human	mouse_core_animal_4096	0.9039123232606745	0.1	0.948128	0.0	0.0	
repair_mixed	lizard	mouse_core_animal_4096	0.2383885407624708	0.5	0.038956	0.0	0.0	
repair_mixed	opossum	mouse_core_animal_4096	0.8783574671439092	0.35	0.387702	0.0	0.0	
repair_mixed	pig	mouse_core_animal_4096	0.8752680709659444	0.28	0.582164	0.0	0.0	
repair_mixed	red_flour_beetle	mouse_core_animal_4096	0.00321627071603582	0.9	0.027167	0.0	0.0	
repair_mixed	western_honey_bee	mouse_core_animal_4096	0.03149214768159781	0.9	0.020425	0.0	0.0	
repair_mixed	x_laevis	mouse_core_animal_4096	0.3961703913156446	0.58	0.000194	0.0	0.0	
repair_mixed	c_elegans	mouse_core_animal_4096	0.8362139780364212	0.95	0.833784	0.0	0.0	
repair_mixed	chicken	mouse_core_animal_4096	0.943037347686821	0.45	0.391291	0.0	0.0	
repair_mixed	fruit_fly	mouse_core_animal_4096	0.9302313388897802	0.85	0.888725	0.0	0.0	
repair_mixed	mouse	mouse_core_animal_4096	0.9568835152646948	0.2	0.892472	0.0	0.0	
repair_mixed	western_clawed_frog	mouse_core_animal_4096	0.9240714752536946	0.55	0.000179	0.0	0.0	
repair_mixed	zebrafish	mouse_core_animal_4096	0.890849602962781	0.65	0.837603	0.0	0.0	
repair_mixed	cattle	p5_archive_parity_4096	0.9224743217803422	0.28	0.48001	0.0	0.0	
repair_mixed	horse	p5_archive_parity_4096	0.9036842213808338	0.28	0.791397	0.0	0.0	
repair_mixed	human	p5_archive_parity_4096	0.936231828325669	0.1	0.948128	0.0	0.0	
repair_mixed	pig	p5_archive_parity_4096	0.8830790481060521	0.28	0.582164	0.0	0.0	
repair_mixed	cattle	p5_archive_parity_4096	0.9224743217803422	0.28	0.48001	0.0	0.0	
repair_mixed	horse	p5_archive_parity_4096	0.9036845538801594	0.28	0.791397	0.0	0.0	
repair_mixed	human	p5_archive_parity_4096	0.9362315379784619	0.1	0.948128	0.0	0.0	
repair_mixed	lizard	p5_archive_parity_4096	0.21890258185060169	0.5	0.038956	0.0	0.0	
repair_mixed	opossum	p5_archive_parity_4096	0.8811934035689308	0.35	0.387702	0.0	0.0	
repair_mixed	pig	p5_archive_parity_4096	0.8830790481060521	0.28	0.582164	0.0	0.0	
repair_mixed	red_flour_beetle	p5_archive_parity_4096	0.00246361392019337	0.9	0.027167	0.0	0.0	
repair_mixed	western_honey_bee	p5_archive_parity_4096	0.015778479043513045	0.9	0.020425	0.0	0.0	
repair_mixed	x_laevis	p5_archive_parity_4096	0.3947158674369039	0.58	0.000194	0.0	0.0	
repair_mixed	c_elegans	p5_archive_parity_4096	0.5649620953563325	0.95	0.833784	0.0	0.0	
repair_mixed	chicken	p5_archive_parity_4096	0.8507349930284512	0.45	0.391291	0.0	0.0	
repair_mixed	fruit_fly	p5_archive_parity_4096	0.9216033478767542	0.85	0.888725	0.0	0.0	
repair_mixed	mouse	p5_archive_parity_4096	0.9494242491883046	0.2	0.892472	0.0	0.0	
repair_mixed	western_clawed_frog	p5_archive_parity_4096	0.7603618314005798	0.55	0.000179	0.0	0.0	
repair_mixed	zebrafish	p5_archive_parity_4096	0.8759167676644187	0.65	0.837603	0.0	0.0	
extend_json	teosinte	cross_kingdom_pu	0.8171599879434643	1.2	0.086856	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/teosinte.json
extend_json	horse	cross_kingdom_pu	0.49322831015303614	0.28	0.791397	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/horse.json
extend_json	lizard	cross_kingdom_pu	0.11694718797714913	0.5	0.038956	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/lizard.json
extend_json	pig	cross_kingdom_pu	0.4549598250890798	0.28	0.582164	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/pig.json
extend_json	red_flour_beetle	cross_kingdom_pu	0.0009354346720894764	0.9	0.027167	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/red_flour_beetle.json
extend_json	soybean	cross_kingdom_pu	0.219718379238161	1.25	0.121572	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/soybean.json
extend_json	cattle	cross_kingdom_pu	0.6254091793201715	0.28	0.48001	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/cattle.json
extend_json	opossum	cross_kingdom_pu	0.6104616811174656	0.35	0.387702	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/opossum.json
extend_json	western_honey_bee	cross_kingdom_pu	0.0001546104427147966	0.9	0.020425	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/western_honey_bee.json
extend_json	teosinte	TFREPAIR_invert_boost_animal_4096_seed42	0.8886845637016639	1.2	0.086856	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/invert_boost/teosinte.json
extend_json	horse	TFREPAIR_invert_boost_animal_4096_seed42	0.8913728851560259	0.28	0.791397	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/invert_boost/horse.json
extend_json	lizard	TFREPAIR_invert_boost_animal_4096_seed42	0.24163994447685527	0.5	0.038956	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/invert_boost/lizard.json
extend_json	pig	TFREPAIR_invert_boost_animal_4096_seed42	0.8761131743803473	0.28	0.582164	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/invert_boost/pig.json
extend_json	red_flour_beetle	TFREPAIR_invert_boost_animal_4096_seed42	0.004448888579938293	0.9	0.027167	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/invert_boost/red_flour_beetle.json
extend_json	soybean	TFREPAIR_invert_boost_animal_4096_seed42	0.5650860204945004	1.25	0.121572	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/invert_boost/soybean.json
extend_json	cattle	TFREPAIR_invert_boost_animal_4096_seed42	0.9216935615407685	0.28	0.48001	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/invert_boost/cattle.json
extend_json	opossum	TFREPAIR_invert_boost_animal_4096_seed42	0.8811419601553324	0.35	0.387702	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/invert_boost/opossum.json
extend_json	western_honey_bee	TFREPAIR_invert_boost_animal_4096_seed42	0.052179883281840034	0.9	0.020425	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/invert_boost/western_honey_bee.json
extend_json	teosinte	plant_from_invert_pu_tv	0.8536246361328441	1.2	0.086856	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/plant_from_invert_pu_tv/teosinte.json
extend_json	horse	plant_from_invert_pu_tv	0.7397846072501153	0.28	0.791397	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/plant_from_invert_pu_tv/horse.json
extend_json	lizard	plant_from_invert_pu_tv	0.16478326991453718	0.5	0.038956	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/plant_from_invert_pu_tv/lizard.json
extend_json	pig	plant_from_invert_pu_tv	0.6813609318671622	0.28	0.582164	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/plant_from_invert_pu_tv/pig.json
extend_json	red_flour_beetle	plant_from_invert_pu_tv	0.0011023449800563795	0.9	0.027167	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/plant_from_invert_pu_tv/red_flour_beetle.json
extend_json	soybean	plant_from_invert_pu_tv	0.29043941020534336	1.25	0.121572	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/plant_from_invert_pu_tv/soybean.json
extend_json	cattle	plant_from_invert_pu_tv	0.7746728847039254	0.28	0.48001	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/plant_from_invert_pu_tv/cattle.json
extend_json	opossum	plant_from_invert_pu_tv	0.7665483580219882	0.35	0.387702	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/plant_from_invert_pu_tv/opossum.json
extend_json	western_honey_bee	plant_from_invert_pu_tv	0.00025644486435416386	0.9	0.020425	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/plant_from_invert_pu_tv/western_honey_bee.json
extend_json	lizard	anchor_vertebrate_anchor	0.274563160933669	0.5	0.038956	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/vertebrate_anchor/lizard.json
extend_json	red_flour_beetle	anchor_vertebrate_anchor	0.004226139076547976	0.9	0.027167	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/vertebrate_anchor/red_flour_beetle.json
extend_json	x_laevis	anchor_vertebrate_anchor	0.4111231485950374	0.58	0.000194	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/vertebrate_anchor/x_laevis.json
extend_json	western_honey_bee	anchor_vertebrate_anchor	0.08449759695987481	0.9	0.020425	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/vertebrate_anchor/western_honey_bee.json
extend_json	lizard	anchor_insect_anchor	0.05078931756036417	0.5	0.038956	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/insect_anchor/lizard.json
extend_json	red_flour_beetle	anchor_insect_anchor	0.0031733938188719074	0.9	0.027167	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/insect_anchor/red_flour_beetle.json
extend_json	x_laevis	anchor_insect_anchor	0.14315529878385921	0.58	0.000194	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/insect_anchor/x_laevis.json
extend_json	western_honey_bee	anchor_insect_anchor	0.0013024687703510746	0.9	0.020425	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/insect_anchor/western_honey_bee.json
extend_json	lizard	TFREPAIR_invert_boost_animal_4096_seed42	0.24164004169870312	0.5	0.038956	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/invert_boost/lizard.json
extend_json	red_flour_beetle	TFREPAIR_invert_boost_animal_4096_seed42	0.004448912369259727	0.9	0.027167	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/invert_boost/red_flour_beetle.json
extend_json	x_laevis	TFREPAIR_invert_boost_animal_4096_seed42	0.40137759810717816	0.58	0.000194	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/invert_boost/x_laevis.json
extend_json	western_honey_bee	TFREPAIR_invert_boost_animal_4096_seed42	0.052179883281840034	0.9	0.020425	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/stress_anchor/invert_boost/western_honey_bee.json
extend_json	thale_cress	plant_fine	0.14310610385111303	1.25	0.043011	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_positive_only/plant_fine/thale_cress.json
extend_json	rice	plant_fine	0.4390117488565789	1.2	0.042709	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_positive_only/plant_fine/rice.json
extend_json	sorghum	plant_fine	0.4190402211645393	1.2	0.057919	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_positive_only/plant_fine/sorghum.json
extend_json	maize	plant_fine	0.8538807557503582	1.2	0.095466	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_positive_only/plant_fine/maize.json
extend_json	brachypodium	plant_fine	0.08934281509400518	1.2	0.101164	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_positive_only/plant_fine/brachypodium.json
extend_json	teosinte	plant_eval	0.8171599879434643	1.2	0.086856	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_positive_only/plant_eval/teosinte.json
extend_json	soybean	plant_eval	0.219718379238161	1.25	0.121572	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_positive_only/plant_eval/soybean.json
extend_json	thale_cress	plant_fine	0.14310610385111303	1.25	0.043011	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_fine/thale_cress.json
extend_json	rice	plant_fine	0.4390117488565789	1.2	0.042709	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_fine/rice.json
extend_json	sorghum	plant_fine	0.4190402211645393	1.2	0.057919	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_fine/sorghum.json
extend_json	brachypodium	plant_fine	0.08934281509400518	1.2	0.101164	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_fine/brachypodium.json
extend_json	maize	plant_fine	0.8538807557503582	1.2	0.095466	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_fine/maize.json
extend_json	teosinte	plant_eval	0.8171599879434643	1.2	0.086856	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_eval/teosinte.json
extend_json	soybean	plant_eval	0.219718379238161	1.25	0.121572	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_eval/soybean.json
extend_json	thale_cress	plant_fine	0.14310610385111303	1.25	0.043011	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu/plant_fine/thale_cress.json
extend_json	rice	plant_fine	0.4390117488565789	1.2	0.042709	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu/plant_fine/rice.json
extend_json	sorghum	plant_fine	0.4190402211645393	1.2	0.057919	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu/plant_fine/sorghum.json
extend_json	brachypodium	plant_fine	0.08934281509400518	1.2	0.101164	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu/plant_fine/brachypodium.json
extend_json	maize	plant_fine	0.8538807557503582	1.2	0.095466	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu/plant_fine/maize.json
extend_json	teosinte	plant_eval	0.8171599879434643	1.2	0.086856	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu/plant_eval/teosinte.json
extend_json	soybean	plant_eval	0.219718379238161	1.25	0.121572	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu/plant_eval/soybean.json
extend_json	thale_cress	TFREPAIR_invert_boost_animal_4096_seed42	0.20790736538347387	1.25	0.043011	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_fine/thale_cress.json
extend_json	rice	TFREPAIR_invert_boost_animal_4096_seed42	0.743674745054983	1.2	0.042709	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_fine/rice.json
extend_json	sorghum	TFREPAIR_invert_boost_animal_4096_seed42	0.8370785739861111	1.2	0.057919	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_fine/sorghum.json
extend_json	maize	TFREPAIR_invert_boost_animal_4096_seed42	0.9051649037911726	1.2	0.095466	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_fine/maize.json
extend_json	brachypodium	TFREPAIR_invert_boost_animal_4096_seed42	0.43338983323804847	1.2	0.101164	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_fine/brachypodium.json
extend_json	teosinte	TFREPAIR_invert_boost_animal_4096_seed42	0.8886845637016639	1.2	0.086856	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_eval/teosinte.json
extend_json	soybean	TFREPAIR_invert_boost_animal_4096_seed42	0.5650854892493286	1.25	0.121572	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_eval/soybean.json
extend_json	thale_cress	plant_fine	0.16349420922345012	1.25	0.043011	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu_tv/plant_fine/thale_cress.json
extend_json	rice	plant_fine	0.6486419060845329	1.2	0.042709	0.0	1.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu_tv/plant_fine/rice.json
