exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	edge_source	position_bin	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	raw_window	edge_left_10	21541	224459	0	0	0.0875650406504065	1.0	0.1610295244467203	0.0875650406504065	1.0	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	raw_window	inner_left_10_25	34062	334338	0	0	0.09245928338762215	1.0	0.16926815450899713	0.09245928338762215	1.0	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	raw_window	center_25_75	125650	1103150	0	0	0.10225423177083333	1.0	0.18553656465724094	0.10225423177083333	1.0	1228800
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	raw_window	inner_right_75_90	34927	333473	0	0	0.09480727470141151	1.0	0.1731944551195432	0.09480727470141151	1.0	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	raw_window	edge_right_10	23718	222282	0	0	0.09641463414634147	1.0	0.1758725780259382	0.09641463414634147	1.0	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	merged_coordinate	edge_left_10	21541	224459	0	0	0.0875650406504065	1.0	0.1610295244467203	0.0875650406504065	1.0	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	merged_coordinate	inner_left_10_25	34062	334338	0	0	0.09245928338762215	1.0	0.16926815450899713	0.09245928338762215	1.0	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	merged_coordinate	center_25_75	125650	1103150	0	0	0.10225423177083333	1.0	0.18553656465724094	0.10225423177083333	1.0	1228800
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	merged_coordinate	inner_right_75_90	34927	333473	0	0	0.09480727470141151	1.0	0.1731944551195432	0.09480727470141151	1.0	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	merged_coordinate	edge_right_10	23718	222282	0	0	0.09641463414634147	1.0	0.1758725780259382	0.09641463414634147	1.0	246000
