exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	edge_source	position_bin	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	raw_window	edge_left_10	152401	93599	0	0	0.6195162601626016	1.0	0.7650633407044661	0.6195162601626016	1.0	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	raw_window	inner_left_10_25	232283	136117	0	0	0.6305184581976113	1.0	0.7733962838968308	0.6305184581976113	1.0	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	raw_window	center_25_75	780554	448246	0	0	0.6352164713541667	1.0	0.7769203435532017	0.6352164713541667	1.0	1228800
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	raw_window	inner_right_75_90	234122	134278	0	0	0.6355103148751358	1.0	0.7771400878308178	0.6355103148751358	1.0	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	raw_window	edge_right_10	158412	87588	0	0	0.6439512195121951	1.0	0.7834188896471915	0.6439512195121951	1.0	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	merged_coordinate	edge_left_10	152401	93599	0	0	0.6195162601626016	1.0	0.7650633407044661	0.6195162601626016	1.0	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	merged_coordinate	inner_left_10_25	232283	136117	0	0	0.6305184581976113	1.0	0.7733962838968308	0.6305184581976113	1.0	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	merged_coordinate	center_25_75	780554	448246	0	0	0.6352164713541667	1.0	0.7769203435532017	0.6352164713541667	1.0	1228800
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	merged_coordinate	inner_right_75_90	234122	134278	0	0	0.6355103148751358	1.0	0.7771400878308178	0.6355103148751358	1.0	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_positive_only	600	merged_coordinate	edge_right_10	158412	87588	0	0	0.6439512195121951	1.0	0.7834188896471915	0.6439512195121951	1.0	246000
