exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	edge_source	position_bin	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	raw_window	edge_left_10	20920	173830	621	50629	0.10741976893453145	0.9711712548163967	0.1934430928702535	0.0875650406504065	0.7916666666666666	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	raw_window	inner_left_10_25	32992	252831	1070	81507	0.11542807961570622	0.9685866948505666	0.20627412976538445	0.09245928338762215	0.7758496199782845	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	raw_window	center_25_75	123206	861194	2444	241956	0.12515847216578627	0.9805491444488659	0.22198279356785727	0.10225423177083333	0.8011067708333334	1228800
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	raw_window	inner_right_75_90	34130	254860	797	78613	0.1181009723519845	0.9771809774672889	0.21073299641574847	0.09480727470141151	0.7844462540716612	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	raw_window	edge_right_10	23259	179706	459	42576	0.11459611263025644	0.9806476094105743	0.20521168327576397	0.09641463414634147	0.8250609756097561	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	merged_coordinate	edge_left_10	20920	173830	621	50629	0.10741976893453145	0.9711712548163967	0.1934430928702535	0.0875650406504065	0.7916666666666666	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	merged_coordinate	inner_left_10_25	32992	252831	1070	81507	0.11542807961570622	0.9685866948505666	0.20627412976538445	0.09245928338762215	0.7758496199782845	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	merged_coordinate	center_25_75	123206	861194	2444	241956	0.12515847216578627	0.9805491444488659	0.22198279356785727	0.10225423177083333	0.8011067708333334	1228800
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	merged_coordinate	inner_right_75_90	34130	254860	797	78613	0.1181009723519845	0.9771809774672889	0.21073299641574847	0.09480727470141151	0.7844462540716612	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/soybean/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	merged_coordinate	edge_right_10	23259	179706	459	42576	0.11459611263025644	0.9806476094105743	0.20521168327576397	0.09641463414634147	0.8250609756097561	246000
