exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	edge_source	position_bin	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	raw_window	edge_left_10	151411	81327	990	12272	0.6505641536835411	0.9935039796326796	0.7862667764105946	0.6195162601626016	0.946089430894309	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	raw_window	inner_left_10_25	229942	117218	2341	18899	0.6623516534162922	0.9899217764537224	0.7936656409689996	0.6305184581976113	0.9423452768729642	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	raw_window	center_25_75	774912	401439	5642	46807	0.65874216114068	0.9927718005416666	0.7919771271472044	0.6352164713541667	0.95731689453125	1228800
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	raw_window	inner_right_75_90	230116	118652	4006	15626	0.6597967703459033	0.9828892628629518	0.7895692154608932	0.6355103148751358	0.9467100977198697	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	raw_window	edge_right_10	156063	77123	2349	10465	0.6692640209961147	0.9851715779107644	0.797057186196048	0.6439512195121951	0.947910569105691	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	merged_coordinate	edge_left_10	151411	81327	990	12272	0.6505641536835411	0.9935039796326796	0.7862667764105946	0.6195162601626016	0.946089430894309	246000
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	merged_coordinate	inner_left_10_25	229942	117218	2341	18899	0.6623516534162922	0.9899217764537224	0.7936656409689996	0.6305184581976113	0.9423452768729642	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	merged_coordinate	center_25_75	774912	401439	5642	46807	0.65874216114068	0.9927718005416666	0.7919771271472044	0.6352164713541667	0.95731689453125	1228800
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	merged_coordinate	inner_right_75_90	230116	118652	4006	15626	0.6597967703459033	0.9828892628629518	0.7895692154608932	0.6355103148751358	0.9467100977198697	368400
PIPE-TEFM-EXTEND-20260620	generanno	4096	4096	triangular	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/data/plant_eval_only/teosinte/test/data.jsonl.gz	software_outputs/tefm_extend/PIPE-TEFM-EXTEND-20260620/runs/plant_from_invert_pu_tv	600	merged_coordinate	edge_right_10	156063	77123	2349	10465	0.6692640209961147	0.9851715779107644	0.797057186196048	0.6439512195121951	0.947910569105691	246000
