merge_mode	postprocess	bp_f1	segment_f1	boundary_f1	pred_segments	segment_precision	segment_recall	pred_true_backed_rate	short_pred_segments	short_true_backed_rate	mean_fragments_per_true	split_true_rate	missed_true_rate	deleted_segments	deleted_true_backed_rate
consensus_min	crf_style_penalty4	0.937635738759564	0.4149068322981366	0.1267080745341615	396	0.4217171717171717	0.4083129584352078	0.7626262626262627	55	0.4909090909090909	1.0122249388753055	0.0880195599022004	0.0929095354523227	103	0.3689320388349514
forward	crf_style_penalty4	0.9332806582100192	0.3568773234200743	0.1016109045848822	398	0.3618090452261306	0.3520782396088019	0.7010050251256281	61	0.4262295081967213	1.017114914425428	0.0709046454767726	0.0684596577017114	107	0.2803738317757009
max_prob	crf_style_penalty4	0.9254982039970512	0.308080808080808	0.0707070707070706	383	0.3185378590078329	0.2982885085574572	0.6057441253263708	66	0.1969696969696969	0.9853300733496332	0.0440097799511002	0.0611246943765281	107	0.1775700934579439
mean_logit	crf_style_penalty4	0.935323110248905	0.3707571801566579	0.1148825065274151	357	0.3977591036414565	0.3471882640586797	0.7030812324929971	42	0.4047619047619047	0.9755501222493888	0.0488997555012225	0.0757946210268948	123	0.2601626016260163
reverse	crf_style_penalty4	0.9296689146610332	0.3667905824039653	0.094175960346964	398	0.371859296482412	0.3618581907090464	0.6758793969849246	67	0.2388059701492537	0.9975550122249388	0.0684596577017114	0.0782396088019559	103	0.2621359223300971
consensus_min	oracle_connect_same_true	0.9435867148415786	0.4338983050847457	0.1468926553672316	476	0.4033613445378151	0.4694376528117359	0.5861344537815126	158	0.1455696202531645	0.9144254278728606	0.0	0.0855745721271393	0	0.0
forward	oracle_connect_same_true	0.9378262007523464	0.3638320775026911	0.1141011840688912	520	0.325	0.4132029339853301	0.5038461538461538	194	0.0876288659793814	0.9339853300733496	0.0	0.0660146699266503	0	0.0
max_prob	oracle_connect_same_true	0.927713247512832	0.3014256619144602	0.0692464358452138	573	0.2582897033158813	0.3618581907090464	0.4136125654450261	249	0.0321285140562249	0.9437652811735942	0.0	0.0562347188264058	0	0.0
mean_logit	oracle_connect_same_true	0.938501065981523	0.3779697624190064	0.1079913606911447	517	0.3384912959381044	0.4278728606356968	0.4854932301740812	203	0.0738916256157635	0.9315403422982884	0.0	0.0684596577017114	0	0.0
reverse	oracle_connect_same_true	0.933114296414831	0.3711558854718982	0.0975609756097561	534	0.3277153558052434	0.4278728606356968	0.4887640449438202	219	0.0958904109589041	0.9315403422982884	0.0	0.0684596577017114	0	0.0
consensus_min	oracle_fill_supported_true	0.98914291103807	0.9553001277139208	0.9553001277139208	374	1.0	0.9144254278728606	1.0	20	1.0	0.9144254278728606	0.0	0.0855745721271393	579	0.0
forward	oracle_fill_supported_true	0.9917803648161988	0.965865992414665	0.965865992414665	382	1.0	0.9339853300733496	1.0	20	1.0	0.9339853300733496	0.0	0.0660146699266503	700	0.0
max_prob	oracle_fill_supported_true	0.9932652533150904	0.9710691823899372	0.9710691823899372	386	1.0	0.9437652811735942	1.0	20	1.0	0.9437652811735942	0.0	0.0562347188264058	820	0.0
mean_logit	oracle_fill_supported_true	0.991262932458206	0.9645569620253164	0.9645569620253164	381	1.0	0.9315403422982884	1.0	20	1.0	0.9315403422982884	0.0	0.0684596577017114	709	0.0
reverse	oracle_fill_supported_true	0.9915655784706552	0.9645569620253164	0.9645569620253164	381	1.0	0.9315403422982884	1.0	20	1.0	0.9315403422982884	0.0	0.0684596577017114	701	0.0
consensus_min	raw_threshold	0.9371804057950752	0.3454367026496566	0.1099116781157998	610	0.2885245901639344	0.4303178484107579	0.6754098360655738	243	0.4444444444444444	1.2420537897310513	0.1784841075794621	0.0855745721271393	0	0.0
forward	raw_threshold	0.933071691473385	0.3062015503875969	0.0891472868217054	623	0.2536115569823435	0.3863080684596577	0.579454253611557	267	0.3295880149812734	1.1858190709046454	0.1466992665036675	0.0660146699266503	0	0.0
max_prob	raw_threshold	0.9255151300280102	0.2585551330798478	0.05893536121673	643	0.2115085536547434	0.3325183374083129	0.4696734059097978	300	0.1833333333333333	1.114914425427873	0.1100244498777506	0.0562347188264058	0	0.0
mean_logit	raw_threshold	0.9351430089284184	0.3172413793103448	0.0807881773399014	606	0.2656765676567656	0.393643031784841	0.5610561056105611	267	0.2958801498127341	1.149144254278729	0.1246943765281173	0.0684596577017114	0	0.0
reverse	raw_threshold	0.9294054340305952	0.3065134099616858	0.0804597701149425	635	0.2519685039370078	0.39119804400978	0.5622047244094488	278	0.276978417266187	1.178484107579462	0.1515892420537897	0.0684596577017114	0	0.0
