species	species_group	model	anchor_type	source	te_f1	species_probe_te_f1	quality_verdict	recommendation	label_jaccard	target_gc	distance_mya_proxy
fruit_fly	insect	insect_no_beetle_4096	insect	anchor_anchor	0.944818571090276	0.9039839809345194	calibratable	reuse_observed_best_anchor	0.888725	0.494656395206652	780.0
red_flour_beetle	insect	insect_no_beetle_4096	insect	calib_anchor	0.0059299524368398	0.149443561208267	poor_after_species_ft_audit_labels	audit_labels_before_anchor_claim	0.027167		820.0
western_honey_bee	insect	insect_primary_4096	insect	anchor_anchor	0.946524064171123	0.8108882521489972	calibratable	reuse_observed_best_anchor	0.020425		820.0
c_elegans	other	TFREPAIR_invert_boost_animal_4096_seed42	animal	anchor_anchor	0.9053972034713066	0.7666767126660243	partial_recovery_use_with_caution	reuse_observed_best_anchor	0.833784	0.3579248046875	900.0
brachypodium	plant	cross_supervised_4096	cross	calib_anchor	0.8175422271365038	0.864271876385874	calibratable	reuse_observed_best_anchor	0.101164	0.45561279296875	1500.0
maize	plant	cross_supervised_4096	cross	calib_anchor	0.9629892479990332	0.9353064782096584	calibratable	reuse_observed_best_anchor	0.095466	0.46090576171875	1500.0
rice	plant	cross_supervised_4096	cross	calib_anchor	0.8757886614942711	0.8075074141674281	calibratable	reuse_observed_best_anchor	0.042709	0.4367724609375	1500.0
sorghum	plant	cross_supervised_4096	cross	calib_anchor	0.9154621597006132	0.847627675671508	calibratable	reuse_observed_best_anchor	0.057919	0.43649658203125	1500.0
soybean	plant	TFREPAIR_invert_boost_animal_4096_seed42	animal	calib_anchor	0.5650860204945004	0.5797187709247824	partial_recovery_use_with_caution	reuse_with_calibration_or_clade_anchor	0.121572		1550.0
teosinte	plant	plant_supervised_4096	plant	calib_anchor	0.9308197551982428	0.9608349926045572	calibratable	reuse_observed_best_anchor	0.086856		1500.0
thale_cress	plant	cross_supervised_4096	cross	calib_anchor	0.7121875392581978	0.416752901380868	poor_after_species_ft_audit_labels	audit_labels_before_anchor_claim	0.043011	0.37922119140625	1550.0
cattle	vertebrate	TFREPAIR_invert_boost_animal_4096_seed42	animal	calib_anchor	0.9216935615407684	0.9486191256077836	calibratable	reuse_observed_best_anchor	0.48001		96.0
chicken	vertebrate	ntv2_500m_H0_w4096	human_h0_ntv2_500m	supp_h0_transfer	0.8516226680157541	0.927778510990864	calibratable	reuse_observed_best_anchor	0.391291	0.4113284493284493	310.0
horse	vertebrate	cross_supervised_4096	cross	calib_anchor	0.8925601404845789	0.9198305555518282	calibratable	reuse_observed_best_anchor	0.791397		96.0
human	vertebrate	ntv2_500m_H0_w4096	human_h0_ntv2_500m	supp_h0_transfer	0.961411324419745	0.9284848357485194	already_good_or_limited_gain	reuse_observed_best_anchor	0.948128		6.0
lizard	vertebrate	TFREPAIR_invert_boost_animal_4096_seed42	animal	calib_anchor	0.2416400416987031	0.9468013468013468	calibratable	train_new_anchor_or_audit_labels	0.038956		320.0
mouse	vertebrate	ntv2_500m_H0_w4096	human_h0_ntv2_500m	supp_h0_transfer	0.937559801228433	0.9524795772543428	already_good_or_limited_gain	reuse_observed_best_anchor	0.892472	0.42456898656898656	90.0
opossum	vertebrate	TFREPAIR_invert_boost_animal_4096_seed42	animal	calib_anchor	0.8811419601553324	0.9197646216850224	calibratable	reuse_observed_best_anchor	0.387702		160.0
pig	vertebrate	TFREPAIR_invert_boost_animal_4096_seed42	animal	calib_anchor	0.8761131743803473	0.9099275250061758	calibratable	reuse_observed_best_anchor	0.582164		96.0
western_clawed_frog	vertebrate	ntv2_500m_H0_w4096	human_h0_ntv2_500m	supp_h0_transfer	0.7676709570719781	0.8557160105677158	calibratable	reuse_with_calibration_or_clade_anchor	0.000179	0.5371810538664581	360.0
x_laevis	vertebrate	TFREPAIR_invert_boost_animal_4096_seed42	animal	anchor_anchor	0.4013777654205557	0.9368042130524632	calibratable	train_new_anchor_or_audit_labels	0.000194		370.0
zebrafish	vertebrate	ntv2_500m_H0_w4096	human_h0_ntv2_500m	supp_h0_transfer	0.8151318178516959	0.9035688773693424	calibratable	reuse_observed_best_anchor	0.837603	0.4137124131384462	430.0
