path	species	species_probe_te_f1	species_probe_te_precision	species_probe_te_recall	species_probe_te_auprc	macro_f1	n_windows	h0_ntv2_500m_te_f1	h0_ntv2_500m_te_auprc	probe_delta_vs_h0	label_jaccard	ucsc_bp_covered_by_self	self_bp_covered_by_ucsc	self_merged_bp	ucsc_merged_bp	species_group	quality_verdict
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/red_flour_beetle.json	red_flour_beetle	0.149443561208267	0.3333333333333333	0.096311475409836	0.1207337970243891	0.5745592428027019	1200				0.027167	0.29354	0.029068	1816066	179836	insect	poor_after_species_ft_audit_labels
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/thale_cress.json	thale_cress	0.416752901380868	0.6325834346709904	0.3107339008080707	0.4396054148413361	0.6915386661069152	1200	0.0350888069185704	0.2045764491512128	0.3816640944622976	0.043011	0.043145	0.932855	1297325	28049979	plant	poor_after_species_ft_audit_labels
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/soybean.json	soybean	0.5797187709247824	0.6908246824424528	0.4993998718172813	0.6190218928729591	0.7691263296864372	1200				0.121572	0.122064	0.967888	51176368	405794558	plant	partial_recovery_use_with_caution
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/c_elegans.json	c_elegans	0.7666767126660243	0.7955880927839593	0.7397929091028246	0.8444095750518357	0.8633246368840912	1200	0.345012472034356	0.583931227004029	0.42166424063166835	0.833784	0.964483	0.860195	10289793	9177183	other	partial_recovery_use_with_caution
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/rice.json	rice	0.8075074141674281	0.8141074575664188	0.8010135244780534	0.8861754602249458	0.869929507342425	1200	0.115519977917328	0.5109621431563902	0.6919874362501001	0.042709	0.042814	0.945597	6804792	150290274	plant	calibratable
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/western_honey_bee.json	western_honey_bee	0.8108882521489972	0.7369791666666666	0.9012738853503184	0.8973236954304942	0.9054040216084408	1200				0.020425	0.982865	0.020432	4337232	90164	insect	calibratable
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/sorghum.json	sorghum	0.847627675671508	0.8288122735347195	0.8673172030551214	0.9273490601016168	0.8980773108506555	1200	0.1793904911276665	0.6205832449595935	0.6682371845438415	0.057919	0.05798	0.982235	24648380	417568699	plant	calibratable
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/western_clawed_frog.json	western_clawed_frog	0.8557160105677158	0.8471083182447545	0.8645004287387833	0.9276479307996156	0.9093963373935006	1200	0.7676709570719781	0.7953935677915327	0.08804505349573777	0.000179	0.000179	0.967076	84407	455592780	vertebrate	calibratable
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/brachypodium.json	brachypodium	0.864271876385874	0.8903529864383957	0.8396752687196698	0.8924052901072518	0.9284100793872878	1200	0.3212749242452583	0.2974425441936872	0.5429969521406157	0.101164	0.1029	0.857087	5277523	43958318	plant	calibratable
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/zebrafish.json	zebrafish	0.9035688773693424	0.8765387642989935	0.932319107148424	0.9702967881177906	0.8895511547483599	1200	0.8151318178516959	0.8740597985663615	0.08843705951764658	0.837603	0.982602	0.850212	891480468	771367366	vertebrate	calibratable
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/fruit_fly.json	fruit_fly	0.9039839809345194	0.8716569031383534	0.9388012358393408	0.971119636541354	0.7951525206434495	1200	0.6577990369528225	0.9117740541436332	0.24618494398169688	0.888725	0.993839	0.893648	26497161	23825911	insect	calibratable
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/pig.json	pig	0.9099275250061758	0.9059485597565552	0.9139415960166868	0.970767261676694	0.9365529164240256	1200				0.582164	0.594998	0.964273	664295117	1076577590	vertebrate	calibratable
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/opossum.json	opossum	0.9197646216850224	0.908706819982236	0.931094857214412	0.9756759519332876	0.910850554397678	1200				0.387702	0.396173	0.947731	784870682	1877580601	vertebrate	calibratable
