feature_set	split	margin	min_pred	max_sd	n_species	single_anchor_coverage	single_anchor_top1_accuracy	top2_or_probe_coverage	action_contains_true_best_rate	action_contains_true_top2_rate	mean_regret_after_action	p90_regret_after_action	low_best_species_rate	low_chosen_species_rate	usable_action_policy
baseline_deployable	leave_clade_out	0.0	0.0	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.0	0.0	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.0	0.0	0.2	22	0.4090909090909091	0.0	0.5909090909090909	0.36363636363636365	0.45454545454545453	0.12967931399482885	0.3535225040988618	0.13636363636363635	0.3181818181818182	False
baseline_deployable	leave_clade_out	0.0	0.0	1.0	22	1.0	0.0	0.0	0.0	0.045454545454545456	0.3290885813407539	0.7246467850377012	0.13636363636363635	0.5454545454545454	False
baseline_deployable	leave_clade_out	0.0	0.5	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.0	0.5	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.0	0.5	0.2	22	0.3181818181818182	0.0	0.6818181818181818	0.36363636363636365	0.45454545454545453	0.12967931399482885	0.3535225040988618	0.13636363636363635	0.3181818181818182	False
baseline_deployable	leave_clade_out	0.0	0.5	1.0	22	0.7727272727272727	0.0	0.22727272727272727	0.13636363636363635	0.18181818181818182	0.2979021074811341	0.7246467850377012	0.13636363636363635	0.5454545454545454	False
baseline_deployable	leave_clade_out	0.0	0.7	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.0	0.7	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.0	0.7	0.2	22	0.3181818181818182	0.0	0.6818181818181818	0.36363636363636365	0.45454545454545453	0.12967931399482885	0.3535225040988618	0.13636363636363635	0.3181818181818182	False
baseline_deployable	leave_clade_out	0.0	0.7	1.0	22	0.3181818181818182	0.0	0.6818181818181818	0.36363636363636365	0.45454545454545453	0.12967931399482885	0.3535225040988618	0.13636363636363635	0.3181818181818182	False
baseline_deployable	leave_clade_out	0.0	0.8	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.0	0.8	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.0	0.8	0.2	22	0.045454545454545456	0.0	0.9545454545454546	0.36363636363636365	0.6363636363636364	0.09076234391203976	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.0	0.8	1.0	22	0.045454545454545456	0.0	0.9545454545454546	0.36363636363636365	0.6363636363636364	0.09076234391203976	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.0	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.0	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.0	0.2	22	0.045454545454545456	0.0	0.9545454545454546	0.36363636363636365	0.6363636363636364	0.09076234391203976	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.0	1.0	22	0.5	0.0	0.5	0.0	0.22727272727272727	0.2870056382488919	0.7246467850377012	0.13636363636363635	0.5	False
baseline_deployable	leave_clade_out	0.05	0.5	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.5	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.5	0.2	22	0.045454545454545456	0.0	0.9545454545454546	0.36363636363636365	0.6363636363636364	0.09076234391203976	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.5	1.0	22	0.36363636363636365	0.0	0.6363636363636364	0.13636363636363635	0.36363636363636365	0.25581916438927216	0.7246467850377012	0.13636363636363635	0.5	False
baseline_deployable	leave_clade_out	0.05	0.7	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.7	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.7	0.2	22	0.045454545454545456	0.0	0.9545454545454546	0.36363636363636365	0.6363636363636364	0.09076234391203976	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.7	1.0	22	0.045454545454545456	0.0	0.9545454545454546	0.36363636363636365	0.6363636363636364	0.09076234391203976	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.8	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.8	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.8	0.2	22	0.045454545454545456	0.0	0.9545454545454546	0.36363636363636365	0.6363636363636364	0.09076234391203976	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.05	0.8	1.0	22	0.045454545454545456	0.0	0.9545454545454546	0.36363636363636365	0.6363636363636364	0.09076234391203976	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.0	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.0	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.0	0.2	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.0	1.0	22	0.22727272727272727	0.0	0.7727272727272727	0.22727272727272727	0.45454545454545453	0.243999624298771	0.7246467850377012	0.13636363636363635	0.5	False
baseline_deployable	leave_clade_out	0.1	0.5	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.5	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.5	0.2	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.5	1.0	22	0.22727272727272727	0.0	0.7727272727272727	0.22727272727272727	0.45454545454545453	0.243999624298771	0.7246467850377012	0.13636363636363635	0.5	False
baseline_deployable	leave_clade_out	0.1	0.7	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.7	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.7	0.2	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.7	1.0	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.8	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.8	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.8	0.2	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.1	0.8	1.0	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.0	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
