species	species_group	recommended_top2_anchors	pred_top1_te_f1	pred_top1_q80_low	pred_top1_q80_high	pred_top1_q90_low	pred_top1_q90_high	action	deployment_warning
brachypodium	plant	plant,cross	0.9140594515152672	0.5753026149028128	1.0	0.47078168933855097	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
c_elegans	other	cross,animal	0.6831777850381159	0.3444209484256614	1.0	0.2399000228613996	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
cattle	vertebrate	animal,cross	0.6784837181713974	0.33972688155894293	1.0	0.23520595599468114	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
chicken	vertebrate	human_h0_ntv2_500m,human_h0_ntv3_100m	0.5271605632718803	0.18840372665942584	0.8659173998843348	0.08388280109516405	0.9704383254485967	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
fruit_fly	insect	insect,insect	0.6535233364815197	0.31476649986906524	0.9922801730939742	0.21024557430480345	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
horse	vertebrate	cross,animal	0.763611739568452	0.4248549029559975	1.0	0.3203339773917357	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
human	vertebrate	human_h0_ntv2_500m,animal	0.7296249898095004	0.39086815319704593	1.0	0.28634722763278414	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
lizard	vertebrate	animal,animal	0.4797885383750024	0.14103170176254792	0.8185453749874569	0.03651077619828613	0.9230663005517187	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
maize	plant	plant,cross	0.8119810843614194	0.4732242477489649	1.0	0.3687033221847031	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
mouse	vertebrate	human_h0_ntv3_100m,human_h0_ntv2_500m	0.4149347967806087	0.0761779601681542	0.7536916333930632	0.0	0.858212558957325	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
opossum	vertebrate	animal,cross	0.4740351156262024	0.1352782790137479	0.8127919522386569	0.030757353449486102	0.9173128778029187	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
pig	vertebrate	animal,cross	0.8237743895942031	0.48501755298174865	1.0	0.38049662741748685	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
red_flour_beetle	insect	plant,plant	0.1722181191506449	0.0	0.5109749557630994	0.0	0.6154958813273612	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
rice	plant	plant,cross	0.8471890516436121	0.5084322150311577	1.0	0.40391128946689586	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
sorghum	plant	plant,cross	0.8145807215429358	0.47582388493048133	1.0	0.37130295936621954	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
soybean	plant	cross,cross	0.63698839910911	0.2982315624966555	0.9757452357215645	0.1937106369323937	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
teosinte	plant	cross,cross	0.4866856440870989	0.14792880747464443	0.8254424806995534	0.04340788191038264	0.9299634062638151	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
thale_cress	plant	insect,cross	0.6184040271715187	0.2796471905590642	0.9571608637839731	0.17512626499480238	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
western_clawed_frog	vertebrate	human_h0_ntv3_100m,human_h0_ntv2_500m	0.4972485201652026	0.15849168355274812	0.8360053567776571	0.05397075798848633	0.9405262823419189	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
western_honey_bee	insect	insect,insect	0.3818386888539652	0.04308185224151073	0.7205955254664197	0.0	0.8251164510306814	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
x_laevis	vertebrate	animal,animal	0.5680372526502248	0.22928041603777027	0.9067940892626792	0.12475949047350848	1.0	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
zebrafish	vertebrate	human_h0_ntv3_100m,human_h0_ntv2_500m	0.3041022408920138	0.0	0.6428590775044682	0.0	0.7473800030687301	top2_shortlist_then_local_probe	leave_clade_unreliable; use local chromosome probe before trusting exact F1
