feature_set	split	risk_bin	n	mean_pred	mean_actual	calibration_gap	actual_ge0.8_rate	actual_lt0.5_rate
baseline_deployable	leave_species_out	high_ge0.80	2	0.834883422365591	0.7970308852940002	0.03785253707159075	0.5	0.0
baseline_deployable	leave_species_out	low_0.40_0.60	40	0.49033558396180954	0.5827454199713064	0.09240983600949682	0.35	0.475
baseline_deployable	leave_species_out	medium_0.60_0.80	47	0.6790301786423578	0.6128227516334065	0.06620742700895133	0.425531914893617	0.3617021276595745
baseline_deployable	leave_species_out	very_low_lt0.40	67	0.17414233329441414	0.22749682317623912	0.05335448988182498	0.07462686567164178	0.835820895522388
baseline_deployable	leave_clade_out	high_ge0.80	1	0.8172820050535898	0.942393180917196	0.1251111758636062	1.0	0.0
baseline_deployable	leave_clade_out	low_0.40_0.60	66	0.5012109476766753	0.3989188310357039	0.10229211664097138	0.22727272727272727	0.6363636363636364
baseline_deployable	leave_clade_out	medium_0.60_0.80	64	0.6764179435365629	0.39346379294160067	0.28295415059496226	0.21875	0.640625
baseline_deployable	leave_clade_out	very_low_lt0.40	25	0.2721598214614928	0.6598446508592914	0.38768482939779864	0.4	0.36
baseline_plus_kmer	leave_species_out	high_ge0.80	11	0.845163785712231	0.8232783101501927	0.021885475562038348	0.7272727272727273	0.09090909090909091
baseline_plus_kmer	leave_species_out	low_0.40_0.60	62	0.5004990361030525	0.48190203038633694	0.01859700571671552	0.24193548387096775	0.5483870967741935
baseline_plus_kmer	leave_species_out	medium_0.60_0.80	17	0.669266101789969	0.7844340757835746	0.11516797399360557	0.7647058823529411	0.23529411764705882
baseline_plus_kmer	leave_species_out	very_low_lt0.40	66	0.215488496381962	0.25271921916806983	0.03723072278610784	0.06060606060606061	0.803030303030303
baseline_plus_kmer	leave_clade_out	high_ge0.80	21	0.8438290617124454	0.7004001189459084	0.14342894276653706	0.5714285714285714	0.23809523809523808
baseline_plus_kmer	leave_clade_out	low_0.40_0.60	25	0.5289290397823422	0.3389402915780393	0.1899887482043029	0.12	0.72
baseline_plus_kmer	leave_clade_out	medium_0.60_0.80	44	0.7035870651041047	0.36157088537699045	0.3420161797271143	0.1590909090909091	0.7045454545454546
baseline_plus_kmer	leave_clade_out	very_low_lt0.40	66	0.23403095272521296	0.45239100462296583	0.21836005189775287	0.2727272727272727	0.5757575757575758
baseline_plus_assembly_kmer	leave_species_out	high_ge0.80	9	0.8490256407137838	0.8219163406142287	0.027109300099555145	0.7777777777777778	0.1111111111111111
baseline_plus_assembly_kmer	leave_species_out	low_0.40_0.60	42	0.5011395907881809	0.29658300424734374	0.2045565865408372	0.07142857142857142	0.8333333333333334
baseline_plus_assembly_kmer	leave_species_out	medium_0.60_0.80	38	0.6648267894967803	0.548116455762039	0.11671033373474127	0.39473684210526316	0.4473684210526316
baseline_plus_assembly_kmer	leave_species_out	very_low_lt0.40	67	0.25534081670215214	0.4218906938230508	0.16654987712089864	0.22388059701492538	0.582089552238806
baseline_plus_assembly_kmer	leave_clade_out	high_ge0.80	34	0.8317860113787446	0.46972021217060117	0.36206579920814347	0.20588235294117646	0.6764705882352942
baseline_plus_assembly_kmer	leave_clade_out	low_0.40_0.60	32	0.48421328812907877	0.3613470070916258	0.12286628103745295	0.15625	0.59375
baseline_plus_assembly_kmer	leave_clade_out	medium_0.60_0.80	46	0.6721431644857292	0.490892977408916	0.18125018707681317	0.32608695652173914	0.5217391304347826
baseline_plus_assembly_kmer	leave_clade_out	very_low_lt0.40	44	0.2578747704718753	0.42804924198808597	0.17017447151621068	0.29545454545454547	0.5909090909090909
genome_only	leave_species_out	high_ge0.80	9	0.8483317265373588	0.8219163406142287	0.026415385923130086	0.7777777777777778	0.1111111111111111
genome_only	leave_species_out	low_0.40_0.60	58	0.517699453429448	0.25543541332348274	0.26226404010596527	0.0	0.896551724137931
genome_only	leave_species_out	medium_0.60_0.80	30	0.6790050386467249	0.7322536593138428	0.053248620667117885	0.6	0.2
genome_only	leave_species_out	very_low_lt0.40	59	0.24721544324483694	0.41980888527649235	0.17259344203165541	0.2542372881355932	0.559322033898305
genome_only	leave_clade_out	high_ge0.80	19	0.8351611615706761	0.5023939996118887	0.3327671619587874	0.3157894736842105	0.5789473684210527
genome_only	leave_clade_out	low_0.40_0.60	38	0.5220048554918527	0.37381300286394026	0.14819185262791246	0.18421052631578946	0.631578947368421
genome_only	leave_clade_out	medium_0.60_0.80	55	0.7080553999011969	0.4524668567819677	0.25558854311922924	0.21818181818181817	0.6363636363636364
genome_only	leave_clade_out	very_low_lt0.40	44	0.2727675152542773	0.4616540414671487	0.18888652621287144	0.3409090909090909	0.5
