feature_set	split	species	species_group	chosen_anchor	true_best_anchor	chosen_actual_te_f1	true_best_te_f1	anchor_top1_hit	anchor_top2_hit	regret	predicted_score	predicted_uncertainty_sd	risk_bin
baseline_deployable	leave_species_out	brachypodium	plant	plant	cross	0.7765195434514967	0.8175422271365038	0	1	0.041022683685007166	0.8413871819105795	0.1478994103471161	high_ge0.80
baseline_deployable	leave_species_out	c_elegans	other	cross	animal	0.8952111633807284	0.9053972034713066	0	1	0.010186040090578219	0.5760687881271201	0.2827213717556996	low_0.40_0.60
baseline_deployable	leave_species_out	cattle	vertebrate	cross	animal	0.9213113792693672	0.9216935615407684	0	1	0.000382182271401188	0.728401589160528	0.1925223549639648	medium_0.60_0.80
baseline_deployable	leave_species_out	chicken	vertebrate	human_h0_ntv2_500m	human_h0_ntv2_500m	0.8516226680157541	0.8516226680157541	1	1	0.0	0.5896997782459609	0.2585638417201927	low_0.40_0.60
baseline_deployable	leave_species_out	fruit_fly	insect	insect	insect	0.944818571090276	0.944818571090276	1	1	0.0	0.4307083415226891	0.16727398008763153	low_0.40_0.60
baseline_deployable	leave_species_out	horse	vertebrate	animal	cross	0.8913728851560259	0.8925601404845789	0	1	0.0011872553285530163	0.7241285018382306	0.19892498416516258	medium_0.60_0.80
baseline_deployable	leave_species_out	human	vertebrate	animal	human_h0_ntv2_500m	0.904946115719272	0.961411324419745	0	1	0.056465208700473	0.7357379917699809	0.19735713803565713	medium_0.60_0.80
baseline_deployable	leave_species_out	lizard	vertebrate	animal	animal	0.2416400416987031	0.2416400416987031	1	1	0.0	0.6106893287696927	0.15525348328841104	medium_0.60_0.80
baseline_deployable	leave_species_out	maize	plant	cross	cross	0.9629892479990332	0.9629892479990332	1	1	0.0	0.6930496060576647	0.18876617037449697	medium_0.60_0.80
baseline_deployable	leave_species_out	mouse	vertebrate	human_h0_ntv2_500m	human_h0_ntv2_500m	0.937559801228433	0.937559801228433	1	1	0.0	0.696735749006469	0.1710146883279866	medium_0.60_0.80
baseline_deployable	leave_species_out	opossum	vertebrate	cross	animal	0.8799647530707007	0.8811419601553324	0	1	0.0011772070846317595	0.7379336973822145	0.20671011358359082	medium_0.60_0.80
baseline_deployable	leave_species_out	pig	vertebrate	cross	animal	0.8761042913185231	0.8761131743803473	0	1	8.88306182422749e-06	0.7505028615774434	0.1992413436794607	medium_0.60_0.80
baseline_deployable	leave_species_out	red_flour_beetle	insect	insect	insect	0.0059299524368398	0.0059299524368398	1	1	0.0	0.6845836621859559	0.22892494750729037	medium_0.60_0.80
baseline_deployable	leave_species_out	rice	plant	cross	cross	0.8757886614942711	0.8757886614942711	1	1	0.0	0.7754149172799089	0.16418488052309535	medium_0.60_0.80
