feature_set	split	species	species_group	action	deployed_anchor_or_shortlist	top1_anchor	top2_anchors	true_best_anchor	top1_contains_best	top2_contains_best	top1_actual_te_f1	top2_probe_actual_te_f1	true_best_te_f1	top1_regret	top2_probe_regret	deployed_regret	pred_top1_score	pred_top2_score	pred_margin	pred_top1_sd	risk_bin	abstain	local_probe_recommended	confidently_wrong_single_anchor
baseline_deployable	leave_species_out	brachypodium	plant	top2_shortlist_local_probe	plant,cross	plant	plant,cross	cross	0	1	0.7765195434514967	0.8175422271365038	0.8175422271365038	0.041022683685007166	0.0	0.0	0.8413871819105795	0.8283796628206025	0.013007519089976993	0.1478994103471161	high_ge0.80	0	1	0
baseline_deployable	leave_species_out	c_elegans	other	top2_shortlist_local_probe	cross,animal	cross	cross,animal	animal	0	1	0.8952111633807284	0.9053972034713066	0.9053972034713066	0.010186040090578219	0.0	0.0	0.5760687881271201	0.5054103632181733	0.0706584249089468	0.2827213717556996	low_0.40_0.60	0	1	0
baseline_deployable	leave_species_out	cattle	vertebrate	top2_shortlist_local_probe	cross,animal	cross	cross,animal	animal	0	1	0.9213113792693672	0.9216935615407684	0.9216935615407684	0.000382182271401188	0.0	0.0	0.728401589160528	0.7214916093828188	0.006909979777709241	0.1925223549639648	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	chicken	vertebrate	top2_shortlist_local_probe	human_h0_ntv2_500m,human_h0_ntv2_250m	human_h0_ntv2_500m	human_h0_ntv2_500m,human_h0_ntv2_250m	human_h0_ntv2_500m	1	1	0.8516226680157541	0.8516226680157541	0.8516226680157541	0.0	0.0	0.0	0.5896997782459609	0.542267702557963	0.0474320756879979	0.2585638417201927	low_0.40_0.60	0	1	0
baseline_deployable	leave_species_out	fruit_fly	insect	top2_shortlist_local_probe	insect,insect	insect	insect,insect	insect	1	1	0.944818571090276	0.944818571090276	0.944818571090276	0.0	0.0	0.0	0.4307083415226891	0.4307083415226891	0.0	0.1672739800876315	low_0.40_0.60	0	1	0
baseline_deployable	leave_species_out	horse	vertebrate	top2_shortlist_local_probe	animal,cross	animal	animal,cross	cross	0	1	0.8913728851560259	0.8925601404845789	0.8925601404845789	0.0011872553285530163	0.0	0.0	0.7241285018382306	0.7191012089653074	0.00502729287292325	0.1989249841651625	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	human	vertebrate	top2_shortlist_local_probe	animal,cross	animal	animal,cross	human_h0_ntv2_500m	0	0	0.904946115719272	0.904946115719272	0.961411324419745	0.056465208700473	0.056465208700473	0.056465208700473	0.7357379917699809	0.7277154573222392	0.008022534447741703	0.1973571380356571	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	lizard	vertebrate	top2_shortlist_local_probe	animal,animal	animal	animal,animal	animal	1	1	0.2416400416987031	0.2416400416987031	0.2416400416987031	0.0	0.0	0.0	0.6106893287696927	0.6106893287696927	0.0	0.155253483288411	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	maize	plant	top2_shortlist_local_probe	cross,plant	cross	cross,plant	cross	1	1	0.9629892479990332	0.9629892479990332	0.9629892479990332	0.0	0.0	0.0	0.6930496060576647	0.6885373751161015	0.004512230941563278	0.1887661703744969	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	mouse	vertebrate	top2_shortlist_local_probe	human_h0_ntv2_500m,human_h0_ntv2_250m	human_h0_ntv2_500m	human_h0_ntv2_500m,human_h0_ntv2_250m	human_h0_ntv2_500m	1	1	0.937559801228433	0.937559801228433	0.937559801228433	0.0	0.0	0.0	0.696735749006469	0.6359546046593907	0.060781144347078264	0.1710146883279866	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	opossum	vertebrate	top2_shortlist_local_probe	cross,animal	cross	cross,animal	animal	0	1	0.8799647530707007	0.8811419601553324	0.8811419601553324	0.0011772070846317595	0.0	0.0	0.7379336973822145	0.7370746587018489	0.0008590386803656314	0.2067101135835908	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	pig	vertebrate	top2_shortlist_local_probe	cross,animal	cross	cross,animal	animal	0	1	0.8761042913185231	0.8761131743803473	0.8761131743803473	8.88306182422749e-06	0.0	0.0	0.7505028615774434	0.7483826141680735	0.002120247409369891	0.1992413436794607	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	red_flour_beetle	insect	top2_shortlist_local_probe	insect,insect	insect	insect,insect	insect	1	1	0.0059299524368398	0.0059299524368398	0.0059299524368398	0.0	0.0	0.0	0.6845836621859559	0.6845836621859559	0.0	0.2289249475072903	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	rice	plant	top2_shortlist_local_probe	cross,plant	cross	cross,plant	cross	1	1	0.8757886614942711	0.8757886614942711	0.8757886614942711	0.0	0.0	0.0	0.7754149172799089	0.7705670312961483	0.004847885983760514	0.1641848805230953	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	sorghum	plant	top2_shortlist_local_probe	plant,cross	plant	plant,cross	cross	0	1	0.9087078620701828	0.9154621597006132	0.9154621597006132	0.006754297630430339	0.0	0.0	0.734041844304622	0.7300928513957051	0.003948992908916926	0.1776995412175369	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	soybean	plant	top2_shortlist_local_probe	cross,cross	cross	cross,cross	animal	0	0	0.4136761357660033	0.4136761357660033	0.5650860204945004	0.1514098847284971	0.1514098847284971	0.1514098847284971	0.7140797944171853	0.7140797944171853	0.0	0.2543037871419871	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	teosinte	plant	top2_shortlist_local_probe	cross,cross	cross	cross,cross	plant	0	0	0.9299634062638152	0.9299634062638152	0.9308197551982428	0.0008563489344275421	0.0008563489344275421	0.0008563489344275421	0.4784528532464422	0.4784528532464422	0.0	0.0899990255374274	low_0.40_0.60	0	1	0
baseline_deployable	leave_species_out	thale_cress	plant	top2_shortlist_local_probe	cross,plant	cross	cross,plant	cross	1	1	0.7121875392581978	0.7121875392581978	0.7121875392581978	0.0	0.0	0.0	0.6975316968846815	0.6715740391546008	0.02595765773008074	0.1985220349174778	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	western_clawed_frog	vertebrate	top2_shortlist_local_probe	human_h0_ntv2_500m,human_h0_ntv2_250m	human_h0_ntv2_500m	human_h0_ntv2_500m,human_h0_ntv2_250m	human_h0_ntv2_500m	1	1	0.7676709570719781	0.7676709570719781	0.7676709570719781	0.0	0.0	0.0	0.6382214941402287	0.616044467949251	0.02217702619097761	0.23571864166768	medium_0.60_0.80	0	1	0
baseline_deployable	leave_species_out	western_honey_bee	insect	top2_shortlist_local_probe	cross,cross	cross	cross,cross	insect	0	0	0.0052898014902451	0.0052898014902451	0.946524064171123	0.941234262680878	0.941234262680878	0.941234262680878	0.0215387082584579	0.0215387082584579	0.0	0.1025132637963789	very_low_lt0.40	0	1	0
baseline_deployable	leave_species_out	x_laevis	vertebrate	top2_shortlist_local_probe	animal,animal	animal	animal,animal	animal	1	1	0.4013777654205557	0.4013777654205557	0.4013777654205557	0.0	0.0	0.0	0.4899507806636435	0.4899507806636435	0.0	0.2341721591212888	low_0.40_0.60	0	1	0
baseline_deployable	leave_species_out	zebrafish	vertebrate	top2_shortlist_local_probe	human_h0_ntv2_500m,human_h0_ntv3_100m	human_h0_ntv2_500m	human_h0_ntv2_500m,human_h0_ntv3_100m	human_h0_ntv2_500m	1	1	0.8151318178516959	0.8151318178516959	0.8151318178516959	0.0	0.0	0.0	0.6160921663667418	0.5913816606721661	0.02471050569457567	0.2333212558762515	medium_0.60_0.80	0	1	0
baseline_deployable	leave_clade_out	brachypodium	plant	abstain_require_local_probe		insect	insect,plant	cross	0	0	0.4502561696769175	0.7765195434514967	0.8175422271365038	0.3672860574595863	0.041022683685007166	nan	0.7565025769695534	0.7337274533189468	0.02277512365060652	0.1714354552157842	medium_0.60_0.80	1	1	0
baseline_deployable	leave_clade_out	c_elegans	other	abstain_require_local_probe		cross	cross,animal	animal	0	1	0.8952111633807284	0.9053972034713066	0.9053972034713066	0.010186040090578219	0.0	nan	0.5760687881271201	0.5054103632181733	0.0706584249089468	0.2827213717556996	low_0.40_0.60	1	1	0
baseline_deployable	leave_clade_out	cattle	vertebrate	abstain_require_local_probe		insect	insect,animal	animal	0	1	0.2681289424464008	0.9216935615407684	0.9216935615407684	0.6535646190943676	0.0	nan	0.6232530193171872	0.4960434828091383	0.12720953650804895	0.2125304660020858	medium_0.60_0.80	1	1	0
baseline_deployable	leave_clade_out	chicken	vertebrate	abstain_require_local_probe		human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	0	1	0.6195493201860316	0.8516226680157541	0.8516226680157541	0.23207334782972255	0.0	nan	0.4817853118312318	0.407000934718186	0.07478437711304581	0.256591242492072	low_0.40_0.60	1	1	0
baseline_deployable	leave_clade_out	fruit_fly	insect	abstain_require_local_probe		cross	cross,animal	insect	0	0	0.942393180917196	0.9437257723304636	0.944818571090276	0.0024253901730799665	0.0010927987598123856	nan	0.8172820050535898	0.72946150027776	0.08782050477582981	0.1283227196392206	high_ge0.80	1	1	0
baseline_deployable	leave_clade_out	horse	vertebrate	abstain_require_local_probe		insect	insect,animal	cross	0	0	0.1869044858967403	0.8913728851560259	0.8925601404845789	0.7056556545878385	0.0011872553285530163	nan	0.6232530193171872	0.4960434828091383	0.12720953650804895	0.2125304660020858	medium_0.60_0.80	1	1	0
baseline_deployable	leave_clade_out	human	vertebrate	abstain_require_local_probe		insect	insect,animal	human_h0_ntv2_500m	0	0	0.1477908337777611	0.904946115719272	0.961411324419745	0.8136204906419839	0.056465208700473	nan	0.6232530193171872	0.4960434828091383	0.12720953650804895	0.2125304660020858	medium_0.60_0.80	1	1	0
baseline_deployable	leave_clade_out	lizard	vertebrate	abstain_require_local_probe		insect	insect,insect	animal	0	0	0.1418302477559669	0.1418302477559669	0.2416400416987031	0.0998097939427362	0.0998097939427362	nan	0.6232530193171872	0.6232530193171872	0.0	0.2125304660020858	medium_0.60_0.80	1	1	0
baseline_deployable	leave_clade_out	maize	plant	abstain_require_local_probe		insect	insect,plant	cross	0	0	0.8258861241547802	0.9619894139220538	0.9629892479990332	0.13710312384425294	0.0009998340769793446	nan	0.749881206639109	0.7301274326274249	0.0197537740116841	0.1713839633779637	medium_0.60_0.80	1	1	0
baseline_deployable	leave_clade_out	mouse	vertebrate	abstain_require_local_probe		human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	0	1	0.7771925460040144	0.937559801228433	0.937559801228433	0.16036725522441853	0.0	nan	0.4817853118312318	0.407000934718186	0.07478437711304581	0.256591242492072	low_0.40_0.60	1	1	0
baseline_deployable	leave_clade_out	opossum	vertebrate	abstain_require_local_probe		insect	insect,animal	animal	0	1	0.3505344111723824	0.8811419601553324	0.8811419601553324	0.53060754898295	0.0	nan	0.6232530193171872	0.4960434828091383	0.12720953650804895	0.2125304660020858	medium_0.60_0.80	1	1	0
baseline_deployable	leave_clade_out	pig	vertebrate	abstain_require_local_probe		insect	insect,animal	animal	0	1	0.1493562637371058	0.8761131743803473	0.8761131743803473	0.7267569106432414	0.0	nan	0.6232530193171872	0.4960434828091383	0.12720953650804895	0.2125304660020858	medium_0.60_0.80	1	1	0
baseline_deployable	leave_clade_out	red_flour_beetle	insect	abstain_require_local_probe		cross	cross,cross	insect	0	0	0.0030871384254842	0.0030871384254842	0.0059299524368398	0.0028428140113556	0.0028428140113556	nan	0.7181661375679801	0.7181661375679801	0.0	0.1959322635437896	medium_0.60_0.80	1	1	0
baseline_deployable	leave_clade_out	rice	plant	abstain_require_local_probe		insect	insect,plant	cross	0	0	0.6461381376419327	0.8707687905287769	0.8757886614942711	0.22965052385233842	0.0050198709654942775	nan	0.7565896238450348	0.7330417136114997	0.023547910233535085	0.1711434971906512	medium_0.60_0.80	1	1	0
