variant	split	iou_threshold	boundary_tol_bp	train_steps	mean_train_loss	token_label_mode	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision	segment_recall	segment_f1	mean_matched_iou	boundary_precision	boundary_recall	boundary_f1	median_boundary_error_bp	pred_true_backed_rate	short_pred_segments	short_true_backed_rate	short_mean_best_iou	mean_fragments_per_true	split_true_rate	missed_true_rate	deleted_baseline_fragments	deleted_true_backed_fragments	deleted_false_fragments	deleted_true_backed_fraction
ce_baseline	val	0.8	5	40	0.062281178834382445	single_nt	83579	7428	1148	71685	0.9183799048424847	0.9864506001628761	0.9511989711723401	0.517132568359375	0.555462646484375	163840	156	353	62	291	94	0.17563739376770537	0.3974358974358974	0.24361493123772102	0.9391268382758398	0.0708215297450425	0.16025641025641027	0.09823182711198428	5.75	0.45042492917847027	243	0.29218106995884774	0.018265276036901527	1.435897435897436	0.1346153846153846	0.019230769230769232	0	0	0	0.0
joint_hmm	val	0.8	5	40	0.019009666843339802	single_nt	82416	4153	2311	74960	0.9520267070198339	0.9727241611292741	0.9622641509433962	0.517132568359375	0.528375244140625	163840	156	108	66	42	90	0.6111111111111112	0.4230769230769231	0.5	0.9493389592204013	0.2777777777777778	0.19230769230769232	0.2272727272727273	4.5	0.8518518518518519	6	0.6666666666666666	0.43176516222636074	0.9487179487179487	0.01282051282051282	0.0641025641025641	202	49	153	0.24257425742574257
joint_crf	val	0.8	5	40	0.028315344452857973	single_nt	82884	6910	1843	72203	0.9230460832572333	0.9782477840593907	0.9498455773230728	0.517132568359375	0.54805908203125	163840	156	95	56	39	100	0.5894736842105263	0.358974358974359	0.4462151394422311	0.9380609431787766	0.24210526315789474	0.14743589743589744	0.18326693227091634	5.25	0.7684210526315789	5	0.8	0.638179899625241	0.9807692307692307	0.01282051282051282	0.03205128205128205	131	23	108	0.17557251908396945
joint_semimarkov_proxy	val	0.8	5	40	0.07079427422722802	single_nt	80105	2161	4622	76952	0.9737315537403058	0.945448322258548	0.9593815309623757	0.517132568359375	0.50211181640625	163840	156	144	79	65	77	0.5486111111111112	0.5064102564102564	0.5266666666666667	0.943840084078358	0.2013888888888889	0.1858974358974359	0.19333333333333336	6.0	0.8958333333333334	17	0.5882352941176471	0.3004821255849731	1.0576923076923077	0.08974358974358974	0.0641025641025641	212	53	159	0.25
boundary_aux	val	0.8	5	40	0.06756924047949724	single_nt	82276	5287	2451	73826	0.939620616013613	0.9710717952954784	0.9550873527192525	0.517132568359375	0.534442138671875	163840	156	367	82	285	74	0.22343324250681199	0.5256410256410257	0.31357552581261955	0.9501149476183459	0.10899182561307902	0.2564102564102564	0.15296367112810708	3.75	0.48501362397820164	234	0.27350427350427353	0.02973091741755459	1.3846153846153846	0.22435897435897437	0.03205128205128205	141	39	102	0.2765957446808511
semimarkov_retention	val	0.8	5	40	0.07716273285477655	single_nt	80326	2394	4401	76719	0.971058994197292	0.9480566997533254	0.9594199955806911	0.517132568359375	0.5048828125	163840	156	152	81	71	75	0.5328947368421053	0.5192307692307693	0.5259740259740261	0.9486633104677212	0.21710526315789475	0.21153846153846154	0.2142857142857143	4.5	0.8881578947368421	22	0.5	0.20093164097856234	1.0705128205128205	0.09615384615384616	0.057692307692307696	219	53	166	0.2420091324200913
ce_baseline	test	0.8	5	40	0.062281178834382445	single_nt	45363	5264	26521	86692	0.8960238607857467	0.6310583718212676	0.7405539094448662	0.4387451171875	0.309002685546875	163840	244	336	89	247	155	0.2648809523809524	0.36475409836065575	0.30689655172413793	0.9343773998834838	0.12202380952380952	0.1680327868852459	0.1413793103448276	4.0	0.6696428571428571	183	0.47540983606557374	0.0368254019499804	1.1147540983606556	0.13934426229508196	0.26229508196721313	0	0	0	0.0
joint_hmm	test	0.8	5	40	0.019009666843339802	single_nt	55796	4010	16088	87946	0.9329498712503762	0.7761949808024039	0.8473840078973347	0.4387451171875	0.36502685546875	163840	244	147	75	72	169	0.5102040816326531	0.3073770491803279	0.3836317135549872	0.942196472227825	0.272108843537415	0.16393442622950818	0.20460358056265984	2.5	0.8639455782312925	4	0.75	0.5200585168277837	0.7459016393442623	0.01639344262295082	0.30327868852459017	114	47	67	0.41228070175438597
joint_crf	test	0.8	5	40	0.028315344452857973	single_nt	63802	13845	8082	78111	0.8216930467371566	0.8875688609426298	0.8533615103222743	0.4387451171875	0.473919677734375	163840	244	134	67	67	177	0.5	0.27459016393442626	0.35449735449735453	0.9228119411323668	0.12686567164179105	0.06967213114754098	0.08994708994708994	8.0	0.8283582089552238	6	1.0	0.6753637796035457	0.8319672131147541	0.00819672131147541	0.1762295081967213	94	45	49	0.4787234042553192
joint_semimarkov_proxy	test	0.8	5	40	0.07079427422722802	single_nt	57720	3337	14164	88619	0.9453461519563686	0.802960324968004	0.8683551349846924	0.4387451171875	0.372662353515625	163840	244	173	88	85	156	0.5086705202312138	0.36065573770491804	0.42206235011990406	0.9442908251255372	0.2543352601156069	0.18032786885245902	0.21103117505995203	3.5	0.9132947976878613	25	0.68	0.4040982243591331	0.7418032786885246	0.036885245901639344	0.3114754098360656	151	75	76	0.4966887417218543
