exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	edge_source	position_bin	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/red_flour_beetle/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_window	edge_left_10	0	13180	293	232527	0.0	0.0	0.0	0.0011910569105691056	0.05357723577235772	246000
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/red_flour_beetle/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_window	inner_left_10_25	0	19074	394	348932	0.0	0.0	0.0	0.0010694896851248642	0.05177524429967427	368400
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/red_flour_beetle/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_window	center_25_75	0	65162	1161	1162477	0.0	0.0	0.0	0.00094482421875	0.05302897135416667	1228800
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/red_flour_beetle/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_window	inner_right_75_90	0	19293	290	348817	0.0	0.0	0.0	0.0007871878393051031	0.05236970684039088	368400
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/red_flour_beetle/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_window	edge_right_10	0	12885	184	232931	0.0	0.0	0.0	0.0007479674796747967	0.0523780487804878	246000
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/red_flour_beetle/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	merged_coordinate	edge_left_10	0	13455	293	232252	0.0	0.0	0.0	0.0011910569105691056	0.05469512195121951	246000
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/red_flour_beetle/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	merged_coordinate	inner_left_10_25	0	19489	394	348517	0.0	0.0	0.0	0.0010694896851248642	0.05290173724212812	368400
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/red_flour_beetle/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	merged_coordinate	center_25_75	0	64635	1161	1163004	0.0	0.0	0.0	0.00094482421875	0.05260009765625	1228800
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/red_flour_beetle/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	merged_coordinate	inner_right_75_90	0	18730	290	349380	0.0	0.0	0.0	0.0007871878393051031	0.050841476655808904	368400
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/red_flour_beetle/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	merged_coordinate	edge_right_10	0	13027	184	232789	0.0	0.0	0.0	0.0007479674796747967	0.05295528455284553	246000
