exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	variant	threshold	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision_iou50	segment_recall_iou50	segment_f1_iou50	mean_matched_iou	boundary_precision_100bp	boundary_recall_100bp	boundary_f1_100bp	median_boundary_error_bp	mean_pred_fragments_per_true_te	median_pred_fragments_per_true_te	split_true_te_rate	missed_true_te_rate	pred_short_fragment_rate	mean_pred_segment_len	chrom
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/western_honey_bee/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_threshold	0.35	0	3155	0	1231789	0.0	0.0	0.0	0.0	0.002554771714344942	1234944	0	166	0	166	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.9216867469879518	19.00602409638554	GroupUn
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/western_honey_bee/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_threshold	0.35	0.0	3155.0	0.0	1231789.0	0.0	0.0	0.0	0.0	0.002554771714344942	1234944.0	0.0	166.0	0.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.9216867469879518	19.00602409638554	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/western_honey_bee/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap50_min80	0.35	0	2842	0	1232102	0.0	0.0	0.0	0.0	0.0023013189262023215	1234944	0	15	0	15	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	189.46666666666667	GroupUn
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/western_honey_bee/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap50_min80	0.35	0.0	2842.0	0.0	1232102.0	0.0	0.0	0.0	0.0	0.0023013189262023215	1234944.0	0.0	15.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	189.46666666666667	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/western_honey_bee/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap100_min100	0.35	0	2693	0	1232251	0.0	0.0	0.0	0.0	0.0021806656820066335	1234944	0	12	0	12	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	224.41666666666666	GroupUn
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/western_honey_bee/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap100_min100	0.35	0.0	2693.0	0.0	1232251.0	0.0	0.0	0.0	0.0	0.0021806656820066335	1234944.0	0.0	12.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	224.41666666666666	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/western_honey_bee/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap200_min100	0.35	0	3263	0	1231681	0.0	0.0	0.0	0.0	0.002642225072553897	1234944	0	11	0	11	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	296.6363636363636	GroupUn
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/western_honey_bee/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap200_min100	0.35	0.0	3263.0	0.0	1231681.0	0.0	0.0	0.0	0.0	0.002642225072553897	1234944.0	0.0	11.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	296.6363636363636	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/western_honey_bee/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	hmm_penalty2	0.35	0	1424	0	1233520	0.0	0.0	0.0	0.0	0.0011530887230514096	1234944	0	13	0	13	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.38461538461538464	109.53846153846153	GroupUn
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/western_honey_bee/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	hmm_penalty2	0.35	0.0	1424.0	0.0	1233520.0	0.0	0.0	0.0	0.0	0.0011530887230514096	1234944.0	0.0	13.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.38461538461538464	109.53846153846153	WEIGHTED_MEAN
