panel	species	stage	te_f1	te_precision	te_recall	te_auprc	label_jaccard	self_merged_bp	ucsc_merged_bp	self_bp_covered_by_ucsc	ucsc_bp_covered_by_self
primary_pre_registered	cattle	invert_boost_animal_4096_to_a1_eval	0.9216935615407685	0.9040846326737928	0.9400020569599027	0.9745266649815323	0.480010	641516843	1264081324	0.963405	0.488924
primary_pre_registered	horse	invert_boost_animal_4096_to_a1_eval	0.8913728851560259	0.882259362667683	0.9006766537368851	0.9579191884162652	0.791397	892563554	1063406667	0.968112	0.812579
primary_pre_registered	human	invert_boost_animal_4096_to_a1_eval	0.9049455482038951	0.9001699900501237	0.9097720469372984	0.9681417352244687	0.948128	1410192187	1429492481	0.980034	0.966802
primary_pre_registered	pig	invert_boost_animal_4096_to_a1_eval	0.8761131743803473	0.8667505542735011	0.885680272884362	0.9464406197361376	0.582164	664295117	1076577590	0.964273	0.594998
primary_pre_registered	cattle	invert_boost_animal_4096_to_a2_eval	0.9216935615407685	0.9040846326737928	0.9400020569599027	0.9745266776305945	0.480010	641516843	1264081324	0.963405	0.488924
primary_pre_registered	horse	invert_boost_animal_4096_to_a2_eval	0.8913728851560259	0.882259362667683	0.9006766537368851	0.9579191884162652	0.791397	892563554	1063406667	0.968112	0.812579
primary_pre_registered	human	invert_boost_animal_4096_to_a2_eval	0.9049461157192719	0.900171113133666	0.9097720469372984	0.968141736526607	0.948128	1410192187	1429492481	0.980034	0.966802
stress_diagnostic	lizard	invert_boost_animal_4096_to_a2_eval	0.24164004169870312	0.13773661928547512	0.9837285714753701	0.18947577242964816	0.038956	41691771	96375917	0.124170	0.053715
primary_pre_registered	opossum	invert_boost_animal_4096_to_a2_eval	0.8811419601553324	0.867206149113307	0.8955329770582297	0.9539915687839203	0.387702	784870682	1877580601	0.947731	0.396173
primary_pre_registered	pig	invert_boost_animal_4096_to_a2_eval	0.8761131743803473	0.8667505542735011	0.885680272884362	0.9464406218412434	0.582164	664295117	1076577590	0.964273	0.594998
stress_diagnostic	red_flour_beetle	invert_boost_animal_4096_to_a2_eval	0.004448888579938293	0.0022521425129795954	0.1808695652173913	0.01750560753269763	0.027167	1816066	179836	0.029068	0.293540
stress_diagnostic	western_honey_bee	invert_boost_animal_4096_to_a2_eval	0.052179883281840034	0.026788861473387382	1.0	0.5613685593670075	0.020425	4337232	90164	0.020432	0.982865
stress_diagnostic	x_laevis	invert_boost_animal_4096_to_a2_eval	0.40137759810717816	0.2520076589926687	0.9855073650424544	0.46391031567212787	0.000194	56801	238590187	0.813401	0.000194
primary_pre_registered	c_elegans	invert_boost_animal_4096_to_b_finetune_eval	0.9053972034713066	0.877762380570345	0.9348286589596441	0.9691853122823345	0.833784	10289793	9177183	0.860195	0.964483
primary_pre_registered	chicken	invert_boost_animal_4096_to_b_finetune_eval	0.9526735217094694	0.9326820532155553	0.9735407718083073	0.9906721041294295	0.391291	40667484	101005421	0.979765	0.394479
primary_pre_registered	fruit_fly	invert_boost_animal_4096_to_b_finetune_eval	0.9437257723304636	0.9021813543565833	0.9892810306292843	0.9898579694027209	0.888725	26497161	23825911	0.893648	0.993839
primary_pre_registered	mouse	invert_boost_animal_4096_to_b_finetune_eval	0.9622946321173395	0.9439433854706015	0.9813735605136596	0.9950364926677774	0.892472	1012599366	1105449631	0.986424	0.903571
primary_pre_registered	western_clawed_frog	invert_boost_animal_4096_to_b_finetune_eval	0.9384484554812158	0.9060519977742699	0.9732475316660966	0.9880703503509191	0.000179	84407	455592780	0.967076	0.000179
primary_pre_registered	zebrafish	invert_boost_animal_4096_to_b_finetune_eval	0.9079971499897331	0.8611104756367499	0.9602837161867439	0.9742739114134099	0.837603	891480468	771367366	0.850212	0.982602
