exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	edge_source	position_bin	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	source_path
PIPE-TEFM-SEG-SF-20260618	generanno	2048	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	2400	raw_window	edge_left_10	210631	16059	15678	249632	0.9291587630685076	0.9307230379702088	0.9299402426936925	0.45997764227642274	0.4607520325203252	492000	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s1024.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	2400	raw_window	inner_left_10_25	324404	20220	20278	371898	0.9413273596731511	0.9411689615355603	0.9412481539403399	0.46780944625407167	0.46773072747014116	736800	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s1024.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	2400	raw_window	center_25_75	1066721	65577	72416	1252886	0.9420850341517869	0.9364290686721615	0.9392485367179777	0.4635160319010417	0.46073323567708335	2457600	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s1024.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	2400	raw_window	inner_right_75_90	319973	20320	22448	374059	0.9402867528864831	0.9344432730469218	0.9373559059869873	0.46474077090119437	0.46185260586319216	736800	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s1024.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	2400	raw_window	edge_right_10	209633	15408	16107	250852	0.9315324763043179	0.92864800212634	0.9300880028217693	0.4588211382113821	0.45740040650406505	492000	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s1024.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	2400	merged_coordinate	edge_left_10	211701	12629	14608	253062	0.9437034725627423	0.9354510867884176	0.9395591593270889	0.45997764227642274	0.4559552845528455	492000	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s1024.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	2400	merged_coordinate	inner_left_10_25	324090	18287	20592	373831	0.946588117776603	0.9402579769178547	0.9434124289180406	0.46780944625407167	0.46468105320304015	736800	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s1024.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	2400	merged_coordinate	center_25_75	1066923	63684	72214	1254779	0.9436727350883198	0.9366063958944358	0.9401262873698533	0.4635160319010417	0.460045166015625	2457600	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s1024.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	2400	merged_coordinate	inner_right_75_90	319770	19628	22651	374751	0.9421681919162753	0.933850435574921	0.9379908744109507	0.46474077090119437	0.46063789359391966	736800	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s1024.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	2400	merged_coordinate	edge_right_10	211379	13136	14361	253124	0.9414916598000134	0.9363825640116948	0.9389301617972038	0.4588211382113821	0.45633130081300816	492000	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s1024.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	2048	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s2048/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	1200	raw_window	edge_left_10	103368	8536	9125	124971	0.9237203317128968	0.9188838416612589	0.9212957392478509	0.45728861788617886	0.4548943089430894	246000	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s2048.tsv
