n	n_clusters	ari	nmi	holdout_accuracy	holdout_macro_f1	silhouette	sklearn_available	setting	fragments	model_path	model_kind	length	source_path
480	4	0.05578758524395867	0.09116884858589529	0.38333333333333336	0.3285795132993775	0.2436424195766449	True	A0	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_128.jsonl.gz	/home/users/j/jwang/ab-initio-TE/.backup/pretrained_models/GENERanno-eukaryote-0.5b-base	base	128	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len128/A0/metrics.json
480	4	0.34371621524477075	0.3637732253852922	0.55	0.5531240345004402	0.21216526627540588	True	A1	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_128.jsonl.gz	/home/users/j/jwang/ab-initio-TE/.backup/pretrained_models/GENERanno-eukaryote-0.5b-base	base	128	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len128/A1/metrics.json
480	4	0.245205178536346	0.2675256141179546	0.525	0.4443831296807253	0.6763560175895691	True	B0	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_128.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42/best_model	token	128	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len128/B0_w2048/metrics.json
480	4	0.2335287644080632	0.25982625932949177	0.475	0.3680091354723708	0.6361107230186462	True	B0	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_128.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42/best_model	token	128	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len128/B0_w4096/metrics.json
480	4	0.24289538908896627	0.26380693001227523	0.5333333333333333	0.45078721143629863	0.6167426705360413	True	B1	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_128.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42/best_model	token	128	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len128/B1_w2048/metrics.json
480	4	0.18261500450456464	0.275399608136045	0.49166666666666664	0.3402777777777778	0.5697287321090698	True	B1	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_128.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42/best_model	token	128	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len128/B1_w4096/metrics.json
480	4	0.12483655031528744	0.2028804907287443	0.48333333333333334	0.3976070104482643	0.08378659933805466	True	C0	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_128.jsonl.gz		base	128	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len128/C0/metrics.json
480	4	0.8032018081384508	0.7714902248176535	0.6833333333333333	0.6827346041055719	0.4380539059638977	True	C1	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_128.jsonl.gz		base	128	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len128/C1/metrics.json
480	4	0.17870973219748262	0.2102006156492851	0.48333333333333334	0.36902419830808575	0.2775208652019501	True	A0	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_256.jsonl.gz	/home/users/j/jwang/ab-initio-TE/.backup/pretrained_models/GENERanno-eukaryote-0.5b-base	base	256	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len256/A0/metrics.json
480	4	0.6290622080606907	0.6011972740009323	0.7833333333333333	0.7815298507462687	0.3371831178665161	True	A1	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_256.jsonl.gz	/home/users/j/jwang/ab-initio-TE/.backup/pretrained_models/GENERanno-eukaryote-0.5b-base	base	256	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len256/A1/metrics.json
480	4	0.24993019975806074	0.28009081039051453	0.525	0.41182293316439655	0.7397483587265015	True	B0	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_256.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42/best_model	token	256	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len256/B0_w2048/metrics.json
480	4	0.22096071761315625	0.26397722003223056	0.5166666666666667	0.40085887949260046	0.6381886601448059	True	B0	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_256.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42/best_model	token	256	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len256/B0_w4096/metrics.json
480	4	0.2525407297585944	0.31566107293390794	0.5916666666666667	0.5179622132253712	0.6192333102226257	True	B1	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_fragments/B_animal/fragments_256.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42/best_model	token	256	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/embedding_cluster/B_animal/len256/B1_w2048/metrics.json
