stage	model_key	window	group	n_species	n_rows	mean_te_f1	median_te_f1	mean_te_auprc	median_te_auprc	mean_macro_f1	median_macro_f1	mean_te_precision	mean_te_recall
mixedA2_to_A2_w4096	generanno	4096	invertebrate	2	2	0.009358282948752298	0.009358282948752298	0.29689784436980377	0.29689784436980377	0.49558103617167726	0.49558103617167726	0.004716058231371757	0.5978260869565217
mixedA2_to_A2_w4096	generanno	4096	vertebrate	7	7	0.7159872183139158	0.8630363107054198	0.7495807676105823	0.9391256604400969	0.8020613056626614	0.8925602851344838	0.7073530737073855	0.8764403629849167
mixedA2_to_A2_w4096	ntv2_500m	4096	invertebrate	2	2	0.007060053822891121	0.007060053822891121	0.02840129625844512	0.02840129625844512	0.49731289040743687	0.49731289040743687	0.003554090229616019	0.5910290237467019
mixedA2_to_A2_w4096	ntv2_500m	4096	vertebrate	7	7	0.6941097868454067	0.8083735210835572	0.7500340108999407	0.9105825723336328	0.7926430959314642	0.8386322633956209	0.6818531509523641	0.8138102546850006
mouse_to_A1_w4096	generanno	4096	vertebrate	4	4	0.8721286226373152	0.8799500409755265	0.9452310210858804	0.9506782892151193	0.9053661939104765	0.9115670000613816	0.9279490894406484	0.8234095868595392
mouse_to_A1_w4096	ntv2_500m	4096	vertebrate	4	4	0.8545909332366135	0.8820755707628624	0.9365829927623125	0.9520876226641575	0.8928116403459412	0.9050360329633753	0.8906523848103935	0.8255081642376347
mixedA2_to_A2_w4096	generanno	4096		9	9	0.5589585660105462	0.8450522889667053	0.6489845624459649	0.9098496919135409	0.7339545791091093	0.8844201157345042	0.5512115147127159	0.8145260794230512
mixedA2_to_A2_w4096	ntv2_500m	4096		9	9	0.5414320683959588	0.7628850873658375	0.5896711854240527	0.8819364468926346	0.7270141613705694	0.8348664957786595	0.531120026347309	0.7643033144764897
mouse_to_A1_w4096	generanno	4096		4	4	0.8721286226373152	0.8799500409755265	0.9452310210858804	0.9506782892151193	0.9053661939104765	0.9115670000613816	0.9279490894406484	0.8234095868595392
mouse_to_A1_w4096	ntv2_500m	4096		4	4	0.8545909332366135	0.8820755707628624	0.9365829927623125	0.9520876226641575	0.8928116403459412	0.9050360329633753	0.8906523848103935	0.8255081642376347
