model	window	te_f1	te_auprc	path
dnabert2	1024	0.8922343253630325	0.9583243973476265	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w1024_seed42/test_results.json
dnabert2	2048	0.8999460254238866	0.9657376334858743	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w2048_seed42/test_results.json
dnabert2	4096	0.9101104325342315	0.9749215384492478	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w4096_seed42/test_results.json
dnabert2	512	0.7985799450733472	0.9199778577858242	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w512_seed42/test_results.json
generanno	1024	0.8782669896414894	0.9483062853463532	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w1024_seed42/test_results.json
generanno	2048	0.9325691861447712	0.9792680105290812	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42/test_results.json
generanno	4096	0.9430298542004165	0.9868809417499953	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42/test_results.json
generanno	512	0.8701678721715559	0.9414832328255449	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w512_seed42/test_results.json
hyenadna	1024	0.6947403080450237	0.8102769143142123	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_hyenadna_H0_w1024_seed42/test_results.json
hyenadna	2048	0.7570578903919225	0.8810692522327043	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_hyenadna_H0_w2048_seed42/test_results.json
hyenadna	4096	0.7930165333589275	0.9166400472849905	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_hyenadna_H0_w4096_seed42/test_results.json
hyenadna	512	0.679992497876237	0.7134360581057334	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_hyenadna_H0_w512_seed42/test_results.json
hyenadna	8192	0.7835282289824367	0.9084024441968668	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_hyenadna_H0_w8192_seed42/test_results.json
ntv2_500m	1024	0.9068373649424808	0.967376561460517	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_ntv2_500m_H0_w1024_seed42/test_results.json
ntv2_500m	2048	0.9380019927204701	0.9846098227035458	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_ntv2_500m_H0_w2048_seed42/test_results.json
ntv2_500m	4096	0.945780106280564	0.9892534081928671	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_ntv2_500m_H0_w4096_seed42/test_results.json
ntv2_500m	512	0.8117761538608308	0.9239208059990176	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_ntv2_500m_H0_w512_seed42/test_results.json
ntv2_500m	8192	0.9395668225583098	0.9872704889320859	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_ntv2_500m_H0_w8192_seed42/test_results.json
