species	genome	fai_used	assembly_stats_source	genome_size_bp	contig_count	max_contig_bp	assembly_n50_bp	assembly_l50	n_fraction	sampled_gc	kmer_k	kmer_sampling_mode	kmer_sampled_bases	kmer_counts_total
brachypodium	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/purple_false_brome/GCF_000005505.3.fa.gz	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/purple_false_brome/GCF_000005505.3.fa.gz.fai	fai	271298618	11	75071545	59130575	3	0.0	0.454488	4	bounded_prefix_stream	1000000	999997
c_elegans	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/c_elegans/ce11.fa	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/c_elegans/ce11.fa.fai	fai	100286401	7	20924180	17493829	3	0.0	0.371376	4	bounded_prefix_stream	1000000	999997
cattle	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/cattle/bosTau9.fa	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/cattle/bosTau9.fa.fai	fai	2715853792	2211	158534110	103308737	12	0.0	0.438283	4	bounded_prefix_stream	1000000	999997
chicken	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/chicken/galGal6.fa	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/chicken/galGal6.fa.fai	fai	1065365425	464	197608386	91315245	4	0.0017070808916752353	0.549823	4	bounded_prefix_stream	1000000	999943
fruit_fly	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/fruit_fly/dm6.fa	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/fruit_fly/dm6.fa.fai	fai	143726002	1870	32079331	25286936	3	0.0	0.441621	4	bounded_prefix_stream	1000000	999997
horse	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/horse/equCab3.fa.gz		bounded_fasta_scan	188260577	1	188260577	188260577	1	0.0010189606601266707	0.517305	4	bounded_prefix_stream	1000000	999991
human	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/human/hs1.fa		bounded_fasta_scan	248387328	1	248387328	248387328	1	0.0	0.550911	4	bounded_prefix_stream	1000000	999997
lizard	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/green_anole/anoCar2.fa.gz	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/green_anole/anoCar2.fa.gz.fai	fai	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	4	bounded_prefix_stream	1000000	999925
maize	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/maize/Zea_mays.Zm-B73-REFERENCE-NAM-5.0.dna.toplevel.fa	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/maize/Zea_mays.Zm-B73-REFERENCE-NAM-5.0.dna.toplevel.fa.fai	fai	2182075994	685	308452471	226353449	5	0.0	0.477492	4	bounded_prefix_stream	1000000	999997
mouse	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/mouse/mm39.fa	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/mouse/mm39.fa.fai	fai	2728222451	61	195154279	130530862	9	0.7530864197530864	0.386286	4	bounded_prefix_stream	1000000	999997
opossum	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/opossum/monDom5.fa.gz	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/opossum/monDom5.fa.gz.fai	fai	3605631728	11	748055161	527952102	3	0.017792685502128935	0.435701	4	bounded_prefix_stream	1000000	999931
pig	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/pig/susScr11.fa		bounded_fasta_scan	274330532	1	274330532	274330532	1	0.0	0.530948	4	bounded_prefix_stream	1000000	999997
red_flour_beetle	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/red_flour_beetle/triCas2.fa.gz	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/red_flour_beetle/triCas2.fa.gz.fai	fai	199682416	2211	32080666	13894384	6	0.0	0.330472	4	bounded_prefix_stream	1000000	999997
rice	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/rice/Oryza_sativa.IRGSP-1.0.dna.toplevel.fa	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/rice/Oryza_sativa.IRGSP-1.0.dna.toplevel.fa.fai	fai	375049285	63	43270923	29958434	6	0.000999000999000999	0.440543	4	bounded_prefix_stream	1000000	999997
sorghum	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/sorghum/GCF_000003195.3.fa.gz	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/sorghum/GCF_000003195.3.fa.gz.fai	fai	709344700	869	80884392	68658214	5	0.0	0.442729	4	bounded_prefix_stream	1000000	999997
soybean	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/soybean/Glycine_max.Glycine_max_v2.1.dna.toplevel.fa	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/soybean/Glycine_max.Glycine_max_v2.1.dna.toplevel.fa.fai	fai	978491270	1190	58018742	48577505	10	0.014086728818639281	0.330132	4	bounded_prefix_stream	1000000	999964
teosinte	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/zea_diploperennis_gigi/Zd-Gigi-REFERENCE-PanAnd-1.0.fa.gz	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/zea_diploperennis_gigi/Zd-Gigi-REFERENCE-PanAnd-1.0.fa.gz.fai	fai	3290921811	8365	294039681	175094470	8	0.0	0.438516	4	bounded_prefix_stream	1000000	999997
thale_cress	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/thale_cress/Arabidopsis_thaliana.TAIR10.dna.toplevel.fa	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/thale_cress/Arabidopsis_thaliana.TAIR10.dna.toplevel.fa.fai	fai	119667750	7	30427671	23459830	3	0.0	0.372445	4	bounded_prefix_stream	1000000	999997
western_clawed_frog	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/western_clawed_frog/xenTro10.fa	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/western_clawed_frog/xenTro10.fa.fai	fai	1451301209	167	217471166	153961319	5	0.0029910269192422734	0.505897	4	bounded_prefix_stream	1000000	999988
western_honey_bee	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/western_honey_bee/apiMel2.fa.gz		bounded_fasta_scan	51457486	3	25433307	14233499	2	0.03886355226419719	0.404665	4	bounded_prefix_stream	1000000	999889
x_laevis	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/african_clawed_frog/xenLae2.fa.gz	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/african_clawed_frog/xenLae2.fa.gz.fai	fai	2718433805	108033	219802468	136570856	9	0.1479724726946478	0.38498	4	bounded_prefix_stream	1000000	999715
zebrafish	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/zebrafish/danRer11.fa	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/zebrafish/danRer11.fa.fai	fai	1679203469	1923	78093715	52186027	14	0.0	0.359955	4	bounded_prefix_stream	1000000	999997
