method	record_id	host_id	host_locus	source_copy_id	homology_component_id	true_family	top_family	top_score	threshold	accepted	correct
ntv2_l2_supcon	interval|hg38|chr13|61060225|61060586|-|1085518	human:hg38	chr13	coord|human:hg38|chr13|61060225|61060586|-|1085518	hc|0198	AluJb	AluJo	0.6140901446	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr1|13746501|13746853|-|22298	human:hg38	chr1	coord|human:hg38|chr1|13746501|13746853|-|22298	hc|0200	AluJb	AluJo	0.6481927633	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr1|204583666|204584007|+|310906	human:hg38	chr1	coord|human:hg38|chr1|204583666|204584007|+|310906	hc|0201	AluJb	AluJo	0.7438980937	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr11|111559418|111559757|-|759912	human:hg38	chr11	coord|human:hg38|chr11|111559418|111559757|-|759912	hc|0206	AluJb	AluJb	0.4964849949	0.767829418182373	0	1
ntv2_l2_supcon	interval|hg38|chr13|104776246|104776583|-|1143493	human:hg38	chr13	coord|human:hg38|chr13|104776246|104776583|-|1143493	hc|0209	AluJb	AluJr	0.7203753591	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr11|9471897|9472228|-|600438	human:hg38	chr11	coord|human:hg38|chr11|9471897|9472228|-|600438	hc|0217	AluJb	AluSz6	0.6513974667	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr1|28499446|28499775|-|55882	human:hg38	chr1	coord|human:hg38|chr1|28499446|28499775|-|55882	hc|0223	AluJb	FLAM_C	0.6533751488	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr1|10190176|10190505|-|15467	human:hg38	chr1	coord|human:hg38|chr1|10190176|10190505|-|15467	hc|0224	AluJb	AluJr	0.8193297386	0.767829418182373	1	0
ntv2_l2_supcon	interval|hg38|chr13|66512789|66513117|-|1092167	human:hg38	chr13	coord|human:hg38|chr13|66512789|66513117|-|1092167	hc|0228	AluJb	AluJb	0.544768095	0.767829418182373	0	1
ntv2_l2_supcon	interval|hg38|chr1|12681220|12681548|-|20481	human:hg38	chr1	coord|human:hg38|chr1|12681220|12681548|-|20481	hc|0229	AluJb	AluJr	0.724122107	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr1|28994633|28994959|-|57285	human:hg38	chr1	coord|human:hg38|chr1|28994633|28994959|-|57285	hc|0234	AluJb	AluJr	0.5931870341	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr1|21917149|21917494|+|39669	human:hg38	chr1	coord|human:hg38|chr1|21917149|21917494|+|39669	hc|0429	AluJo	AluSc	0.3709511757	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr11|83108441|83108783|-|717560	human:hg38	chr11	coord|human:hg38|chr11|83108441|83108783|-|717560	hc|0432	AluJo	AluJr	0.7287198305	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr11|20525408|20525749|-|619259	human:hg38	chr11	coord|human:hg38|chr11|20525408|20525749|-|619259	hc|0433	AluJo	AluJr	0.7110170126	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr1|229536218|229536553|+|350406	human:hg38	chr1	coord|human:hg38|chr1|229536218|229536553|+|350406	hc|0435	AluJo	AluJr	0.8358021975	0.767829418182373	1	0
ntv2_l2_supcon	interval|hg38|chr1|58180260|58180594|-|117763	human:hg38	chr1	coord|human:hg38|chr1|58180260|58180594|-|117763	hc|0437	AluJo	FLAM_C	0.6358236074	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr13|110538323|110538656|+|1150355	human:hg38	chr13	coord|human:hg38|chr13|110538323|110538656|+|1150355	hc|0438	AluJo	AluJb	0.7548499107	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr1|35051946|35052277|-|70225	human:hg38	chr1	coord|human:hg38|chr1|35051946|35052277|-|70225	hc|0440	AluJo	AluJr	0.7744063139	0.767829418182373	1	0
ntv2_l2_supcon	interval|hg38|chr11|82793727|82794055|+|716968	human:hg38	chr11	coord|human:hg38|chr11|82793727|82794055|+|716968	hc|0445	AluJo	AluJb	0.6449128389	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr1|28378927|28379254|-|55570	human:hg38	chr1	coord|human:hg38|chr1|28378927|28379254|-|55570	hc|0447	AluJo	AluJb	0.6033025384	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr13|35496352|35496677|+|1047554	human:hg38	chr13	coord|human:hg38|chr13|35496352|35496677|+|1047554	hc|0449	AluJo	AluJr	0.8485928178	0.767829418182373	1	0
ntv2_l2_supcon	interval|hg38|chr13|98628141|98628463|-|1134788	human:hg38	chr13	coord|human:hg38|chr13|98628141|98628463|-|1134788	hc|0451	AluJo	AluJo	0.6615823507	0.767829418182373	0	1
ntv2_l2_supcon	interval|hg38|chr13|28115945|28116263|-|1036072	human:hg38	chr13	coord|human:hg38|chr13|28115945|28116263|-|1036072	hc|0457	AluJo	AluJr	0.4727233648	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr13|52875454|52875772|-|1074969	human:hg38	chr13	coord|human:hg38|chr13|52875454|52875772|-|1074969	hc|0460	AluJo	AluJr4	0.6855776906	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr11|18226148|18226465|+|615198	human:hg38	chr11	coord|human:hg38|chr11|18226148|18226465|+|615198	hc|0466	AluJo	AluJr4	0.741928637	0.767829418182373	0	0
ntv2_l2_supcon	interval|hg38|chr11|33549721|33550061|+|638718	human:hg38	chr11	coord|human:hg38|chr11|33549721|33550061|+|638718	hc|0392	AluJr	AluJr	0.7098252773	0.767829418182373	0	1
ntv2_l2_supcon	interval|hg38|chr1|212648304|212648644|-|324291	human:hg38	chr1	coord|human:hg38|chr1|212648304|212648644|-|324291	hc|0393	AluJr	AluJb	0.7829389572	0.767829418182373	1	0
ntv2_l2_supcon	interval|hg38|chr13|98692136|98692458|-|1134927	human:hg38	chr13	coord|human:hg38|chr13|98692136|98692458|-|1134927	hc|0407	AluJr	AluJr	0.8468184471	0.767829418182373	1	1
ntv2_l2_supcon	interval|hg38|chr1|99955784|99956103|-|182545	human:hg38	chr1	coord|human:hg38|chr1|99955784|99956103|-|182545	hc|0411	AluJr	AluJr	0.7137316465	0.767829418182373	0	1
ntv2_l2_supcon	interval|hg38|chr1|173119364|173119679|-|263675	human:hg38	chr1	coord|human:hg38|chr1|173119364|173119679|-|263675	hc|1080	AluJr4	AluJr4	0.741489172	0.767829418182373	0	1
