species_code	chunk_index	chunk_id	records	chunk_bases	complete_marker	out_present	gff_present	tbl_present	masked_present	final_outputs_complete	missing_final_outputs	output_dir
human	1	human_chunk_00001_chr1	chr1	248387328	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00001_chr1
human	2	human_chunk_00002_chr2	chr2	242696752	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00002_chr2
human	3	human_chunk_00003_chr3	chr3	201105948	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00003_chr3
human	4	human_chunk_00004_chr4	chr4	193574945	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00004_chr4
human	5	human_chunk_00005_chr5	chr5	182045439	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00005_chr5
human	6	human_chunk_00006_chr6	chr6	172126628	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00006_chr6
human	7	human_chunk_00007_chr7	chr7	160567428	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00007_chr7
human	8	human_chunk_00008_chrX	chrX	154259566	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00008_chrX
human	9	human_chunk_00009_chr9	chr9	150617247	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00009_chr9
human	10	human_chunk_00010_chr8	chr8	146259331	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00010_chr8
human	11	human_chunk_00011_chr11	chr11	135127769	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00011_chr11
human	12	human_chunk_00012_chr10	chr10	134758134	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00012_chr10
human	13	human_chunk_00013_chr12	chr12	133324548	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_HUMAN_CHR12_CHR19_REPAIR_20260616/human/chunks/human_chunk_00013_chr12
human	14	human_chunk_00014_chr13	chr13	113566686	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00014_chr13
human	15	human_chunk_00015_chr14	chr14	101161492	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00015_chr14
human	16	human_chunk_00016_chr15	chr15	99753195	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00016_chr15
human	17	human_chunk_00017_chr16	chr16	96330374	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00017_chr16
human	18	human_chunk_00018_chr17	chr17	84276897	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00018_chr17
human	19	human_chunk_00019_chr18	chr18	80542538	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00019_chr18
human	20	human_chunk_00020_chr20	chr20	66210255	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00020_chr20
human	21	human_chunk_00021_chrY	chrY	62460029	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00021_chrY
human	22	human_chunk_00022_chr19	chr19	61707364	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_HUMAN_CHR12_CHR19_REPAIR_20260616/human/chunks/human_chunk_00022_chr19
human	23	human_chunk_00023_chr22	chr22	51324926	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00023_chr22
human	24	human_chunk_00024_bundle	chr21,chrM	45107251	1	1	1	1	1	1		/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_SPECIES_ANIMALS_CHR_20260615/human/chunks/human_chunk_00024_bundle
