exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	variant	threshold	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision_iou50	segment_recall_iou50	segment_f1_iou50	mean_matched_iou	boundary_precision_100bp	boundary_recall_100bp	boundary_f1_100bp	median_boundary_error_bp	mean_pred_fragments_per_true_te	median_pred_fragments_per_true_te	split_true_te_rate	missed_true_te_rate	pred_short_fragment_rate	mean_pred_segment_len	chrom
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_threshold	0.35	110484	509441	1378	705801	0.17822155905956366	0.9876812501117448	0.30195671691352816	0.08429030430169752	0.467126163435571	1327104	452	5495	217	5278	235	0.03949044585987261	0.48008849557522126	0.07297797208676644	0.8410295354232322	0.030391264786169245	0.3694690265486726	0.056162771145115184	16.5	1.0132743362831858	1.0	0.01327433628318584	0.01991150442477876	0.7575978161965423	112.81619654231119	chr1L
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_threshold	0.35	110484.0	509441.0	1378.0	705801.0	0.17822155905956366	0.9876812501117448	0.30195671691352816	0.08429030430169752	0.467126163435571	1327104.0	452.0	5495.0	217.0	5278.0	235.0	0.03949044585987261	0.48008849557522126	0.07297797208676644	0.8410295354232323	0.030391264786169245	0.3694690265486726	0.056162771145115184	16.5	1.0132743362831858	1.0	0.01327433628318584	0.01991150442477876	0.7575978161965423	112.81619654231119	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap50_min80	0.35	110396	523960	1466	691282	0.17402846351260176	0.9868945665194615	0.29588136442701735	0.08429030430169752	0.4780002170138889	1327104	452	1124	165	959	287	0.14679715302491103	0.36504424778761063	0.20939086294416248	0.8260232771500631	0.10498220640569395	0.2610619469026549	0.14974619289340102	20.5	0.9690265486725663	1.0	0.0	0.030973451327433628	0.0	564.373665480427	chr1L
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap50_min80	0.35	110396.0	523960.0	1466.0	691282.0	0.17402846351260176	0.9868945665194615	0.29588136442701735	0.08429030430169752	0.4780002170138889	1327104.0	452.0	1124.0	165.0	959.0	287.0	0.14679715302491103	0.36504424778761063	0.2093908629441625	0.8260232771500631	0.10498220640569393	0.2610619469026549	0.14974619289340102	20.5	0.9690265486725663	1.0	0.0	0.030973451327433628	0.0	564.373665480427	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap100_min100	0.35	110366	534667	1496	680575	0.1711013234981776	0.9866263789311831	0.29162829718785305	0.08429030430169752	0.48604555483217593	1327104	452	988	130	858	322	0.13157894736842105	0.28761061946902655	0.18055555555555555	0.830465525689791	0.09210526315789473	0.2013274336283186	0.12638888888888888	20.25	0.9690265486725663	1.0	0.0	0.030973451327433628	0.0	652.8674089068826	chr1L
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap100_min100	0.35	110366.0	534667.0	1496.0	680575.0	0.1711013234981776	0.9866263789311831	0.29162829718785305	0.08429030430169752	0.48604555483217593	1327104.0	452.0	988.0	130.0	858.0	322.0	0.13157894736842105	0.28761061946902655	0.18055555555555555	0.830465525689791	0.09210526315789473	0.2013274336283186	0.12638888888888888	20.25	0.9690265486725663	1.0	0.0	0.030973451327433628	0.0	652.8674089068826	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap200_min100	0.35	110497	569651	1365	645591	0.16246022924422332	0.9877974647333322	0.2790293051855406	0.08429030430169752	0.5125054253472222	1327104	452	805	85	720	367	0.10559006211180125	0.18805309734513273	0.13524264120922833	0.8060641229614499	0.06335403726708075	0.11283185840707964	0.081145584725537	26.5	0.9734513274336283	1.0	0.0	0.02654867256637168	0.0	844.9043478260869	chr1L
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap200_min100	0.35	110497.0	569651.0	1365.0	645591.0	0.16246022924422332	0.9877974647333322	0.2790293051855406	0.08429030430169752	0.5125054253472222	1327104.0	452.0	805.0	85.0	720.0	367.0	0.10559006211180125	0.18805309734513273	0.13524264120922833	0.8060641229614498	0.06335403726708075	0.11283185840707964	0.081145584725537	26.5	0.9734513274336283	1.0	0.0	0.02654867256637168	0.0	844.904347826087	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	hmm_penalty2	0.35	110267	450277	1595	764965	0.19671426328709254	0.9857413598898643	0.32797744220009933	0.08429030430169752	0.42238136574074076	1327104	452	1328	226	1102	226	0.17018072289156627	0.5	0.2539325842696629	0.8400759094288939	0.13253012048192772	0.3893805309734513	0.19775280898876405	16.0	0.9800884955752213	1.0	0.0022123893805309734	0.022123893805309734	0.06626506024096386	422.09638554216866	chr1L
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	hmm_penalty2	0.35	110267.0	450277.0	1595.0	764965.0	0.19671426328709254	0.9857413598898643	0.32797744220009933	0.08429030430169752	0.42238136574074076	1327104.0	452.0	1328.0	226.0	1102.0	226.0	0.17018072289156627	0.5	0.2539325842696629	0.8400759094288939	0.13253012048192772	0.3893805309734513	0.19775280898876407	16.0	0.9800884955752213	1.0	0.0022123893805309734	0.022123893805309734	0.06626506024096386	422.09638554216866	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	crf_style_penalty4	0.35	110244	450346	1618	764896	0.1966570934194331	0.9855357494055175	0.32788660008446696	0.08429030430169752	0.42241602768132713	1327104	452	1282	224	1058	228	0.1747269890795632	0.49557522123893805	0.25836216839677045	0.8390599857699558	0.1357254290171607	0.38495575221238937	0.20069204152249134	16.0	0.9778761061946902	1.0	0.0022123893805309734	0.024336283185840708	0.05070202808112324	437.27769110764433	chr1L
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_stress/x_laevis/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	crf_style_penalty4	0.35	110244.0	450346.0	1618.0	764896.0	0.1966570934194331	0.9855357494055175	0.32788660008446696	0.08429030430169752	0.42241602768132713	1327104.0	452.0	1282.0	224.0	1058.0	228.0	0.1747269890795632	0.49557522123893805	0.25836216839677045	0.8390599857699558	0.1357254290171607	0.38495575221238937	0.20069204152249134	16.0	0.9778761061946902	1.0	0.0022123893805309734	0.024336283185840708	0.05070202808112325	437.27769110764433	WEIGHTED_MEAN
