species	presentations	unique_tiles	unique_positive_bp	unique_callable_bp
human	24000	3000	11876062	24561266
mouse	0	0	0	0
chicken	0	0	0	0
zebrafish	0	0	0	0
pig	0	0	0	0
c_elegans	0	0	0	0
