idx	species	label	label_name	cluster	source	rep_name
0	zebrafish	2	DNA	1	genomic_internal	DNA-TTAA0-1_DR
1	western_clawed_frog	8	TcMar-Tc1	6	genomic_internal	Tc1-2_Xt
2	human	3	ERV1	3	genomic_internal	LTR12C
3	zebrafish	8	TcMar-Tc1	0	genomic_internal	TDR1
4	human	4	ERVK	1	genomic_internal	HERVK11-int
5	human	5	ERVL-MaLR	6	genomic_internal	THE1B-int
6	zebrafish	2	DNA	6	genomic_internal	DNA-6-N1_DR
7	zebrafish	2	DNA	6	genomic_internal	TDR8
8	human	4	ERVK	6	genomic_internal	MER11A
9	chicken	1	CR1	6	genomic_internal	CR1-X
10	chicken	1	CR1	4	genomic_internal	CR1-C4
11	western_clawed_frog	8	TcMar-Tc1	2	genomic_internal	Tc1-1_Xt
12	mouse	6	L1	2	genomic_internal	Lx5
13	human	3	ERV1	2	genomic_internal	MER41-int
14	mouse	4	ERVK	2	genomic_internal	RMER16-int
15	human	5	ERVL-MaLR	6	genomic_internal	MLT1E
16	mouse	5	ERVL-MaLR	4	genomic_internal	ORR1B2
17	human	7	L2	5	genomic_internal	L2a
18	human	4	ERVK	6	genomic_internal	MER11C
19	zebrafish	2	DNA	1	genomic_internal	DNA-1-4_DR
20	zebrafish	7	L2	4	genomic_internal	L2-2_DRe
21	mouse	3	ERV1	7	genomic_internal	RMER2
22	zebrafish	2	DNA	1	genomic_internal	DNA-2-6_DR
23	human	3	ERV1	5	genomic_internal	MER50-int
24	human	3	ERV1	7	genomic_internal	LTR9A1
25	mouse	4	ERVK	6	genomic_internal	IAPEz-int
26	human	3	ERV1	5	genomic_internal	MER39
27	western_clawed_frog	8	TcMar-Tc1	6	genomic_internal	Tc1-10_Xt
28	mouse	6	L1	0	genomic_internal	L1MdA_I
29	chicken	1	CR1	6	genomic_internal	CR1-E
30	mouse	4	ERVK	4	genomic_internal	RMER6C
31	human	7	L2	5	genomic_internal	L2a
32	human	1	CR1	0	genomic_internal	L3
33	zebrafish	8	TcMar-Tc1	6	genomic_internal	TC1DR3
34	human	3	ERV1	4	genomic_internal	MER4E
35	human	3	ERV1	7	genomic_internal	HERV17-int
36	human	3	ERV1	6	genomic_internal	MER41A
37	human	7	L2	5	genomic_internal	L2
38	human	6	L1	2	genomic_internal	L1PA5
39	zebrafish	8	TcMar-Tc1	6	genomic_internal	TC1DR3
40	mouse	4	ERVK	6	genomic_internal	IAPEy-int
41	mouse	4	ERVK	5	genomic_internal	RLTR13D3
42	zebrafish	8	TcMar-Tc1	2	genomic_internal	TZF28
43	western_clawed_frog	2	DNA	6	genomic_internal	DNA6_XT
44	zebrafish	2	DNA	3	genomic_internal	TDR13B
45	western_clawed_frog	1	CR1	5	genomic_internal	CR1-2_XT
46	zebrafish	8	TcMar-Tc1	6	genomic_internal	TC1DR3
47	mouse	6	L1	2	genomic_internal	L1MdFanc_I
48	human	7	L2	4	genomic_internal	L2
49	zebrafish	8	TcMar-Tc1	6	genomic_internal	TC1DR3
50	zebrafish	2	DNA	0	genomic_internal	TDR22
51	mouse	4	ERVK	6	genomic_internal	MMERVK9C_I
52	western_clawed_frog	8	TcMar-Tc1	6	genomic_internal	Tc1-10_Xt
53	zebrafish	2	DNA	1	genomic_internal	DNA-1-11_DR
54	mouse	3	ERV1	6	genomic_internal	RLTR30D2_MM
55	western_clawed_frog	6	L1	0	genomic_internal	L1-14_XT
56	human	7	L2	4	genomic_internal	L2a
57	chicken	1	CR1	4	genomic_internal	CR1-C
58	western_clawed_frog	3	ERV1	5	genomic_internal	ERV1-3-I_XT
