exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	variant	threshold	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision_iou50	segment_recall_iou50	segment_f1_iou50	mean_matched_iou	boundary_precision_100bp	boundary_recall_100bp	boundary_f1_100bp	median_boundary_error_bp	mean_pred_fragments_per_true_te	median_pred_fragments_per_true_te	split_true_te_rate	missed_true_te_rate	pred_short_fragment_rate	mean_pred_segment_len	chrom
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/c_elegans/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_threshold	0.35	185160	44347	8672	992669	0.8067727781723433	0.9552602253497875	0.8747599441582278	0.1574784213810316	0.18646250389975041	1230848	773	2161	439	1722	334	0.2031466913465988	0.5679172056921087	0.2992501704158146	0.8307421658366183	0.17538176770013883	0.49029754204398446	0.2583503749147921	14.0	1.2082794307891334	1.0	0.08667529107373868	0.07115135834411385	0.7394724664507173	106.20407218880148	chrV
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/c_elegans/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_threshold	0.35	185160.0	44347.0	8672.0	992669.0	0.8067727781723433	0.9552602253497876	0.8747599441582277	0.1574784213810316	0.18646250389975041	1230848.0	773.0	2161.0	439.0	1722.0	334.0	0.2031466913465988	0.5679172056921087	0.2992501704158146	0.8307421658366183	0.17538176770013883	0.49029754204398446	0.2583503749147921	14.0	1.2082794307891334	1.0	0.08667529107373868	0.07115135834411385	0.7394724664507172	106.20407218880148	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/c_elegans/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap50_min80	0.35	185395	47349	8437	989667	0.7965618877393187	0.9564726154608114	0.8692237725516673	0.1574784213810316	0.18909239808652245	1230848	773	557	389	168	384	0.6983842010771992	0.5032341526520052	0.5849624060150377	0.8247714003725051	0.5798922800718133	0.4178525226390686	0.4857142857142857	15.5	0.9133247089262613	1.0	0.00129366106080207	0.08796895213454076	0.0	417.8527827648115	chrV
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/c_elegans/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap50_min80	0.35	185395.0	47349.0	8437.0	989667.0	0.7965618877393187	0.9564726154608114	0.8692237725516674	0.1574784213810316	0.18909239808652245	1230848.0	773.0	557.0	389.0	168.0	384.0	0.6983842010771992	0.5032341526520052	0.5849624060150377	0.8247714003725052	0.5798922800718133	0.4178525226390686	0.4857142857142857	15.5	0.9133247089262613	1.0	0.00129366106080207	0.08796895213454076	0.0	417.8527827648114	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/c_elegans/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap100_min100	0.35	184775	48744	9057	988272	0.7912632376808739	0.9532739692104503	0.8647458412405726	0.1574784213810316	0.1897220452891015	1230848	773	518	361	157	412	0.696911196911197	0.4670116429495472	0.5592563903950427	0.823966281441107	0.5656370656370656	0.37904269081500647	0.4539116963594113	16.0	0.9003880983182406	1.0	0.0	0.09961190168175937	0.0	450.8088803088803	chrV
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/c_elegans/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap100_min100	0.35	184775.0	48744.0	9057.0	988272.0	0.7912632376808739	0.9532739692104503	0.8647458412405725	0.1574784213810316	0.1897220452891015	1230848.0	773.0	518.0	361.0	157.0	412.0	0.6969111969111971	0.4670116429495472	0.5592563903950427	0.823966281441107	0.5656370656370656	0.37904269081500647	0.4539116963594113	16.0	0.9003880983182406	1.0	0.0	0.09961190168175937	0.0	450.8088803088803	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/c_elegans/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap200_min100	0.35	185035	53841	8797	983175	0.7746069090239287	0.9546153369928598	0.8552418721169934	0.1574784213810316	0.19407432924292845	1230848	773	493	324	169	449	0.6572008113590264	0.4191461836998706	0.5118483412322274	0.8218303781728094	0.5294117647058824	0.33764553686934023	0.4123222748815166	17.0	0.9042690815006468	1.0	0.0	0.09573091849935317	0.0	484.53549695740367	chrV
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/c_elegans/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap200_min100	0.35	185035.0	53841.0	8797.0	983175.0	0.7746069090239287	0.9546153369928597	0.8552418721169934	0.1574784213810316	0.19407432924292845	1230848.0	773.0	493.0	324.0	169.0	449.0	0.6572008113590264	0.4191461836998706	0.5118483412322274	0.8218303781728094	0.5294117647058824	0.33764553686934023	0.4123222748815166	17.0	0.9042690815006468	1.0	0.0	0.09573091849935317	0.0	484.53549695740367	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/c_elegans/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	hmm_penalty2	0.35	181158	29498	12674	1007518	0.859970758013064	0.9346134797143918	0.895739799450169	0.1574784213810316	0.1711470465890183	1230848	773	565	446	119	327	0.7893805309734513	0.5769728331177232	0.6666666666666667	0.841934164919099	0.6884955752212389	0.5032341526520052	0.5814648729446936	11.5	0.8822768434670116	1.0	0.00258732212160414	0.1203104786545925	0.0584070796460177	372.8424778761062	chrV
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/c_elegans/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	hmm_penalty2	0.35	181158.0	29498.0	12674.0	1007518.0	0.8599707580130641	0.9346134797143918	0.8957397994501691	0.1574784213810316	0.1711470465890183	1230848.0	773.0	565.0	446.0	119.0	327.0	0.7893805309734513	0.5769728331177232	0.6666666666666667	0.841934164919099	0.688495575221239	0.5032341526520052	0.5814648729446936	11.5	0.8822768434670116	1.0	0.00258732212160414	0.1203104786545925	0.0584070796460177	372.8424778761062	WEIGHTED_MEAN
