idx	species	label	label_name	cluster	source	rep_name
0	dfam_consensus	3	Copia	1	dfam_consensus	Copia_I
1	dfam_consensus	6	Gypsy	8	dfam_consensus	DF003448724
2	dfam_consensus	5	ERVK	6	dfam_consensus	RNERVK23
3	dfam_consensus	9	L2	0	dfam_consensus	L2-12_Hmel_C
4	dfam_consensus	10	Pao	0	dfam_consensus	DF003449142
5	dfam_consensus	2	CR1-Zenon	3	dfam_consensus	LINE_B.platifrons_167_cons
6	dfam_consensus	2	CR1-Zenon	8	dfam_consensus	LINE_M.phylippinarum_94_cons
7	dfam_consensus	2	CR1-Zenon	7	dfam_consensus	LINE_A.marissinica_165_cons
8	dfam_consensus	5	ERVK	9	dfam_consensus	RLTR13D3
9	dfam_consensus	3	Copia	8	dfam_consensus	Acol_copia_Ele13
10	dfam_consensus	9	L2	4	dfam_consensus	TE2957_SO2_FAM108
11	dfam_consensus	7	L1	2	dfam_consensus	SpiGra-2.41
12	dfam_consensus	7	L1	2	dfam_consensus	NanGal-6.3
13	dfam_consensus	2	CR1-Zenon	3	dfam_consensus	LINE_M.mercenaria_179_cons
14	dfam_consensus	7	L1	2	dfam_consensus	ConCri-5.22
15	dfam_consensus	5	ERVK	8	dfam_consensus	SorAra-1.136
16	dfam_consensus	3	Copia	1	dfam_consensus	Copia-25_rCom
17	dfam_consensus	10	Pao	6	dfam_consensus	DF003448115
18	dfam_consensus	8	L1-Tx1	4	dfam_consensus	LINE_M.yessoensis_44_cons
19	dfam_consensus	9	L2	1	dfam_consensus	Acol_L2_Ele5
20	dfam_consensus	10	Pao	8	dfam_consensus	BEL-41_DRe-I
21	dfam_consensus	3	Copia	9	dfam_consensus	Acol_copia_Ele13
22	dfam_consensus	7	L1	1	dfam_consensus	DinBra-5.199
23	dfam_consensus	8	L1-Tx1	7	dfam_consensus	LINE_D.rostriformis_10_cons
24	dfam_consensus	9	L2	7	dfam_consensus	CR1-42_DR
25	dfam_consensus	5	ERVK	0	dfam_consensus	RNERVK23
26	dfam_consensus	4	ERV1	9	dfam_consensus	PlaGan-6.232_int
27	dfam_consensus	9	L2	7	dfam_consensus	TE2267_SO2_FAM0328
