package_id	feature_id	seqid	start1	end1	start0	end0	strand	length	flybase_name	header_md5	release	species
S0-02145	FBti0060715	3L	11474678	11474706	11474677	11474706	-	29	1360{}2654	e5f173d9dc9199a890c537426b951358	r6.68	Dmel
S0-01706	FBti0060411	2R	6709698	6710017	6709697	6710017	+	320	INE-1{}2350	ca925e8337dac3410c8f4fb02e334519	r6.68	Dmel
S0-03284	FBti0020328	3R	9304584	9311813	9304583	9311813	+	7230	Stalker{}1277	cff97dff11eb9a4b1447a19860421a69	r6.68	Dmel
S0-03284	FBti0019345	3R	9319631	9319993	9319630	9319993	+	363	jockey{}1278	cca9a1acc65c023fb52500ed55c433e1	r6.68	Dmel
S0-03624	FBti0063519	4	216449	216548	216448	216548	+	100	gypsy12{}5458	52ae0f26482a799da3411ed3982bad7e	r6.68	Dmel
S0-03624	FBti0062916	4	217647	217791	217646	217791	-	145	INE-1{}4855	8da45b8c45f3c7630abcd4992316e32e	r6.68	Dmel
S0-03624	FBti0063434	4	219149	219597	219148	219597	-	449	F{}5373	2825b3f37b1c2fece5dd03de4740f44e	r6.68	Dmel
S0-03624	FBti0062918	4	219598	219774	219597	219774	+	177	INE-1{}4857	3084ea373ae15f878a38b55fea5873d3	r6.68	Dmel
S0-03624	FBti0063516	4	221425	222508	221424	222508	+	1084	Tc1-2{}5455	a5032b0c654280014428440b2f8b22df	r6.68	Dmel
S0-03624	FBti0019480	4	226318	226986	226317	226986	-	669	S{}1493	becd24567422a2136029b461f38d7a2d	r6.68	Dmel
S0-03624	FBti0062920	4	228436	228490	228435	228490	-	55	INE-1{}4859	f3ffbf2df4d4b0fe58d8d0f9306a0f34	r6.68	Dmel
S0-03624	FBti0062922	4	228634	228808	228633	228808	-	175	INE-1{}4861	9e30de9645f3b3e0f992c5efc1cd1fd0	r6.68	Dmel
S0-03624	FBti0062924	4	230632	230792	230631	230792	-	161	INE-1{}4863	833d27d773a7bc60e48a5369f5041c97	r6.68	Dmel
S0-03624	FBti0062926	4	233400	233839	233399	233839	+	440	INE-1{}4865	e99265d573ade8e7d2af987d211a037b	r6.68	Dmel
S0-03624	FBti0063400	4	235253	235436	235252	235436	+	184	INE-1{}5339	de6e95a69a77a0c7d9248d93eb14d8b9	r6.68	Dmel
S0-03624	FBti0063402	4	235454	235928	235453	235928	+	475	INE-1{}5341	ab9ee9665b04f443f6faa18949452e4a	r6.68	Dmel
S0-00037	FBti0019750	2L	2772653	2779175	2772652	2779175	+	6523	297{}296	1a1b335d27ae99931c3e0f4f6ff80692	r6.68	Dmel
S0-00207	FBti0019182	2L	15956082	15957487	15956081	15957487	+	1406	H{}386	f9a94667f3eb09d3f179d3aeabb7ef80	r6.68	Dmel
