candidate_id	seqname	strand	arms	intron_count	strict_supported_introns	strict_intron_fraction	all_introns_strict	stringtie_exact_intron_chain	stringtie_exact_intron_chain_any_strand	stringtie_exact_full_chain	stringtie_exact_full_chain_any_strand
cand_0000000	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE	15	0	0.000000	0	0	0	0	0
cand_0000001	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE	7	0	0.000000	0	0	0	0	0
cand_0000002	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D	24	18	0.750000	0	0	0	0	0
cand_0000003	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	13	2	0.153846	0	0	0	0	0
cand_0000004	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	2	0	0.000000	0	0	0	0	0
cand_0000005	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	4	4	1.000000	1	1	1	0	0
cand_0000006	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	3	3	1.000000	1	1	1	0	0
cand_0000007	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE	5	2	0.400000	0	0	0	0	0
cand_0000008	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	9	9	1.000000	1	0	0	0	0
cand_0000009	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE	6	4	0.666667	0	0	0	0	0
cand_0000010	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D	6	0	0.000000	0	0	0	0	0
cand_0000011	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D	1	0	0.000000	0	0	0	0	0
cand_0000012	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	4	0	0.000000	0	0	0	0	0
cand_0000013	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000014	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000015	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE	3	2	0.666667	0	0	0	0	0
cand_0000016	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE	13	13	1.000000	1	1	1	0	0
cand_0000017	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	77	77	1.000000	1	1	1	0	0
cand_0000018	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	5	0	0.000000	0	0	0	0	0
cand_0000019	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	9	9	1.000000	1	0	0	0	0
cand_0000020	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	3	2	0.666667	0	0	0	0	0
cand_0000021	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	11	11	1.000000	1	1	1	0	0
cand_0000022	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	7	7	1.000000	1	1	1	0	0
cand_0000023	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE	18	18	1.000000	1	0	0	0	0
cand_0000024	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000025	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	11	11	1.000000	1	1	1	0	0
cand_0000026	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	10	6	0.600000	0	0	0	0	0
cand_0000027	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	11	0	0.000000	0	0	0	0	0
cand_0000028	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	37	35	0.945946	0	0	0	0	0
cand_0000029	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	2	2	1.000000	1	0	0	0	0
cand_0000030	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	11	0	0.000000	0	0	0	0	0
cand_0000031	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	11	10	0.909091	0	1	1	0	0
cand_0000032	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	9	9	1.000000	1	0	0	0	0
cand_0000033	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,U_soft	18	16	0.888889	0	0	0	0	0
cand_0000034	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	6	5	0.833333	0	0	0	0	0
cand_0000035	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	2	2	1.000000	1	0	0	0	0
cand_0000036	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	0	0		0	0	0	0	0
