idx	species	label	label_name	cluster	rep_name
0	human	1	SINE	1	AluSz
1	human	4	DNA	0	MER75
2	human	2	LINE	1	L1PA8
3	human	4	DNA	3	Tigger4b
4	human	3	LTR	0	LTR56
5	human	3	LTR	0	MER41A
6	human	1	SINE	2	AluSx
7	human	2	LINE	3	L1MC2
8	human	3	LTR	3	MLT1A1
9	human	3	LTR	0	SVA_D
10	human	1	SINE	2	AluJb
11	human	4	DNA	3	MER44B
12	human	1	SINE	2	AluSx
13	human	2	LINE	1	L1MB5
14	human	2	LINE	1	L1MB5
15	human	1	SINE	2	AluY
16	human	4	DNA	0	Charlie5
17	human	3	LTR	3	MLT1C2
18	human	4	DNA	0	MER1A
19	human	1	SINE	2	AluJr
20	human	1	SINE	2	AluY
21	human	3	LTR	3	THE1B
22	human	1	SINE	2	AluSc8
23	human	4	DNA	0	MER1A
24	human	1	SINE	1	AluSq2
25	human	3	LTR	3	MLT2A2
26	human	1	SINE	2	AluSp
27	human	3	LTR	3	MLT1C2
28	human	2	LINE	3	L1PB3
29	human	1	SINE	2	AluSg
30	human	4	DNA	0	Tigger2a
31	human	3	LTR	3	MLT1A0
32	human	4	DNA	3	MER47A
33	human	3	LTR	3	MLT1A
34	human	4	DNA	0	MER1A
35	human	1	SINE	1	AluSz
36	human	4	DNA	0	Tigger4
37	human	2	LINE	3	L1MA8
38	human	4	DNA	3	MER1A
39	human	4	DNA	3	Tigger3b
40	human	3	LTR	0	MLT1D
41	human	1	SINE	2	AluYc3
42	human	2	LINE	0	L1M5
43	human	1	SINE	1	AluJr
44	human	1	SINE	2	AluSq2
45	human	3	LTR	1	MLT1C2
46	human	4	DNA	0	Zaphod3
47	human	2	LINE	3	L1M4
48	human	1	SINE	2	AluY
49	human	2	LINE	3	L1MA8
50	human	4	DNA	0	Charlie17b
51	human	3	LTR	3	MSTC
52	human	2	LINE	3	L1M5
53	human	2	LINE	0	L1MD
54	human	1	SINE	2	AluSc8
55	human	1	SINE	2	AluSx
56	human	4	DNA	0	Charlie17
