method	record_id	host_id	host_locus	source_copy_id	homology_component_id	true_family	top_family	top_score	threshold	accepted	correct
glm_single_consensus	interval|hg38|chr13|61060225|61060586|-|1085518	human:hg38	chr13	coord|human:hg38|chr13|61060225|61060586|-|1085518	hc|0198	AluJb	AluSc	0.9368440364	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr1|13746501|13746853|-|22298	human:hg38	chr1	coord|human:hg38|chr1|13746501|13746853|-|22298	hc|0200	AluJb	AluSc	0.9433986508	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr1|204583666|204584007|+|310906	human:hg38	chr1	coord|human:hg38|chr1|204583666|204584007|+|310906	hc|0201	AluJb	AluSc	0.9613529184	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr11|111559418|111559757|-|759912	human:hg38	chr11	coord|human:hg38|chr11|111559418|111559757|-|759912	hc|0206	AluJb	AluSc8	0.9368991901	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr13|104776246|104776583|-|1143493	human:hg38	chr13	coord|human:hg38|chr13|104776246|104776583|-|1143493	hc|0209	AluJb	AluSc	0.9538292947	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr11|9471897|9472228|-|600438	human:hg38	chr11	coord|human:hg38|chr11|9471897|9472228|-|600438	hc|0217	AluJb	AluSc	0.942874407	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr1|28499446|28499775|-|55882	human:hg38	chr1	coord|human:hg38|chr1|28499446|28499775|-|55882	hc|0223	AluJb	MER5A	0.9624817771	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr1|10190176|10190505|-|15467	human:hg38	chr1	coord|human:hg38|chr1|10190176|10190505|-|15467	hc|0224	AluJb	AluSc	0.9500351933	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr13|66512789|66513117|-|1092167	human:hg38	chr13	coord|human:hg38|chr13|66512789|66513117|-|1092167	hc|0228	AluJb	MER5A	0.9607119132	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr1|12681220|12681548|-|20481	human:hg38	chr1	coord|human:hg38|chr1|12681220|12681548|-|20481	hc|0229	AluJb	THE1B	0.9597973589	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr1|28994633|28994959|-|57285	human:hg38	chr1	coord|human:hg38|chr1|28994633|28994959|-|57285	hc|0234	AluJb	AluJr	0.9098062104	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr1|21917149|21917494|+|39669	human:hg38	chr1	coord|human:hg38|chr1|21917149|21917494|+|39669	hc|0429	AluJo	AluJr	0.9162354018	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr11|83108441|83108783|-|717560	human:hg38	chr11	coord|human:hg38|chr11|83108441|83108783|-|717560	hc|0432	AluJo	THE1B	0.95045103	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr11|20525408|20525749|-|619259	human:hg38	chr11	coord|human:hg38|chr11|20525408|20525749|-|619259	hc|0433	AluJo	AluSc	0.9535204231	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr1|229536218|229536553|+|350406	human:hg38	chr1	coord|human:hg38|chr1|229536218|229536553|+|350406	hc|0435	AluJo	AluSq	0.9251958521	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr1|58180260|58180594|-|117763	human:hg38	chr1	coord|human:hg38|chr1|58180260|58180594|-|117763	hc|0437	AluJo	THE1B	0.9528714974	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr13|110538323|110538656|+|1150355	human:hg38	chr13	coord|human:hg38|chr13|110538323|110538656|+|1150355	hc|0438	AluJo	AluSx4	0.9432489872	0.9662445312052378	0	0
glm_single_consensus	interval|hg38|chr1|35051946|35052277|-|70225	human:hg38	chr1	coord|human:hg38|chr1|35051946|35052277|-|70225	hc|0440	AluJo	THE1B	0.9538289853	0.9662445312052378	0	0
