method	record_id	host_id	host_locus	source_copy_id	homology_component_id	true_family	top_family	top_score	threshold	accepted	correct
ntv2_l2_cross_entropy	interval|hg38|chr13|61060225|61060586|-|1085518	human:hg38	chr13	coord|human:hg38|chr13|61060225|61060586|-|1085518	hc|0198	AluJb	AluSx1	0.9859752655	0.9937865138053894	0	0
ntv2_l2_cross_entropy	interval|hg38|chr1|13746501|13746853|-|22298	human:hg38	chr1	coord|human:hg38|chr1|13746501|13746853|-|22298	hc|0200	AluJb	AluSx1	0.9909147024	0.9937865138053894	0	0
ntv2_l2_cross_entropy	interval|hg38|chr1|204583666|204584007|+|310906	human:hg38	chr1	coord|human:hg38|chr1|204583666|204584007|+|310906	hc|0201	AluJb	AluSq	0.9930289984	0.9937865138053894	0	0
ntv2_l2_cross_entropy	interval|hg38|chr11|111559418|111559757|-|759912	human:hg38	chr11	coord|human:hg38|chr11|111559418|111559757|-|759912	hc|0206	AluJb	AluY	0.9827275276	0.9937865138053894	0	0
ntv2_l2_cross_entropy	interval|hg38|chr13|104776246|104776583|-|1143493	human:hg38	chr13	coord|human:hg38|chr13|104776246|104776583|-|1143493	hc|0209	AluJb	AluSz6	0.9929495454	0.9937865138053894	0	0
ntv2_l2_cross_entropy	interval|hg38|chr11|9471897|9472228|-|600438	human:hg38	chr11	coord|human:hg38|chr11|9471897|9472228|-|600438	hc|0217	AluJb	AluSz6	0.9925937653	0.9937865138053894	0	0
ntv2_l2_cross_entropy	interval|hg38|chr1|28499446|28499775|-|55882	human:hg38	chr1	coord|human:hg38|chr1|28499446|28499775|-|55882	hc|0223	AluJb	FLAM_C	0.9933820963	0.9937865138053894	0	0
ntv2_l2_cross_entropy	interval|hg38|chr1|10190176|10190505|-|15467	human:hg38	chr1	coord|human:hg38|chr1|10190176|10190505|-|15467	hc|0224	AluJb	AluSx	0.9929021001	0.9937865138053894	0	0
ntv2_l2_cross_entropy	interval|hg38|chr13|66512789|66513117|-|1092167	human:hg38	chr13	coord|human:hg38|chr13|66512789|66513117|-|1092167	hc|0228	AluJb	FLAM_A	0.9930392504	0.9937865138053894	0	0
ntv2_l2_cross_entropy	interval|hg38|chr1|12681220|12681548|-|20481	human:hg38	chr1	coord|human:hg38|chr1|12681220|12681548|-|20481	hc|0229	AluJb	FLAM_C	0.9936337471	0.9937865138053894	0	0
ntv2_l2_cross_entropy	interval|hg38|chr1|28994633|28994959|-|57285	human:hg38	chr1	coord|human:hg38|chr1|28994633|28994959|-|57285	hc|0234	AluJb	AluY	0.9452226758	0.9937865138053894	0	0
