idx	chrom	start	end	rep_class	rep_family	historical_label	mapping_reason
14	chrX	70078537	70079049	Retroposon	SVA	Unknown	named_non_main4_taxon
58	chrX	40613984	40614496	Retroposon	SVA	Unknown	named_non_main4_taxon
66	chrX	67854753	67855265	Retroposon	SVA	Unknown	named_non_main4_taxon
80	chrX	75717094	75717606	Retroposon	SVA	Unknown	named_non_main4_taxon
88	chrX	109935660	109936172	LTR?	LTR?	Unknown	ambiguous_annotation
100	chrX	39611917	39612429	Retroposon	SVA	Unknown	named_non_main4_taxon
103	chrX	40263339	40263851	Retroposon	SVA	Unknown	named_non_main4_taxon
108	chrX	1082375	1082887	Retroposon	SVA	Unknown	named_non_main4_taxon
119	chrX	44446535	44447047	Retroposon	SVA	Unknown	named_non_main4_taxon
137	chrX	47525386	47525898	Retroposon	SVA	Unknown	named_non_main4_taxon
148	chrX	70310021	70310533	Retroposon	SVA	Unknown	named_non_main4_taxon
149	chrX	113756405	113756917	Retroposon	SVA	Unknown	named_non_main4_taxon
171	chrX	37110351	37110863	Retroposon	SVA	Unknown	named_non_main4_taxon
177	chrX	7163101	7163613	Retroposon	SVA	Unknown	named_non_main4_taxon
186	chrX	135495934	135496446	LTR?	LTR?	Unknown	ambiguous_annotation
213	chrX	53008331	53008843	Retroposon	SVA	Unknown	named_non_main4_taxon
254	chrX	69886703	69887215	Retroposon	SVA	Unknown	named_non_main4_taxon
269	chrX	113755299	113755811	Retroposon	SVA	Unknown	named_non_main4_taxon
285	chrX	28926269	28926781	Retroposon	SVA	Unknown	named_non_main4_taxon
313	chrX	25493945	25494457	Retroposon	SVA	Unknown	named_non_main4_taxon
314	chrX	23107166	23107678	Retroposon	SVA	Unknown	named_non_main4_taxon
316	chrX	146258431	146258943	Retroposon	SVA	Unknown	named_non_main4_taxon
319	chrX	66759810	66760322	Retroposon	SVA	Unknown	named_non_main4_taxon
345	chrX	23106381	23106893	Retroposon	SVA	Unknown	named_non_main4_taxon
354	chrX	79146085	79146597	Retroposon	SVA	Unknown	named_non_main4_taxon
362	chrX	39612891	39613403	Retroposon	SVA	Unknown	named_non_main4_taxon
382	chrX	68782016	68782528	Retroposon	SVA	Unknown	named_non_main4_taxon
393	chrX	149867147	149867659	Retroposon	SVA	Unknown	named_non_main4_taxon
419	chrX	11780239	11780751	LTR?	LTR?	Unknown	ambiguous_annotation
467	chrX	12545359	12545871	Retroposon	SVA	Unknown	named_non_main4_taxon
493	chrX	55040999	55041511	Retroposon	SVA	Unknown	named_non_main4_taxon
528	chrX	52112031	52112543	Retroposon	SVA	Unknown	named_non_main4_taxon
537	chrX	128168824	128169336	Retroposon	SVA	Unknown	named_non_main4_taxon
551	chrX	47427517	47428029	Retroposon	SVA	Unknown	named_non_main4_taxon
568	chrX	99166207	99166719	Retroposon	SVA	Unknown	named_non_main4_taxon
