contrast	case_idx	control_idx	case_source	control_source	case_species	control_species	case_chrom	control_chrom	case_label	control_label	case_sf5_best_main4	control_sf5_best_main4	match_distance	case_gc	control_gc	delta_gc	case_entropy_2bit_max	control_entropy_2bit_max	delta_entropy_2bit_max	case_top_6mer_frac	control_top_6mer_frac	delta_top_6mer_frac	case_max_homopolymer	control_max_homopolymer	delta_max_homopolymer
high_score_strict_bg_vs_matched_bg	1400	1338	high_score_strict_bg	background_strict_negative	western_honey_bee	western_honey_bee	GroupUn	GroupUn	HighScoreUnannotated	BG	SINE		0.2666813930767442	0.171875	0.18359375	-0.01171875	1.658586500363887	1.6745984109337413	-0.016011910569854182	0.0118343195266272	0.0138067061143984	-0.001972386587771201	9	8	1.0
high_score_strict_bg_vs_matched_bg	1401	1361	high_score_strict_bg	background_strict_negative	western_honey_bee	western_honey_bee	GroupUn	GroupUn	HighScoreUnannotated	BG	SINE		1.0573035647807263	0.107421875	0.150390625	-0.04296875	1.484621429927114	1.6066704378077388	-0.12204900788062467	0.0177514792899408	0.0216962524654832	-0.003944773175542399	8	11	-3.0
high_score_strict_bg_vs_matched_bg	1402	1374	high_score_strict_bg	background_strict_negative	western_honey_bee	western_honey_bee	GroupUn	GroupUn	HighScoreUnannotated	BG	SINE		2.180430632465519	0.080078125	0.15625	-0.076171875	1.3768140346018385	1.6196664682406072	-0.24285243363876874	0.0315581854043392	0.019723865877712	0.011834319526627196	6	11	-5.0
high_score_strict_bg_vs_matched_bg	1403	1319	high_score_strict_bg	background_strict_negative	western_honey_bee	western_honey_bee	GroupUn	GroupUn	HighScoreUnannotated	BG	SINE		1.2053066697437285	0.107421875	0.16015625	-0.052734375	1.4912978876834888	1.6222233464111115	-0.13092545872762273	0.0216962524654832	0.0157790927021696	0.0059171597633136015	10	7	3.0
high_score_strict_bg_vs_matched_bg	1404	1206	high_score_strict_bg	background_strict_negative	western_honey_bee	western_honey_bee	GroupUn	GroupUn	HighScoreUnannotated	BG	SINE		2.6112198826928363	0.080078125	0.193359375	-0.11328125	1.3761165219238114	1.7045874357405133	-0.3284709138167019	0.0315581854043392	0.0216962524654832	0.009861932938855997	6	6	0.0
high_score_strict_bg_vs_matched_bg	1405	1362	high_score_strict_bg	background_strict_negative	western_honey_bee	western_honey_bee	GroupUn	GroupUn	HighScoreUnannotated	BG	SINE		0.8074358938022215	0.154296875	0.1953125	-0.041015625	1.6181013159955169	1.7080455800623953	-0.08994426406687839	0.0157790927021696	0.0118343195266272	0.003944773175542399	7	6	1.0
high_score_strict_bg_vs_matched_bg	1406	1166	high_score_strict_bg	background_strict_negative	western_honey_bee	western_honey_bee	GroupUn	GroupUn	HighScoreUnannotated	BG	SINE		0.9109644192416523	0.1640625	0.212890625	-0.048828125	1.6428521342591478	1.7463654039387184	-0.10351326967957064	0.0157790927021696	0.0118343195266272	0.003944773175542399	8	7	1.0
high_score_strict_bg_vs_matched_bg	1407	1254	high_score_strict_bg	background_strict_negative	western_honey_bee	western_honey_bee	GroupUn	GroupUn	HighScoreUnannotated	BG	SINE		0.9220326264124863	0.345703125	0.314453125	0.03125	1.8923181753966696	1.8937907548567408	-0.0014725794600711772	0.0216962524654832	0.0138067061143984	0.0078895463510848	5	9	-4.0
high_score_strict_bg_vs_matched_bg	1408	1316	high_score_strict_bg	background_strict_negative	western_honey_bee	western_honey_bee	GroupUn	GroupUn	HighScoreUnannotated	BG	SINE		0.9857253802562778	0.166015625	0.216796875	-0.05078125	1.629707785175212	1.753988995860725	-0.12428121068551312	0.009861932938856	0.0078895463510848	0.001972386587771201	6	7	-1.0
unknown_main4like_vs_matched_known_main4	50	1003	unknown_annotation	known_main4	human	human	chr22	chrX	Unknown		DNA		3.9144787189187413	0.6875	0.408203125	0.279296875	1.894401144903654	1.9307958376136491	-0.03639469270999518	0.0216962524654832	0.009861932938856	0.0118343195266272	4	4	0.0
