species	assembly	panel_id	source_accession	source_chromosome	seqid	start_1based	end_1based	start0	end0	orientation	evidence_class	full_length_structural_candidate	primary_autonomous_candidate	autonomy_status	length_bp	transposase_aa	tsd	structural_rule	orf_evidence	experimental_validation	source	source_url	existing_core_overlap_bp	existing_halo_overlap_bp	existing_core_id	existing_halo_id	in_existing_core	in_existing_halo
chicken	GCA_000002315.5/GRCg6a	ALVE6_ALVE-JFevA	NC_006088.5	1	chr1	210601	214776	210600	214776	+	E_structural_partial	False	False	partial_or_truncated; sensitivity-only	4176		GGCGCT at 3' end	exact GRCg6a insertion; source reports 5-prime truncation, retained ORFs and target-site duplication; sensitivity-only because it is not intact/autonomous	source ORFs predicted with GLIMMER3; envelope described as intact, but current locus is 5-prime truncated	paper cites historical envelope expression; no current-locus autonomous-activity assay	ALVE/GGERV20 article, Results paragraph on ALVE6	https://pmc.ncbi.nlm.nih.gov/articles/PMC7597685/	0	0			False	False
chicken	GCA_000002315.5/GRCg6a	ALVE-JFevB	NC_006088.5	1	chr1	32724216	32731739	32724215	32731739	+	E_structural_autonomous_candidate	True	True	source-reported intact ORF/terminal structure; candidate pending sequence check	7524		GGCTTG at both ends	exact GRCg6a insertion; intact 7524-bp ALVE with gag-pol and envelope ORFs, source reports replication-competent potential	source ORFs predicted with GLIMMER3; intact gag-pol and envelope coordinates are reported, including the ribosomal -1 frameshift; no independent CDS start/stop assay in this study	WGS junction evidence confirms the reference insertion across 142 chickens; replication-competent potential is a structural inference, not a direct virus-rescue assay here	ALVE/GGERV20 article, Results paragraph on ALVE-JFevB	https://pmc.ncbi.nlm.nih.gov/articles/PMC7597685/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy1	NC_007119.7	8	chr8	44207847	44209443	44207846	44209443	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy2	NC_007128.7	17	chr17	33958902	33960498	33958901	33960498	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy3	NC_007129.7	18	chr18	31141292	31142888	31141291	31142888	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy4	NC_007132.7	21	chr21	3634261	3635857	3634260	3635857	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy5	NW_018395287.1	10	NW_018395287.1	190592	192188	190591	192188	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy6	NC_007131.7	20	chr20	17278631	17280227	17278630	17280227	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy7	NC_007116.7	5	chr5	1716494	1718090	1716493	1718090	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy8	NC_007116.7	5	chr5	60093584	60095180	60093583	60095180	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
