species	genome	k	sketch_size	max_bases	sampled_bases	valid_bases	unique_kmers_seen
brachypodium	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/purple_false_brome/GCF_000005505.3.fa.gz	15	2000	2000000	2000000	1999999	1928580
c_elegans	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/c_elegans/ce11.fa	15	2000	2000000	2000000	1999999	1548222
cattle	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/cattle/bosTau9.fa	15	2000	2000000	2000000	1999999	1524852
chicken	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/chicken/galGal6.fa	15	2000	2000000	2000000	1998089	1536466
fruit_fly	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/fruit_fly/dm6.fa	15	2000	2000000	2000000	1999999	1911998
horse	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/horse/equCab3.fa.gz	15	2000	2000000	2000000	1998979	1902329
human	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/human/hs1.fa	15	2000	2000000	2000000	1999999	1640883
lizard	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/green_anole/anoCar2.fa.gz	15	2000	2000000	2000000	1780195	1538216
maize	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/maize/Zea_mays.Zm-B73-REFERENCE-NAM-5.0.dna.toplevel.fa	15	2000	2000000	2000000	1999999	1467035
mouse	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/mouse/mm39.fa	15	2000	2000000	2000000	0	0
opossum	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/opossum/monDom5.fa.gz	15	2000	2000000	2000000	1960997	1791307
pig	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/pig/susScr11.fa	15	2000	2000000	2000000	1999999	1883008
red_flour_beetle	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/red_flour_beetle/triCas2.fa.gz	15	2000	2000000	2000000	1874182	1330568
rice	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/rice/Oryza_sativa.IRGSP-1.0.dna.toplevel.fa	15	2000	2000000	2000000	1998999	1811732
sorghum	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/sorghum/GCF_000003195.3.fa.gz	15	2000	2000000	2000000	1999999	1816857
soybean	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/soybean/Glycine_max.Glycine_max_v2.1.dna.toplevel.fa	15	2000	2000000	2000000	1972366	1840271
teosinte	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/zea_diploperennis_gigi/Zd-Gigi-REFERENCE-PanAnd-1.0.fa.gz	15	2000	2000000	2000000	1999999	1209704
thale_cress	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/thale_cress/Arabidopsis_thaliana.TAIR10.dna.toplevel.fa	15	2000	2000000	2000000	1999999	1943591
western_clawed_frog	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/western_clawed_frog/xenTro10.fa	15	2000	2000000	2000000	1996999	1012493
western_honey_bee	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/western_honey_bee/apiMel2.fa.gz	15	2000	2000000	2000000	1897167	1729532
x_laevis	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/african_clawed_frog/xenLae2.fa.gz	15	2000	2000000	2000000	1750683	1498989
zebrafish	/home/users/j/jwang/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/zebrafish/danRer11.fa	15	2000	2000000	2000000	1999993	1754637
