species_code	kingdom	annotation_status	genome_bp	all_annotated_repeat_bp	u_bp_proxy_genome_minus_annotated_repeat	hardn_bp_from_rmsk_repeats_simple_low_satellite_proxy	rn_status	u_quality_status	claim_eligible
african_clawed_frog	Animal	rmsk_te_with_class	2718433805	0	2718433805	61931118	not_constructed	prelim_proxy_only	no
african_malaria_mosquito	Animal	rmsk_te_with_class	264974304	0	264974304	7042811	not_constructed	prelim_proxy_only	no
c_briggsae	Animal	rmsk_te_with_class	108384165	0	108384165	4460391	not_constructed	prelim_proxy_only	no
c_elegans	Animal	rmsk_te_with_class	100286401	0	100286401	2564155	not_constructed	prelim_proxy_only	no
cattle	Animal	rmsk_te_with_class	2715853792	0	2715853792	274146456	not_constructed	prelim_proxy_only	no
chicken	Animal	rmsk_te_with_class	1065365425	0	1065365425	32700493	not_constructed	prelim_proxy_only	no
ciona	Animal	rmsk_te_with_class	115227500	0	115227500	6892636	not_constructed	prelim_proxy_only	no
dog	Animal	rmsk_te_with_class	2312802198	0	2312802198	238834097	not_constructed	prelim_proxy_only	no
drosophila_pseudoobscura	Animal	rmsk_te_with_class	152738921	0	152738921	4942413	not_constructed	prelim_proxy_only	no
fruit_fly	Animal	rmsk_te_with_class	143726002	0	143726002	6005809	not_constructed	prelim_proxy_only	no
green_anole	Animal	rmsk_te_with_class	1799143587	0	1799143587	39727620	not_constructed	prelim_proxy_only	no
human	Animal	rmsk_te_with_class	3117292070	0	3117292070	268732383	not_constructed	prelim_proxy_only	no
medaka	Animal	rmsk_te_with_class	869000216	0	869000216	10165136	not_constructed	prelim_proxy_only	no
mouse	Animal	rmsk_te_with_class	2728222451	0	2728222451	83440195	not_constructed	prelim_proxy_only	no
opossum	Animal	missing_annotation	3605631728	0	3605631728	0	not_constructed	prelim_proxy_only	no
pig	Animal	rmsk_te_with_class	2501912388	0	2501912388	336525956	not_constructed	prelim_proxy_only	no
rat	Animal	rmsk_te_with_class	2647915728	0	2647915728	91555028	not_constructed	prelim_proxy_only	no
red_flour_beetle	Animal	rmsk_te_with_class	199682416	0	199682416	4571259	not_constructed	prelim_proxy_only	no
silkworm	Animal	rmsk_te_with_class	460349660	0	460349660	44462743	not_constructed	prelim_proxy_only	no
spotted_gar	Animal	rmsk_te_with_class	945874548	0	945874548	9062440	not_constructed	prelim_proxy_only	no
three_spined_stickleback	Animal	missing_annotation	463354448	0	463354448	0	not_constructed	prelim_proxy_only	no
torafugu	Animal	rmsk_te_with_class	391484715	0	391484715	9041989	not_constructed	prelim_proxy_only	no
western_clawed_frog	Animal	rmsk_te_with_class	1451301209	0	1451301209	57361926	not_constructed	prelim_proxy_only	no
zebra_finch	Animal	rmsk_te_with_class	1232135591	0	1232135591	16463965	not_constructed	prelim_proxy_only	no
zebrafish	Animal	rmsk_te_with_class	1679203469	0	1679203469	141016802	not_constructed	prelim_proxy_only	no
amborella	Plant	missing_annotation	706332640	0	706332640	0	not_constructed	prelim_proxy_only	no
banana	Plant	missing_annotation	450848473	0	450848473	0	not_constructed	prelim_proxy_only	no
barley	Plant	missing_annotation	4225577519	0	4225577519	0	not_constructed	prelim_proxy_only	no
barrel_medic	Plant	missing_annotation	412800391	0	412800391	0	not_constructed	prelim_proxy_only	no
black_cottonwood	Plant	rmsk_te_with_class	392162179	0	392162179	31393975	not_constructed	prelim_proxy_only	no
field_mustard	Plant	missing_annotation	283822783	0	283822783	0	not_constructed	prelim_proxy_only	no
foxtail_millet	Plant	missing_annotation	405732883	0	405732883	0	not_constructed	prelim_proxy_only	no
grape	Plant	missing_annotation	494873210	0	494873210	0	not_constructed	prelim_proxy_only	no
longstamen_rice	Plant	missing_annotation	326442508	0	326442508	0	not_constructed	prelim_proxy_only	no
maize	Plant	rmsk_te_with_class	2182075994	0	2182075994	849144	not_constructed	prelim_proxy_only	no
marchantia	Plant	missing_annotation	248042680	0	248042680	0	not_constructed	prelim_proxy_only	no
pineapple	Plant	missing_annotation	315839004	0	315839004	0	not_constructed	prelim_proxy_only	no
purple_false_brome	Plant	rmsk_te_with_class	271298618	0	271298618	3220746	not_constructed	prelim_proxy_only	no
raimond_cotton	Plant	missing_annotation	761405269	0	761405269	0	not_constructed	prelim_proxy_only	no
rice	Plant	rmsk_te_with_class	375049285	0	375049285	25904406	not_constructed	prelim_proxy_only	no
sorghum	Plant	rmsk_te_with_class	709344700	0	709344700	24617246	not_constructed	prelim_proxy_only	no
soybean	Plant	rmsk_te_with_class	978491270	0	978491270	97746441	not_constructed	prelim_proxy_only	no
spikemoss	Plant	missing_annotation	212645483	0	212645483	0	not_constructed	prelim_proxy_only	no
spreading_earthmoss	Plant	rmsk_te_with_class	471852792	0	471852792	23678538	not_constructed	prelim_proxy_only	no
thale_cress	Plant	rmsk_te_with_class	119667750	0	119667750	5413227	not_constructed	prelim_proxy_only	no
tomato	Plant	missing_annotation	827747456	0	827747456	0	not_constructed	prelim_proxy_only	no
zea_diploperennis_gigi	Plant	rmsk_te_with_class	3290921811	0	3290921811	0	not_constructed	prelim_proxy_only	no
aspergillus_fumigatus	Fungus	missing_annotation	29420142	0	29420142	0	not_constructed	prelim_proxy_only	no
batrachochytrium	Fungus	rmsk_repeats_with_class_fallback	23810896	0	23810896	96581	not_constructed	prelim_proxy_only	no
botrytis	Fungus	missing_annotation	42630066	0	42630066	0	not_constructed	prelim_proxy_only	no
bread_mold	Fungus	rmsk_repeats_with_class_fallback	41102378	0	41102378	0	not_constructed	prelim_proxy_only	no
budding_yeast	Fungus	rmsk_repeats_with_class_fallback	12157105	0	12157105	0	not_constructed	prelim_proxy_only	no
candida	Fungus	rmsk_te_with_class	14282666	0	14282666	564273	not_constructed	prelim_proxy_only	no
corn_smut_fungus	Fungus	rmsk_te_without_class	19664356	0	19664356	0	not_constructed	prelim_proxy_only	no
cryptococcus	Fungus	rmsk_te_with_class	18916112	0	18916112	195670	not_constructed	prelim_proxy_only	no
fission_yeast	Fungus	rmsk_te_without_class	12631379	0	12631379	0	not_constructed	prelim_proxy_only	no
fusarium_wilt_fungus	Fungus	rmsk_te_with_class	61471697	0	61471697	511491	not_constructed	prelim_proxy_only	no
koji_mold	Fungus	rmsk_repeats_with_class_fallback	37912014	0	37912014	0	not_constructed	prelim_proxy_only	no
mucor	Fungus	rmsk_repeats_with_class_fallback	36348485	0	36348485	628436	not_constructed	prelim_proxy_only	no
nidulans_mold	Fungus	rmsk_repeats_with_class_fallback	29828291	0	29828291	0	not_constructed	prelim_proxy_only	no
rhizophagus	Fungus	rmsk_te_with_class	136726313	0	136726313	5035876	not_constructed	prelim_proxy_only	no
rice_blast_fungus	Fungus	rmsk_te_with_class	40979121	0	40979121	531891	not_constructed	prelim_proxy_only	no
stem_rust_fungus	Fungus	rmsk_te_with_class	88724376	0	88724376	1092518	not_constructed	prelim_proxy_only	no
wheat_scab_fungus	Fungus	rmsk_repeats_with_class_fallback	36565771	0	36565771	324321	not_constructed	prelim_proxy_only	no
zymoseptoria	Fungus	missing_annotation	39686251	0	39686251	0	not_constructed	prelim_proxy_only	no
