idx	species	label	label_name	cluster	source	rep_name
0	rice	5	SINE	2	known_main4	k_22
1	rice	5	SINE	1	known_main4	ORSiTEMT01100011
2	rice	5	SINE	1	known_main4	ORSiTEMT01100011
3	human	3	LINE	0	known_main4	L1PA16
4	human	3	LINE	2	known_main4	L1ME3E
5	human	3	LINE	0	known_main4	L1PA10
6	human	4	LTR	4	known_main4	MLT1F
7	human	2	DNA	0	known_main4	Tigger1
8	rice	5	SINE	1	known_main4	ORSiTEMT01100011
9	rice	5	SINE	3	known_main4	ORSiTEMT01100014
10	human	3	LINE	0	known_main4	L1P3
11	rice	5	SINE	0	known_main4	k_22
12	rice	5	SINE	1	known_main4	ORSiTEMT01100014
13	human	3	LINE	0	known_main4	L2a
14	rice	5	SINE	1	known_main4	ORSiTEMT01100012
15	human	4	LTR	0	known_main4	MLT1D
16	human	4	LTR	4	known_main4	THE1C-int
17	human	4	LTR	4	known_main4	LTR39
18	human	3	LINE	1	known_main4	L1PA3
19	human	4	LTR	4	known_main4	LTR5A
20	rice	5	SINE	2	known_main4	ORSiTERT004_797273
21	rice	5	SINE	0	known_main4	ORSiTEMT01100011
22	rice	5	SINE	0	known_main4	k_24
23	human	2	DNA	0	known_main4	Charlie1a
24	human	4	LTR	0	known_main4	HUERS-P3b-int
25	human	2	DNA	0	known_main4	Tigger1
26	rice	5	SINE	1	known_main4	ORSiTEMT01100011
27	rice	5	SINE	1	known_main4	k_22
28	human	3	LINE	1	known_main4	L1PA15
29	human	2	DNA	0	known_main4	Ricksha_c
30	human	4	LTR	4	known_main4	LTR76
31	human	2	DNA	2	known_main4	Tigger1
32	human	2	DNA	2	known_main4	Charlie9
33	human	3	LINE	1	known_main4	L1PB1
34	rice	5	SINE	3	known_main4	ORSiTEMT01100014
35	human	2	DNA	2	known_main4	EuthAT-2
36	rice	5	SINE	1	known_main4	g_PSINE1_GLA
37	human	3	LINE	1	known_main4	L1M4
38	human	4	LTR	0	known_main4	THE1C-int
39	human	2	DNA	0	known_main4	Tigger1
40	rice	5	SINE	3	known_main4	k_22
41	human	3	LINE	1	known_main4	L1P4a
42	rice	5	SINE	1	known_main4	g_PSINE1_GLA
43	human	4	LTR	0	known_main4	LTR62
44	rice	5	SINE	2	known_main4	ORSiTEMT01100008
45	rice	5	SINE	1	known_main4	ORSiTERT004_783775
46	human	2	DNA	2	known_main4	Tigger1
47	human	3	LINE	2	known_main4	L1MA7
48	human	4	LTR	4	known_main4	MLT2A2
49	rice	5	SINE	3	known_main4	ORSiTEMT01100009
50	human	3	LINE	0	known_main4	L1MEg
51	human	4	LTR	4	known_main4	MER39B
52	rice	5	SINE	2	known_main4	ORSiTEMT01100011
53	human	3	LINE	2	known_main4	L1MEd
54	rice	5	SINE	1	known_main4	g_PSINE1_GLA
55	human	4	LTR	4	known_main4	HERV17-int
56	rice	5	SINE	1	known_main4	k_22
57	human	4	LTR	4	known_main4	MER11C
58	human	3	LINE	0	known_main4	L1ME3F
59	rice	5	SINE	1	known_main4	g_PSINE1_GLA
60	human	4	LTR	4	known_main4	HERVH-int
61	rice	5	SINE	1	known_main4	k_22
62	rice	5	SINE	2	known_main4	k_22
63	human	4	LTR	1	known_main4	LTR40a
64	human	2	DNA	1	known_main4	MER44B
65	rice	5	SINE	1	known_main4	k_22
66	human	3	LINE	4	known_main4	L1PA10
67	human	2	DNA	2	known_main4	Charlie1a
68	rice	5	SINE	0	known_main4	ORSiTEMT01100011
69	human	4	LTR	4	known_main4	LTR27B
70	human	3	LINE	0	known_main4	L1PB1
71	rice	5	SINE	1	known_main4	ORSiTEMT01100008
72	human	4	LTR	4	known_main4	LTR14B
73	human	3	LINE	0	known_main4	L1PA5
74	human	4	LTR	0	known_main4	MER4E
75	human	4	LTR	4	known_main4	MER41B
76	rice	5	SINE	0	known_main4	ORSiTEMT01100010
77	human	3	LINE	1	known_main4	L1PA2
78	human	2	DNA	0	known_main4	EuthAT-2
79	human	3	LINE	1	known_main4	L1PA7
