source	model	species	te_f1	anchor_type	species_group	panel	n_chrom	sd_te_f1	stage	label_jaccard	ucsc_bp_covered_by_self	self_bp_covered_by_ucsc	self_merged_bp	ucsc_merged_bp	target_gc	distance_mya_proxy	log_distance_mya	same_group_anchor	genome_size_bp	contig_count	max_contig_bp	assembly_n50_bp	assembly_l50	n_fraction	sampled_gc	kmer_sampled_bases	log_genome_size_bp	log_contig_count	log_assembly_n50_bp	log_max_contig_bp	kmer_js_to_anchor_proto	kmer_cosine_to_anchor_proto	minhash_anchor_proto	minhash_best_anchor_member	minhash_jaccard_best_member	minhash_mash_distance_best_member	minhash_jaccard_mean_proto	minhash_mash_distance_mean_proto
calib_anchor	cross_supervised_4096	brachypodium	0.8175422271365038	cross	plant				cross_supervised_to_plant_fine	0.101164	0.1029	0.857087	5277523	43958318	0.45561279296875	1500.0	3.1760912590556813	0	271298618	11	75071545	59130575	3	0.0	0.454488	1000000	8.433447581463392	1.041392685158225	7.771812102204127	7.875475353898488	0.0693259415010997	0.0175357229218507	cross	brachypodium	1.0	0.0	0.12915053475717714	0.3531042535064754
calib_anchor	plant_supervised_4096	brachypodium	0.7765195434514967	plant	plant				plant_supervised_to_plant_fine	0.101164	0.1029	0.857087	5277523	43958318	0.45561279296875	1500.0	3.1760912590556813	1	271298618	11	75071545	59130575	3	0.0	0.454488	1000000	8.433447581463392	1.041392685158225	7.771812102204127	7.875475353898488	0.0392954852174674	0.0046023125549394	plant	brachypodium	1.0	0.0	0.20483241506249245	0.23881140827359948
calib_anchor	insect_no_beetle_4096	brachypodium	0.4502561696769175	insect	plant				insect_no_beetle_to_plant_fine	0.101164	0.1029	0.857087	5277523	43958318	0.45561279296875	1500.0	3.1760912590556813	0	271298618	11	75071545	59130575	3	0.0	0.454488	1000000	8.433447581463392	1.041392685158225	7.771812102204127	7.875475353898488	0.142514717076787	0.0564627585782296	insect	western_honey_bee	0.0047726701833710125	0.3104308986917095	0.004142481604480288	0.3206102870100822
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	brachypodium	0.4333898332380484	animal	plant				animal_invert_boost_to_plant_fine	0.101164	0.1029	0.857087	5277523	43958318	0.45561279296875	1500.0	3.1760912590556813	0	271298618	11	75071545	59130575	3	0.0	0.454488	1000000	8.433447581463392	1.041392685158225	7.771812102204127	7.875475353898488	0.1040889363124293	0.0363524838017522	animal	zebrafish	0.005025125628140704	0.3070113457325394	0.0036412512484719248	0.4310054901356164
supp_h0_transfer	ntv2_500m_H0_w4096	brachypodium	0.3212749242452583	human_h0_ntv2_500m	plant				transfer_BC_w4096	0.101164	0.1029	0.857087	5277523	43958318	0.45561279296875	1500.0	3.1760912590556813	0	271298618	11	75071545	59130575	3	0.0	0.454488	1000000	8.433447581463392	1.041392685158225	7.771812102204127	7.875475353898488	0.2268185746895572	0.1337656475000112	human_h0_ntv2_500m	human	0.0035122930255895636	0.3307896753284549	0.0035122930255895636	0.3307896753284549
final_errorbar	ntv2_250m_w4096	brachypodium	0.2929663405760741	human_h0_ntv2_250m	plant	plant_fine	3.0	0.0156920332833043		0.101164	0.1029	0.857087	5277523	43958318	0.45561279296875	1500.0	3.1760912590556813	0	271298618	11	75071545	59130575	3	0.0	0.454488	1000000	8.433447581463392	1.041392685158225	7.771812102204127	7.875475353898488	0.2268185746895572	0.1337656475000112	human_h0_ntv2_250m	human	0.0035122930255895636	0.3307896753284549	0.0035122930255895636	0.3307896753284549
final_errorbar	ntv3_100m_pre_w2048	brachypodium	0.2073934705084866	human_h0_ntv3_100m	plant	plant_fine	3.0	0.0683970400854424		0.101164	0.1029	0.857087	5277523	43958318	0.45561279296875	1500.0	3.1760912590556813	0	271298618	11	75071545	59130575	3	0.0	0.454488	1000000	8.433447581463392	1.041392685158225	7.771812102204127	7.875475353898488	0.2268185746895572	0.1337656475000112	human_h0_ntv3_100m	human	0.0035122930255895636	0.3307896753284549	0.0035122930255895636	0.3307896753284549
anchor_anchor	TFREPAIR_invert_boost_animal_4096_seed42	c_elegans	0.9053972034713066	animal	other				animal_invert_boost_to_insect_fine	0.833784	0.964483	0.860195	10289793	9177183	0.3579248046875	900.0	2.9542425094393248	0	100286401	7	20924180	17493829	3	0.0	0.371376	1000000	8.001242045970857	0.8450980400142568	7.242884877035624	7.320648447384384	0.1443799983785652	0.0775729844697248	animal	c_elegans	1.0	0.0	0.17218349693156687	0.35710228198302296
anchor_anchor	cross_supervised_4096	c_elegans	0.8952111633807284	cross	other				cross_supervised_to_insect_fine	0.833784	0.964483	0.860195	10289793	9177183	0.3579248046875	900.0	2.9542425094393248	0	100286401	7	20924180	17493829	3	0.0	0.371376	1000000	8.001242045970857	0.8450980400142568	7.242884877035624	7.320648447384384	0.1533616551705707	0.0962183394831955	cross	c_elegans	1.0	0.0	0.13035380887994355	0.34022856824211656
anchor_anchor	insect_primary_4096	c_elegans	0.8945547202059512	insect	other				insect_primary_to_insect_fine	0.833784	0.964483	0.860195	10289793	9177183	0.3579248046875	900.0	2.9542425094393248	0	100286401	7	20924180	17493829	3	0.0	0.371376	1000000	8.001242045970857	0.8450980400142568	7.242884877035624	7.320648447384384	0.1475085510847136	0.0895808950573151	insect	western_honey_bee	0.014970819588936818	0.2348910010424242	0.010503518446379877	0.26487378816101664
anchor_anchor	insect_no_beetle_4096	c_elegans	0.5383685302773058	insect	other				insect_no_beetle_to_insect_fine	0.833784	0.964483	0.860195	10289793	9177183	0.3579248046875	900.0	2.9542425094393248	0	100286401	7	20924180	17493829	3	0.0	0.371376	1000000	8.001242045970857	0.8450980400142568	7.242884877035624	7.320648447384384	0.1475085510847136	0.0895808950573151	insect	western_honey_bee	0.014970819588936818	0.2348910010424242	0.010503518446379877	0.26487378816101664
supp_h0_transfer	ntv2_500m_H0_w4096	c_elegans	0.345012472034356	human_h0_ntv2_500m	other				transfer_BC_w4096	0.833784	0.964483	0.860195	10289793	9177183	0.3579248046875	900.0	2.9542425094393248	0	100286401	7	20924180	17493829	3	0.0	0.371376	1000000	8.001242045970857	0.8450980400142568	7.242884877035624	7.320648447384384	0.3448736563265228	0.3498680780416765	human_h0_ntv2_500m	human	0.0047726701833710125	0.3104308986917095	0.0047726701833710125	0.3104308986917095
final_errorbar	ntv3_100m_pre_w2048	c_elegans	0.2604444021620859	human_h0_ntv3_100m	other	animal_fine	3.0	0.0215523139867919		0.833784	0.964483	0.860195	10289793	9177183	0.3579248046875	900.0	2.9542425094393248	0	100286401	7	20924180	17493829	3	0.0	0.371376	1000000	8.001242045970857	0.8450980400142568	7.242884877035624	7.320648447384384	0.3448736563265228	0.3498680780416765	human_h0_ntv3_100m	human	0.0047726701833710125	0.3104308986917095	0.0047726701833710125	0.3104308986917095
final_errorbar	ntv2_250m_w4096	c_elegans	0.1426005332526109	human_h0_ntv2_250m	other	animal_fine	3.0	0.0303152737505588		0.833784	0.964483	0.860195	10289793	9177183	0.3579248046875	900.0	2.9542425094393248	0	100286401	7	20924180	17493829	3	0.0	0.371376	1000000	8.001242045970857	0.8450980400142568	7.242884877035624	7.320648447384384	0.3448736563265228	0.3498680780416765	human_h0_ntv2_250m	human	0.0047726701833710125	0.3104308986917095	0.0047726701833710125	0.3104308986917095
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	cattle	0.9216935615407684	animal	vertebrate				animal_invert_boost_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	1	2715853792	2211	158534110	103308737	12	0.0	0.438283	1000000	9.43390638599257	3.344588742578714	8.014137052114325	8.200122718862955	0.1961603645512639	0.1045802654699864	animal	zebrafish	0.007556675062972292	0.2799803385253285	0.004779504320268857	0.41803209946722686
calib_anchor	cross_supervised_4096	cattle	0.9213113792693672	cross	vertebrate				cross_supervised_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	0	2715853792	2211	158534110	103308737	12	0.0	0.438283	1000000	9.43390638599257	3.344588742578714	8.014137052114325	8.200122718862955	0.1898193400311859	0.0914288745666459	cross	zebrafish	0.007556675062972292	0.2799803385253285	0.004147083900805754	0.40059555601938857
calib_anchor	insect_no_beetle_4096	cattle	0.2681289424464008	insect	vertebrate				insect_no_beetle_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	0	2715853792	2211	158534110	103308737	12	0.0	0.438283	1000000	9.43390638599257	3.344588742578714	8.014137052114325	8.200122718862955	0.2674695235796735	0.15873003482616	insect	western_honey_bee	0.006289308176100629	0.29213510897825873	0.00464916762867218	0.31660074814759875
calib_anchor	plant_supervised_4096	cattle	0.0858809770068545	plant	vertebrate				plant_supervised_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	0	2715853792	2211	158534110	103308737	12	0.0	0.438283	1000000	9.43390638599257	3.344588742578714	8.014137052114325	8.200122718862955	0.1939129743058688	0.0844629259880961	plant	thale_cress	0.0057832537088257484	0.29769388290752885	0.004268975470626056	0.319366348385849
supp_h0_transfer	ntv2_500m_H0_w4096	chicken	0.8516226680157541	human_h0_ntv2_500m	vertebrate				transfer_BC_w4096	0.391291	0.394479	0.979765	40667484	101005421	0.4113284493284493	310.0	2.4913616938342726	0	1065365425	464	197608386	91315245	4	0.0017070808916752	0.549823	1000000	9.027498598235026	2.6665179805548807	7.96054328866985	8.29580537100184	0.1448915707647146	0.0601428909585745	human_h0_ntv2_500m	human	0.0057832537088257484	0.29769388290752885	0.0057832537088257484	0.29769388290752885
final_errorbar	ntv2_250m_w4096	chicken	0.843436719033926	human_h0_ntv2_250m	vertebrate	animal_fine	3.0	0.0193628216675568		0.391291	0.394479	0.979765	40667484	101005421	0.4113284493284493	310.0	2.4913616938342726	0	1065365425	464	197608386	91315245	4	0.0017070808916752	0.549823	1000000	9.027498598235026	2.6665179805548807	7.96054328866985	8.29580537100184	0.1448915707647146	0.0601428909585745	human_h0_ntv2_250m	human	0.0057832537088257484	0.29769388290752885	0.0057832537088257484	0.29769388290752885
final_errorbar	ntv3_100m_pre_w2048	chicken	0.6195493201860316	human_h0_ntv3_100m	vertebrate	animal_fine	3.0	0.0701786703401454		0.391291	0.394479	0.979765	40667484	101005421	0.4113284493284493	310.0	2.4913616938342726	0	1065365425	464	197608386	91315245	4	0.0017070808916752	0.549823	1000000	9.027498598235026	2.6665179805548807	7.96054328866985	8.29580537100184	0.1448915707647146	0.0601428909585745	human_h0_ntv3_100m	human	0.0057832537088257484	0.29769388290752885	0.0057832537088257484	0.29769388290752885
anchor_anchor	insect_no_beetle_4096	fruit_fly	0.944818571090276	insect	insect				insect_no_beetle_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	1	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.1001622488462802	0.0254297426578645	insect	fruit_fly	1.0	0.0	0.5045408678102926	0.13391278403619908
anchor_anchor	TFREPAIR_invert_boost_animal_4096_seed42	fruit_fly	0.9437257723304636	animal	insect				animal_invert_boost_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	1	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.0783631596802407	0.0157474491106001	animal	fruit_fly	1.0	0.0	0.17107312390337562	0.361475438739999
anchor_anchor	cross_supervised_4096	fruit_fly	0.942393180917196	cross	insect				cross_supervised_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.0698216548368194	0.0106775865530966	cross	fruit_fly	1.0	0.0	0.12870734925659089	0.35822788434252495
anchor_anchor	insect_primary_4096	fruit_fly	0.9413841255319276	insect	insect				insect_primary_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	1	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.1001622488462802	0.0254297426578645	insect	fruit_fly	1.0	0.0	0.5045408678102926	0.13391278403619908
supp_h0_transfer	ntv2_500m_H0_w4096	fruit_fly	0.6577990369528225	human_h0_ntv2_500m	insect				transfer_BC_w4096	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.2474985795480165	0.15855331987712	human_h0_ntv2_500m	human	0.003009027081243731	0.34106638731693883	0.003009027081243731	0.34106638731693883
final_errorbar	ntv2_250m_w4096	fruit_fly	0.5533233517822065	human_h0_ntv2_250m	insect	animal_fine	3.0	0.0128215769678409		0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.2474985795480165	0.15855331987712	human_h0_ntv2_250m	human	0.003009027081243731	0.34106638731693883	0.003009027081243731	0.34106638731693883
final_errorbar	ntv3_100m_pre_w2048	fruit_fly	0.4822229619104726	human_h0_ntv3_100m	insect	animal_fine	3.0	0.1825771233602698		0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.2474985795480165	0.15855331987712	human_h0_ntv3_100m	human	0.003009027081243731	0.34106638731693883	0.003009027081243731	0.34106638731693883
calib_anchor	cross_supervised_4096	horse	0.8925601404845789	cross	vertebrate				cross_supervised_to_cross_eval	0.791397	0.812579	0.968112	892563554	1063406667		96.0	1.9822712330395684	0	188260577	1	188260577	188260577	1	0.0010189606601266	0.517305	1000000	8.27475938542357	0.0	8.27475938542357	8.27475938542357	0.2072733615749962	0.1175416603257882	cross	zebrafish	0.008572869389813415	0.2716361289950614	0.00408447992382229	0.4019382172622498
