idx	species	label	label_name	cluster	source	rep_name
0	maize	8	unknown	3	genomic_boundary	TE_00010417_LTR
1	rice	7	LTRs	4	genomic_boundary	RLX_59535:mipsREdat_9.3p_ALL
2	mouse	4	ERVK	7	genomic_boundary	RLTR13D1
3	mouse	6	L1	4	genomic_boundary	Lx5b
4	zebrafish	3	DNA	6	genomic_boundary	DNA-2-13_DR
5	maize	2	Copia	2	genomic_boundary	dijap_AC211466_11198
6	western_clawed_frog	1	CR1	0	genomic_boundary	CR1-2_XT
7	maize	8	unknown	6	genomic_boundary	dapuuv_AC217549_13514
8	rice	7	LTRs	1	genomic_boundary	LTR_Os_chr_01_167 (02.01.01.99)
9	chicken	1	CR1	0	genomic_boundary	CR1-F
10	rice	7	LTRs	5	genomic_boundary	ORSiCMCM00200001 (02.01.01.99)
11	maize	2	Copia	5	genomic_boundary	ovev_AC199878_6641
12	mouse	6	L1	0	genomic_boundary	Lx6
13	chicken	1	CR1	1	genomic_boundary	CR1-G
14	chicken	1	CR1	1	genomic_boundary	CR1-C
15	maize	5	Gypsy	6	genomic_boundary	nihep_AC194441_4115
16	zebrafish	3	DNA	6	genomic_boundary	DNA9NNN1_DR
17	maize	2	Copia	4	genomic_boundary	TE_00002491_LTR
18	mouse	6	L1	7	genomic_boundary	Lx8
19	mouse	4	ERVK	1	genomic_boundary	IAPLTR3-int
20	mouse	6	L1	0	genomic_boundary	L1MdFanc_II
21	chicken	1	CR1	1	genomic_boundary	CR1-Y3
22	chicken	1	CR1	0	genomic_boundary	CR1-F2
23	mouse	4	ERVK	1	genomic_boundary	RMER6A
24	maize	8	unknown	3	genomic_boundary	TE_00018209_LTR
25	zebrafish	3	DNA	6	genomic_boundary	TDR23
26	rice	7	LTRs	4	genomic_boundary	LTR_Os_chr_10_1833 (02.01.01.99)
27	rice	7	LTRs	2	genomic_boundary	LTR_Os_chr_03_424 (02.01.01.99)
28	mouse	4	ERVK	6	genomic_boundary	RLTR13D3
29	zebrafish	3	DNA	6	genomic_boundary	DNAX-1_DR
30	rice	7	LTRs	3	genomic_boundary	LTR_Os_chr_01_191 (02.01.01.99)
31	mouse	6	L1	7	genomic_boundary	Lx6
32	maize	8	unknown	5	genomic_boundary	TE_00012335_LTR
33	chicken	1	CR1	1	genomic_boundary	CR1-G
34	rice	7	LTRs	2	genomic_boundary	LTR_Os_chr_03_433 (02.01.01.10.99)
35	zebrafish	3	DNA	3	genomic_boundary	DNA-4-2_DR
36	sorghum	2	Copia	4	genomic_boundary	Copia-82_SB-LTR
37	chicken	1	CR1	0	genomic_boundary	CR1-E
38	mouse	4	ERVK	6	genomic_boundary	IAPEz-int
39	maize	2	Copia	4	genomic_boundary	chr10_D_107123494
40	maize	8	unknown	4	genomic_boundary	odoj_AC194387_4072
41	sorghum	5	Gypsy	4	genomic_boundary	Gypsy2-SB_I-int
42	mouse	4	ERVK	1	genomic_boundary	RLTR49
43	maize	8	unknown	4	genomic_boundary	bumy_AC216354_13379
44	mouse	6	L1	0	genomic_boundary	L1MdF_II
45	mouse	4	ERVK	1	genomic_boundary	RMER17A2
46	maize	2	Copia	1	genomic_boundary	opie_AC196469_5133
47	maize	2	Copia	4	genomic_boundary	nitat_AC190618_2442
48	mouse	6	L1	1	genomic_boundary	Lx3C
49	chicken	1	CR1	6	genomic_boundary	CR1-X2
50	maize	2	Copia	5	genomic_boundary	chr3_P_39978843
51	mouse	6	L1	7	genomic_boundary	L1MdA_III
52	chicken	1	CR1	1	genomic_boundary	CR1-G
53	thale_cress	7	LTRs	7	genomic_boundary	AT3TE66175:TAIR10_TE
54	western_clawed_frog	1	CR1	6	genomic_boundary	CR1-2_XT
55	mouse	6	L1	0	genomic_boundary	L1MdTf_II
56	sorghum	5	Gypsy	4	genomic_boundary	Gypsy4-SB_I-int
57	mouse	6	L1	1	genomic_boundary	Lx6
58	mouse	6	L1	7	genomic_boundary	L1MdV_II
59	rice	7	LTRs	5	genomic_boundary	RLX_59535:mipsREdat_9.3p_ALL
60	mouse	4	ERVK	0	genomic_boundary	IAPLTR3-int
61	western_clawed_frog	1	CR1	6	genomic_boundary	CR1_1a_Xt
62	zebrafish	3	DNA	6	genomic_boundary	TDR23
63	brachypodium	5	Gypsy	2	genomic_boundary	Gypsy-20_BD-I
64	thale_cress	7	LTRs	3	genomic_boundary	LTR_Al_scaffold_0006_1030 (02.01.01.99)
65	mouse	4	ERVK	0	genomic_boundary	RMER13A1
66	mouse	6	L1	0	genomic_boundary	L1MdMus_I
67	sorghum	5	Gypsy	5	genomic_boundary	Gypsy-122_SBi-LTR
