idx	contrast_role	source	species	chrom	start	end	label_name	model	score_name	chunk_start	chunk_end	original_score	occluded_score	delta_score	sf5_best_main4
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	binary	binary_te_mean	original	original	0.002720207441598177	0.002720207441598177	0.0	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	sf5	sf5_best_main4_frac	original	original	0.0	0.0	0.0	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	binary	binary_te_mean	0	64	0.002720207441598177	0.0020963638089597225	0.0006238436326384544	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	sf5	sf5_best_main4_frac	0	64	0.0	0.0	0.0	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	binary	binary_te_mean	64	128	0.002720207441598177	0.002190842293202877	0.0005293651483952999	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	sf5	sf5_best_main4_frac	64	128	0.0	0.0	0.0	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	binary	binary_te_mean	128	192	0.002720207441598177	0.0022809768561273813	0.00043923058547079563	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	sf5	sf5_best_main4_frac	128	192	0.0	0.0	0.0	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	binary	binary_te_mean	192	256	0.002720207441598177	0.0022117893677204847	0.0005084180738776922	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	sf5	sf5_best_main4_frac	192	256	0.0	0.0	0.0	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	binary	binary_te_mean	256	320	0.002720207441598177	0.002405535662546754	0.00031467177905142307	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	sf5	sf5_best_main4_frac	256	320	0.0	0.0	0.0	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	binary	binary_te_mean	320	384	0.002720207441598177	0.0045372783206403255	-0.0018170708790421486	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	sf5	sf5_best_main4_frac	320	384	0.0	0.0	0.0	SINE
1400	high_score_strict_bg_vs_matched_bg:case	high_score_strict_bg	western_honey_bee	GroupUn	1506356	1506868	HighScoreUnannotated	binary	binary_te_mean	384	448	0.002720207441598177	0.001962261740118265	0.0007579457014799118	SINE
