package_id	role	role_rank	reserve_pair_rank	unit_type	hard_cell	selection_priority	deep_audit_feature_id	assembly_id	seqid	core_start0	core_end0	package_start0	package_end0	feature_ids	core_length	feature_count	max_overlap_depth	p3_atoms_core	p3_atoms_package	nearest_fbti_gap
S0-02145	calibration	1		S0	S0-L1	0.0038411805394226173		dmel_r6.68	3L	11474677	11474706	11464677	11484706	FBti0060715	29	1	1	0	14	24405
S0-01706	calibration	2		S0	S0-L2	0.00034668556706352049		dmel_r6.68	2R	6709697	6710017	6699697	6720017	FBti0060411	320	1	1	29	38	10662
S0-03284	calibration	3		S0	S0-L2	0.0011875450325105064		dmel_r6.68	3R	9319630	9319993	9309630	9329993	FBti0019345	363	1	1	5	70	7817
S0-03624	calibration	4		S0	S0-L3	0.01678965577081204		dmel_r6.68	4	226317	226986	216317	236986	FBti0019480	669	1	1	21	272	1449
S0-00037	calibration	5		S0	S0-L4	0.00066364585539446797		dmel_r6.68	2L	2772652	2779175	2762652	2789175	FBti0019750	6523	1	1	192	273	59208
S0-00207	calibration	6		S0	S0-L4	0.0013572587762659127		dmel_r6.68	2L	15956081	15957487	15946081	15967487	FBti0019182	1406	1	1	58	58	32892
S1-00090	calibration	7		S1	S1-C1	0.0058850450220202521		dmel_r6.68	2R	5125749	5126720	5115749	5136720	FBti0060583,FBti0060975	971	2	2	48	364	
S1-00116	calibration	8		S1	S1-C1	0.052300584529293981		dmel_r6.68	2R	5810068	5810462	5800068	5820462	FBti0063717,FBti0063741	394	2	2	49	93	
S1-00028	calibration	9		S1	S1-C2	0.035725955117451802		dmel_r6.68	2L	22176504	22177642	22166504	22187642	FBti0019854,FBti0060053,FBti0064198	1138	3	2	6	664	
S1-00031	calibration	10		S1	S1-C2	0.078295290245013693		dmel_r6.68	2L	22228794	22238986	22218794	22248986	FBti0059640,FBti0060356,FBti0064228	10192	3	2	329	821	
S1-00171	calibration	11		S1	S1-C3	0.012427515498417474		dmel_r6.68	3L	23403126	23425849	23393126	23435849	FBti0020246,FBti0020247,FBti0020249,FBti0020251,FBti0020252,FBti0020253,FBti0059780,FBti0062158,FBti0062691,FBti0063200,FBti0063297,FBti0063806	22723	12	4	296	898	
S1-00260	calibration	12		S1	S1-C3	0.12003641470269943		dmel_r6.68	4	1274637	1277576	1264637	1287576	FBti0020446,FBti0059746,FBti0062167	2939	3	3	47	210	
S0-00118	main	1		S0	S0-L1	0.0058168596027280417		dmel_r6.68	2L	10683187	10683243	10673187	10693243	FBti0064281	56	1	1	1	29	6790
S0-00359	main	2		S0	S0-L1	0.00062065202700578581	FBti0063318	dmel_r6.68	2L	20576032	20576098	20566032	20586098	FBti0063318	66	1	1	1	338	175
