package_id	atom_id	seqid	start0	end0	overlap_role	package_censored	name	score	strand	source	attributes
S0-02145	P3:3L:11471973:11472019	3L	11471973	11472019	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483165:11483166	3L	11483165	11483166	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483169:11483176	3L	11483169	11483176	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483181:11483183	3L	11483181	11483183	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483187:11483190	3L	11483187	11483190	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483191:11483192	3L	11483191	11483192	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483286:11483287	3L	11483286	11483287	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483303:11483307	3L	11483303	11483307	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483308:11483310	3L	11483308	11483310	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483312:11483317	3L	11483312	11483317	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483319:11483323	3L	11483319	11483323	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483324:11483326	3L	11483324	11483326	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483330:11483332	3L	11483330	11483332	contained	0	P3_prediction	.	.	P3	.
S0-02145	P3:3L:11483443:11483444	3L	11483443	11483444	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709685:6709686	2R	6709685	6709686	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709688:6709689	2R	6709688	6709689	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709691:6709692	2R	6709691	6709692	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709693:6709706	2R	6709693	6709706	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709707:6709715	2R	6709707	6709715	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709717:6709718	2R	6709717	6709718	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709721:6709723	2R	6709721	6709723	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709724:6709726	2R	6709724	6709726	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709728:6709729	2R	6709728	6709729	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709730:6709756	2R	6709730	6709756	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709757:6709780	2R	6709757	6709780	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709781:6709782	2R	6709781	6709782	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709784:6709785	2R	6709784	6709785	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709786:6709825	2R	6709786	6709825	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709826:6709827	2R	6709826	6709827	contained	0	P3_prediction	.	.	P3	.
S0-01706	P3:2R:6709828:6709832	2R	6709828	6709832	contained	0	P3_prediction	.	.	P3	.
