short_id	frozen_region_id	frozen_start_bp	frozen_end_bp
sea_r01	sea_urchin__r01__NW_022145594.1__26026670_27075246	26026670	27075246
sea_r02	sea_urchin__r02__NW_022145605.1__20770607_21819183	20770607	21819183
sea_r03	sea_urchin__r03__NW_022145609.1__19395012_20443588	19395012	20443588
sea_r04	sea_urchin__r04__NW_022145610.1__17434598_18483174	17434598	18483174
