idx	species	label	label_name	cluster	rep_name
0	mouse	1	SINE	3	B4
1	mouse	4	DNA	2	Charlie2b
2	mouse	2	LINE	1	L1MdA_II
3	mouse	4	DNA	0	Tigger17c
4	mouse	3	LTR	2	BGLII_C
5	mouse	3	LTR	0	MLT1F
6	mouse	1	SINE	1	B4
7	mouse	2	LINE	1	L1MdF_III
8	mouse	3	LTR	3	ORR1D2
9	mouse	3	LTR	1	ORR1B1
10	mouse	1	SINE	0	B4
11	mouse	4	DNA	0	Charlie1a
12	mouse	1	SINE	1	B4
13	mouse	2	LINE	0	L1MdF_II
14	mouse	2	LINE	1	L1MdA_III
15	mouse	1	SINE	0	B4
16	mouse	4	DNA	0	Cheshire
17	mouse	3	LTR	0	RLTR14
18	mouse	4	DNA	0	MER121B
19	mouse	1	SINE	3	B4A
20	mouse	1	SINE	1	B4A
21	mouse	3	LTR	0	RLTR20B3
22	mouse	1	SINE	1	B4A
23	mouse	4	DNA	2	X9a_DNA
24	mouse	1	SINE	2	B4
25	mouse	3	LTR	2	RMER16-int
26	mouse	1	SINE	0	B4A
27	mouse	3	LTR	1	MTA_Mm
28	mouse	2	LINE	1	L1MdMus_I
29	mouse	1	SINE	0	B4
30	mouse	4	DNA	2	Tigger5a_Glire
31	mouse	3	LTR	0	ERVB4_2-LTR_MM
32	mouse	4	DNA	0	MER113
33	mouse	3	LTR	0	ETnERV2-int
34	mouse	4	DNA	0	RCHARR1
35	mouse	1	SINE	3	B4A
36	mouse	4	DNA	2	Tigger6b
37	mouse	2	LINE	3	Lx9
38	mouse	4	DNA	0	ORSL-2b
39	mouse	4	DNA	0	Tigger5b_Glire
40	mouse	3	LTR	0	ERVB7_3-LTR_MM
41	mouse	1	SINE	3	B4A
42	mouse	2	LINE	2	Lx3A
43	mouse	1	SINE	1	B4
44	mouse	1	SINE	3	B4
45	mouse	3	LTR	0	ERVB7_1-LTR_MM
46	mouse	4	DNA	2	MER2
47	mouse	2	LINE	3	Lx3A
48	mouse	1	SINE	2	B4
49	mouse	2	LINE	2	L1MC4
50	mouse	4	DNA	2	MER2
51	mouse	3	LTR	0	RLTR20B3
52	mouse	2	LINE	1	L1MdV_III
53	mouse	2	LINE	0	Lx8
54	mouse	1	SINE	0	B4
55	mouse	1	SINE	1	B4
56	mouse	4	DNA	2	RCHARR1
57	mouse	1	SINE	0	ID_B1
58	mouse	3	LTR	0	RLTR4_MM-int
59	mouse	3	LTR	3	ORR1E
60	mouse	4	DNA	0	Tigger17d
61	mouse	4	DNA	2	MER99
62	mouse	4	DNA	1	MER2
63	mouse	2	LINE	1	L1MdA_III
64	mouse	3	LTR	0	MTE2b
65	mouse	3	LTR	3	MTC
66	mouse	4	DNA	0	MMAR1
67	mouse	1	SINE	1	B4
68	mouse	3	LTR	1	ORR1B1
69	mouse	1	SINE	1	B4A
70	mouse	2	LINE	3	L1_Rod
71	mouse	3	LTR	0	MMERVK9C_I
72	mouse	2	LINE	2	Lx4A
73	mouse	3	LTR	0	MLT1D
74	mouse	1	SINE	3	B4A
75	mouse	2	LINE	2	L1MB4
76	mouse	4	DNA	0	RCHARR1
77	mouse	3	LTR	1	ORR1G
78	mouse	3	LTR	2	RMER16-int
79	mouse	1	SINE	3	B4
80	mouse	1	SINE	2	B4A
81	mouse	3	LTR	2	MLT1A
82	mouse	3	LTR	3	MTE2a
83	mouse	4	DNA	2	RCHARR1
84	mouse	1	SINE	1	B4A
85	mouse	3	LTR	3	MTEb
86	mouse	4	DNA	0	MER115
87	mouse	3	LTR	3	RLTR20B4_MM
88	mouse	2	LINE	3	Lx9
89	mouse	1	SINE	3	B4A
