method	record_id	host_id	host_locus	source_copy_id	homology_component_id	true_family	top_family	top_score	threshold	accepted	correct
kmer4_single_train_medoid	interval|hg38|chr13|61060225|61060586|-|1085518	human:hg38	chr13	coord|human:hg38|chr13|61060225|61060586|-|1085518	hc|0198	AluJb	AluSx1	0.8540445215	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr1|13746501|13746853|-|22298	human:hg38	chr1	coord|human:hg38|chr1|13746501|13746853|-|22298	hc|0200	AluJb	AluSc	0.8516895382	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr1|204583666|204584007|+|310906	human:hg38	chr1	coord|human:hg38|chr1|204583666|204584007|+|310906	hc|0201	AluJb	AluSq	0.858514694	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr11|111559418|111559757|-|759912	human:hg38	chr11	coord|human:hg38|chr11|111559418|111559757|-|759912	hc|0206	AluJb	AluSx1	0.8677489861	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr13|104776246|104776583|-|1143493	human:hg38	chr13	coord|human:hg38|chr13|104776246|104776583|-|1143493	hc|0209	AluJb	AluSq	0.8310995637	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr11|9471897|9472228|-|600438	human:hg38	chr11	coord|human:hg38|chr11|9471897|9472228|-|600438	hc|0217	AluJb	AluSx4	0.9046295341	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr1|28499446|28499775|-|55882	human:hg38	chr1	coord|human:hg38|chr1|28499446|28499775|-|55882	hc|0223	AluJb	AluJo	0.8241561755	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr1|10190176|10190505|-|15467	human:hg38	chr1	coord|human:hg38|chr1|10190176|10190505|-|15467	hc|0224	AluJb	AluSx1	0.8430400038	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr13|66512789|66513117|-|1092167	human:hg38	chr13	coord|human:hg38|chr13|66512789|66513117|-|1092167	hc|0228	AluJb	AluJo	0.8453755732	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr1|12681220|12681548|-|20481	human:hg38	chr1	coord|human:hg38|chr1|12681220|12681548|-|20481	hc|0229	AluJb	AluSx4	0.8862268095	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr1|28994633|28994959|-|57285	human:hg38	chr1	coord|human:hg38|chr1|28994633|28994959|-|57285	hc|0234	AluJb	AluSx1	0.7945404947	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr1|21917149|21917494|+|39669	human:hg38	chr1	coord|human:hg38|chr1|21917149|21917494|+|39669	hc|0429	AluJo	AluSc	0.8178923323	0.9175200574264304	0	0
kmer4_single_train_medoid	interval|hg38|chr11|83108441|83108783|-|717560	human:hg38	chr11	coord|human:hg38|chr11|83108441|83108783|-|717560	hc|0432	AluJo	AluSz6	0.8847327996	0.9175200574264304	0	0
